qs_2026 Rank,qs_Previous Rank,qs_Institution Name,qs_Country/Territory,qs_Region,qs_Size,qs_Focus,qs_Research,qs_Status,qs_AR SCORE,qs_AR RANK,qs_ER SCORE,qs_ER RANK,qs_FSR SCORE,qs_FSR RANK,qs_CPF SCORE,qs_CPF RANK,qs_IFR SCORE,qs_IFR RANK,qs_ISR SCORE,qs_ISR RANK,qs_ISD SCORE,qs_ISD RANK,qs_IRN SCORE,qs_IRN RANK,qs_EO SCORE,qs_EO RANK,qs_SUS SCORE,qs_SUS RANK,qs_Overall SCORE,qs_2026_rank_original,qs_2026_rank,qs_2026_rank_display,qs_overall_score,qs_overall_score_available,qs_university_key,the_Rank,the_Name,the_Country,the_Student Population,the_Students to Staff Ratio,the_International Students,the_Female to Male Ratio,the_Overall Score,the_Teaching,the_Research Environment,the_Research Quality,the_Industry Impact,the_International Outlook,the_Year,the_rank,the_female_to_male_ratio_clean,the_female_to_male_ratio_original,the_university_key,match_type,match_similarity,country_match,qs_Institution Name_original,the_Name_original,qs_university_key_clean,the_university_key_clean
287.0,256.0,Heriot-Watt University,United Kingdom,Europe,M,CO,VH,Public,25.7,490.0,34.8,415.0,27.3,692.0,61.8,275.0,100.0,78.0,97.0,100.0,97.2,89.0,75.7,425.0,37.0,467.0,77.2,,46.8,287,287.0,287,46.8,True,heriot watt university,501.0,Heriot-Watt University,United Kingdom,9705.0,15.4,0.44,39 : 61,46.2545,33.4,30.3,58.8,70.3,95.5,2026.0,501.0,39.0,39 : 61,heriot watt university,exact_name_country,100.0,True,Heriot-Watt University,Heriot-Watt University,heriot watt university,heriot watt university
287.0,308.0,Universitas Airlangga,Indonesia,Asia,XL,FC,VH,Public,52.2,213.0,88.3,78.0,69.6,235.0,2.5,,77.3,308.0,10.8,,16.7,,52.9,797.0,24.0,658.0,56.6,,46.8,287,287.0,287,46.8,True,universitas airlangga,1308.0,Universitas Airlangga,Indonesia,32097.0,7.2,0.08,"2 days, 18:34:00",30.2505,28.6,14.1,39.2,24.8,66.3,2026.0,1308.0,66.0,"2 days, 18:34:00",universitas airlangga,exact_name_country,100.0,True,Universitas Airlangga,Universitas Airlangga,universitas airlangga,universitas airlangga
287.0,293.0,University of Arizona,United States of America,Americas,XL,FC,VH,Public,49.3,231.0,40.4,336.0,42.8,463.0,47.4,397.0,25.4,643.0,15.2,,21.2,746.0,93.5,116.0,54.1,311.0,66.9,,46.8,287,287.0,287,46.8,True,university of arizona,140.0,University of Arizona,United States of America,52414.0,20.9,0.07,"2 days, 9:43:00",62.555,48.3,52.5,86.1,80.6,53.7,2026.0,140.0,57.0,"2 days, 9:43:00",university of arizona,exact_name_country,100.0,True,University of Arizona,University of Arizona,university of arizona,university of arizona
287.0,291.0,University of Bergen,Norway,Europe,L,FC,VH,Public,40.5,297.0,13.7,,67.2,254.0,42.5,446.0,96.9,150.0,37.9,516.0,43.5,477.0,91.0,159.0,69.5,217.0,65.1,397.0,46.8,287,287.0,287,46.8,True,university of bergen,287.0,University of Bergen,Norway,15304.0,13.0,0.13,"2 days, 14:38:00",54.9004999999999,35.3,36.4,84.1,75.4,75.8,2026.0,287.0,62.0,"2 days, 14:38:00",university of bergen,exact_name_country,100.0,True,University of Bergen,University of Bergen,university of bergen,university of bergen
291.0,267.0,University of The Witwatersrand,South Africa,Africa,L,FC,VH,Public,36.8,328.0,50.9,246.0,14.0,,40.2,468.0,86.8,246.0,9.4,,15.1,,96.7,44.0,99.5,21.0,85.6,,46.4,291,291.0,291,46.4,True,university of the witwatersrand,318.0,University of the Witwatersrand,South Africa,26928.0,22.4,0.06,"2 days, 12:40:00",53.2709999999999,34.9,43.1,70.8,91.6,74.3,2026.0,318.0,60.0,"2 days, 12:40:00",university of the witwatersrand,exact_name_country,100.0,True,University of The Witwatersrand,University of the Witwatersrand,university of the witwatersrand,university of the witwatersrand
292.0,298.0,Swansea University,United Kingdom,Europe,L,FC,VH,Public,34.7,348.0,54.7,222.0,28.6,666.0,43.0,439.0,76.9,312.0,80.5,221.0,82.4,187.0,79.7,357.0,13.7,,84.4,121.0,46.2,292,292.0,292,46.2,True,swansea university,321.0,Swansea University,United Kingdom,18650.0,15.9,0.25,"2 days, 1:51:00",53.157,30.8,30.6,87.4,58.3,88.6,2026.0,321.0,49.0,"2 days, 1:51:00",swansea university,exact_name_country,100.0,True,Swansea University,Swansea University,swansea university,swansea university
293.0,307.0,"University of California, Irvine",United States of America,Americas,XL,FC,VH,Public,46.6,249.0,37.1,381.0,26.8,701.0,53.1,351.0,39.5,503.0,64.2,310.0,52.3,394.0,81.9,313.0,28.0,596.0,64.9,,46.1,293,293.0,293,46.1,True,university of california irvine,97.0,"University of California, Irvine",United States of America,35079.0,15.3,0.24,"2 days, 6:46:00",66.4315,47.8,52.8,91.2,98.4,76.3,2026.0,97.0,54.0,"2 days, 6:46:00",university of california irvine,exact_name_country,100.0,True,"University of California, Irvine","University of California, Irvine",university of california irvine,university of california irvine
294.0,259.0,Case Western Reserve University,United States of America,Americas,M,FC,VH,Private not for Profit,22.4,560.0,20.5,642.0,88.6,111.0,66.3,239.0,47.6,449.0,76.7,246.0,79.0,218.0,58.3,715.0,40.9,429.0,70.8,,46,294,294.0,294,46.0,True,case western reserve university,148.0,Case Western Reserve University,United States of America,11514.0,9.9,0.26,"2 days, 3:49:00",61.97,51.8,42.2,88.7,74.9,64.6,2026.0,148.0,51.0,"2 days, 3:49:00",case western reserve university,exact_name_country,100.0,True,Case Western Reserve University,Case Western Reserve University,case western reserve university,case western reserve university
294.0,291.0,Swinburne University of Technology,Australia,Oceania,L,CO,VH,Public,18.8,655.0,19.3,675.0,14.7,,95.0,68.0,87.8,237.0,94.7,130.0,70.5,266.0,74.0,467.0,22.8,675.0,73.4,,46,294,294.0,294,46.0,True,swinburne university of technology,256.0,Swinburne University of Technology,Australia,15725.0,28.4,0.41,"1 day, 19:57:00",56.158,33.0,33.6,91.4,78.1,81.8,2026.0,256.0,43.0,"1 day, 19:57:00",swinburne university of technology,exact_name_country,100.0,True,Swinburne University of Technology,Swinburne University of Technology,swinburne university of technology,swinburne university of technology
294.0,316.0,University of Notre Dame,United States of America,Americas,L,CO,VH,Private not for Profit,38.0,315.0,43.6,306.0,70.8,220.0,36.7,511.0,28.9,596.0,32.7,562.0,28.9,627.0,75.4,435.0,75.4,181.0,72.5,,46,294,294.0,294,46.0,True,university of notre dame,195.0,University of Notre Dame,United States of America,12781.0,10.5,0.14,"1 day, 23:53:00",59.0505,52.8,45.8,73.5,72.5,69.9,2026.0,195.0,47.0,"1 day, 23:53:00",university of notre dame,exact_name_country,100.0,True,University of Notre Dame,University of Notre Dame,university of notre dame,university of notre dame
294.0,278.0,Vrije Universiteit Brussel (VUB),Belgium,Europe,L,FC,VH,Public,33.3,369.0,22.1,599.0,75.6,192.0,27.7,611.0,96.8,152.0,72.1,264.0,74.8,235.0,92.2,143.0,63.2,245.0,80.0,,46,294,294.0,294,46.0,True,vrije universiteit brussel,234.0,Vrije Universiteit Brussel,Belgium,16387.0,37.1,0.24,"2 days, 11:41:00",57.085,37.8,42.5,80.4,93.6,76.6,2026.0,234.0,59.0,"2 days, 11:41:00",vrije universiteit brussel,exact_name_country,100.0,True,Vrije Universiteit Brussel (VUB),Vrije Universiteit Brussel,vrije universiteit brussel,vrije universiteit brussel
299.0,320.0,University of Colorado Boulder,United States of America,Americas,XL,CO,VH,Public,49.0,232.0,36.8,386.0,52.1,359.0,36.0,516.0,38.6,510.0,8.5,,14.2,,85.6,242.0,48.9,354.0,90.3,,45.6,299,299.0,299,45.6,True,university of colorado boulder,160.0,University of Colorado Boulder,United States of America,37094.0,17.0,0.08,"1 day, 22:54:00",61.3184999999999,47.5,51.6,84.1,77.3,53.6,2026.0,160.0,46.0,"1 day, 22:54:00",university of colorado boulder,exact_name_country,100.0,True,University of Colorado Boulder,University of Colorado Boulder,university of colorado boulder,university of colorado boulder
300.0,302.0,Université Paris Cité,France,Europe,XL,FO,VH,Public,37.7,317.0,13.9,,11.0,,92.5,91.0,24.8,653.0,61.0,336.0,45.5,455.0,99.5,6.0,22.8,676.0,55.7,,45.5,300,300.0,300,45.5,True,universit paris cit,192.0,Université Paris Cité,France,66075.0,18.2,0.22,"2 days, 16:36:00",59.2905,44.4,38.0,89.9,68.0,73.1,2026.0,192.0,64.0,"2 days, 16:36:00",universit paris cit,exact_name_country,100.0,True,Université Paris Cité,Université Paris Cité,universite paris cite,universite paris cite
302.0,296.0,Stellenbosch University,South Africa,Africa,L,FC,VH,Public,36.7,331.0,44.8,299.0,5.0,,67.5,233.0,25.4,642.0,14.5,,11.0,,93.6,111.0,88.9,114.0,61.0,,45.2,302,302.0,302,45.2,True,stellenbosch university,326.0,Stellenbosch University,South Africa,25956.0,26.8,0.07,"2 days, 10:42:00",52.815,34.8,40.8,75.5,91.8,58.6,2026.0,326.0,58.0,"2 days, 10:42:00",stellenbosch university,exact_name_country,100.0,True,Stellenbosch University,Stellenbosch University,stellenbosch university,stellenbosch university
303.0,312.0,Jagiellonian University,Poland,Europe,XL,FO,VH,Public,49.9,226.0,54.4,224.0,75.3,193.0,10.4,,8.0,,30.0,591.0,35.9,536.0,88.6,198.0,61.5,256.0,71.6,296.0,45.1,303,303.0,303,45.1,True,jagiellonian university,606.0,Jagiellonian University,Poland,32022.0,8.8,0.13,"2 days, 19:33:00",43.5905,43.8,33.6,51.1,54.2,45.7,2026.0,606.0,67.0,"2 days, 19:33:00",jagiellonian university,exact_name_country,100.0,True,Jagiellonian University,Jagiellonian University,jagiellonian university,jagiellonian university
303.0,324.0,University of Southern Denmark,Denmark,Europe,L,CO,VH,Public,29.2,425.0,24.9,540.0,31.9,602.0,68.4,227.0,91.7,212.0,46.4,435.0,51.3,403.0,77.4,394.0,27.0,607.0,85.0,,45.1,303,303.0,303,45.1,True,university of southern denmark,281.0,University of Southern Denmark,Denmark,17548.0,9.5,0.15,"2 days, 6:46:00",55.207,30.4,36.0,87.3,98.1,75.8,2026.0,281.0,54.0,"2 days, 6:46:00",university of southern denmark,exact_name_country,100.0,True,University of Southern Denmark,University of Southern Denmark,university of southern denmark,university of southern denmark
306.0,306.0,Aalborg University,Denmark,Europe,L,FC,VH,Public,26.4,478.0,25.0,538.0,27.7,685.0,77.2,167.0,89.0,231.0,29.4,597.0,35.4,546.0,91.7,148.0,25.4,634.0,79.1,186.0,44.9,306,306.0,306,44.9,True,aalborg university,259.0,Aalborg University,Denmark,16050.0,13.9,0.13,,56.063,33.6,44.9,80.6,88.0,72.4,2026.0,259.0,,,aalborg university,exact_name_country,100.0,True,Aalborg University,Aalborg University,aalborg university,aalborg university
308.0,319.0,Simon Fraser University,Canada,Americas,L,CO,VH,Public,34.9,345.0,20.7,636.0,7.6,,59.6,289.0,99.1,127.0,86.1,189.0,87.3,158.0,78.4,376.0,34.0,500.0,85.2,109.0,44.7,308,308.0,308,44.7,True,simon fraser university,335.0,Simon Fraser University,Canada,26776.0,24.9,0.31,"2 days, 6:46:00",52.312,26.9,35.6,79.7,83.5,90.7,2026.0,335.0,54.0,"2 days, 6:46:00",simon fraser university,exact_name_country,100.0,True,Simon Fraser University,Simon Fraser University,simon fraser university,simon fraser university
308.0,312.0,University of Johannesburg,South Africa,Africa,L,CO,VH,Public,25.5,496.0,25.9,523.0,46.5,424.0,45.2,410.0,98.5,136.0,60.1,342.0,63.9,310.0,99.1,14.0,69.6,215.0,74.8,,44.7,308,308.0,308,44.7,True,university of johannesburg,388.0,University of Johannesburg,South Africa,32659.0,26.5,0.14,"2 days, 8:44:00",50.2024999999999,29.5,38.4,69.9,81.1,82.0,2026.0,388.0,56.0,"2 days, 8:44:00",university of johannesburg,exact_name_country,100.0,True,University of Johannesburg,University of Johannesburg,university of johannesburg,university of johannesburg
310.0,,"City St George’s, University of London",United Kingdom,Europe,L,FO,VH,,26.9,466.0,32.3,444.0,9.2,,57.8,301.0,92.4,207.0,97.9,90.0,98.0,77.0,77.2,402.0,65.8,238.0,62.3,,44.5,310,310.0,310,44.5,True,city st george s university of london,305.0,"City St George's, University of London",United Kingdom,20905.0,17.1,0.41,"2 days, 11:41:00",54.122,27.4,30.1,91.8,65.0,95.6,2026.0,305.0,59.0,"2 days, 11:41:00",city st george s university of london,exact_name_country,100.0,True,"City St George’s, University of London","City St George's, University of London",city st george s university of london,city st george s university of london
310.0,304.0,Linköping University,Sweden,Europe,L,CO,VH,Public,25.4,501.0,32.2,446.0,50.2,382.0,55.2,328.0,85.8,255.0,46.3,437.0,48.3,430.0,81.5,320.0,50.8,336.0,68.2,,44.5,310,310.0,310,44.5,True,link ping university,241.0,Linköping University,Sweden,15130.0,14.5,0.18,"2 days, 6:46:00",56.7649999999999,31.1,40.4,89.1,96.8,70.3,2026.0,241.0,54.0,"2 days, 6:46:00",link ping university,exact_name_country,100.0,True,Linköping University,Linköping University,linkoping university,linkoping university
310.0,280.0,Ulsan National Institute of Science and Technology,Republic of Korea,Asia,S,FO,VH,Public,21.8,571.0,16.3,,92.5,92.0,99.5,29.0,37.4,520.0,15.5,,18.9,782.0,26.7,,3.9,,57.5,,44.5,310,310.0,310,44.5,True,ulsan national institute of science and technology,243.0,Ulsan National Institute of Science and Technology (UNIST),Republic of Korea,3868.0,12.0,0.08,29 : 71,56.7144999999999,47.4,39.5,81.3,98.1,39.5,2026.0,243.0,29.0,29 : 71,ulsan national institute of science and technology,exact_name_country,100.0,True,Ulsan National Institute of Science and Technology,Ulsan National Institute of Science and Technology (UNIST),ulsan national institute of science and technology,ulsan national institute of science and technology
314.0,324.0,University of Miami,United States of America,Americas,L,FC,VH,Private not for Profit,24.5,521.0,40.3,338.0,57.9,312.0,48.4,386.0,87.8,238.0,25.1,660.0,31.2,598.0,85.2,251.0,59.6,274.0,64.6,,44.3,314,314.0,314,44.3,True,university of miami,227.0,University of Miami,United States of America,18574.0,10.9,0.12,"2 days, 6:46:00",57.3404999999999,47.3,35.5,83.8,83.3,61.6,2026.0,227.0,54.0,"2 days, 6:46:00",university of miami,exact_name_country,100.0,True,University of Miami,University of Miami,university of miami,university of miami
314.0,293.0,University of Tasmania,Australia,Oceania,M,CO,VH,Public,22.5,556.0,12.2,,34.3,572.0,72.8,192.0,87.1,244.0,91.7,152.0,92.3,129.0,80.4,348.0,25.0,640.0,84.0,,44.3,314,314.0,314,44.3,True,university of tasmania,255.0,University of Tasmania,Australia,13316.0,17.1,0.31,"2 days, 10:42:00",56.1789999999999,34.3,36.9,84.5,82.8,89.3,2026.0,255.0,58.0,"2 days, 10:42:00",university of tasmania,exact_name_country,100.0,True,University of Tasmania,University of Tasmania,university of tasmania,university of tasmania
317.0,321.0,L.N. Gumilyov Eurasian National University,Kazakhstan,Asia,L,FO,VH,Public,40.1,300.0,85.8,86.0,94.7,78.0,2.0,,84.6,262.0,25.8,649.0,27.2,650.0,31.4,,7.5,,46.6,,43.9,317,317.0,317,43.9,True,l n gumilyov eurasian national university,1748.0,L.N. Gumilyov Eurasian National University,Kazakhstan,23205.0,18.3,0.04,"2 days, 1:51:00",23.3215,20.9,15.2,25.4,17.2,59.2,2026.0,1748.0,49.0,"2 days, 1:51:00",l n gumilyov eurasian national university,exact_name_country,100.0,True,L.N. Gumilyov Eurasian National University,L.N. Gumilyov Eurasian National University,l n gumilyov eurasian national university,l n gumilyov eurasian national university
319.0,300.0,Huazhong University of Science and Technology,China (Mainland),Asia,XL,FC,VH,Public,30.9,395.0,33.4,431.0,11.6,,100.0,10.0,7.1,,5.2,,4.1,,80.3,349.0,33.5,505.0,55.7,,43.8,319,319.0,319,43.8,True,huazhong university of science and technology,178.0,Huazhong University of Science and Technology,China (Mainland),61789.0,16.2,0.04,,60.2265,46.6,48.4,87.1,99.9,30.9,2026.0,178.0,,,huazhong university of science and technology,exact_name_country,100.0,True,Huazhong University of Science and Technology,Huazhong University of Science and Technology,huazhong university of science and technology,huazhong university of science and technology
320.0,298.0,Bauman Moscow State Technical University,Russian Federation,Europe,L,CO,VH,Public,41.1,289.0,63.8,168.0,99.9,25.0,2.0,,81.0,287.0,85.8,190.0,87.1,160.0,14.2,,10.1,,47.6,,43.5,320,320.0,320,43.5,True,bauman moscow state technical university,340.0,Bauman Moscow State Technical University,Russian Federation,15623.0,6.9,0.2,"1 day, 21:55:00",52.136,68.4,42.8,43.0,54.4,59.6,2026.0,340.0,45.0,"1 day, 21:55:00",bauman moscow state technical university,exact_name_country,100.0,True,Bauman Moscow State Technical University,Bauman Moscow State Technical University,bauman moscow state technical university,bauman moscow state technical university
321.0,334.0,Université Grenoble Alpes,France,Europe,XL,FC,VH,Public,55.3,200.0,19.2,679.0,10.4,,51.8,365.0,30.9,579.0,47.9,421.0,52.7,390.0,94.1,97.0,31.8,529.0,60.0,,43.4,321,321.0,321,43.4,True,universit grenoble alpes,396.0,Université Grenoble Alpes,France,48893.0,17.9,0.19,"2 days, 4:48:00",50.0249999999999,42.6,36.7,62.7,70.0,69.4,2026.0,396.0,52.0,"2 days, 4:48:00",universit grenoble alpes,exact_name_country,100.0,True,Université Grenoble Alpes,Université Grenoble Alpes,universite grenoble alpes,universite grenoble alpes
324.0,336.0,Sichuan University,China (Mainland),Asia,XL,FC,VH,Public,30.8,397.0,34.5,418.0,14.0,,99.9,20.0,9.7,,9.2,,7.1,,72.9,489.0,21.0,709.0,45.3,,43,324,324.0,324,43.0,True,sichuan university,229.0,Sichuan University,China (Mainland),49146.0,15.9,0.05,,57.248,46.5,48.1,74.7,99.6,42.5,2026.0,229.0,,,sichuan university,exact_name_country,100.0,True,Sichuan University,Sichuan University,sichuan university,sichuan university
326.0,285.0,University of Leicester,United Kingdom,Europe,L,FC,VH,Public,29.6,418.0,17.7,,40.1,502.0,44.2,426.0,90.6,220.0,90.6,162.0,91.4,137.0,91.1,155.0,31.0,535.0,81.2,,42.9,326,326.0,326,42.9,True,university of leicester,193.0,University of Leicester,United Kingdom,16435.0,14.5,0.37,"2 days, 5:47:00",59.204,35.4,34.9,95.9,69.0,94.8,2026.0,193.0,53.0,"2 days, 5:47:00",university of leicester,exact_name_country,100.0,True,University of Leicester,University of Leicester,university of leicester,university of leicester
328.0,328.0,University of Delhi,India,Asia,L,FO,VH,Public,46.9,248.0,41.9,319.0,6.9,,47.1,403.0,1.8,,2.8,,7.5,,83.0,294.0,98.9,30.0,71.2,,42.6,328,328.0,328,42.6,True,university of delhi,802.0,University of Delhi,India,24204.0,20.2,0.02,"1 day, 23:53:00",39.0049999999999,42.9,29.7,45.8,53.6,24.7,2026.0,802.0,47.0,"1 day, 23:53:00",university of delhi,exact_name_country,100.0,True,University of Delhi,University of Delhi,university of delhi,university of delhi
328.0,434.0,University of Sharjah,United Arab Emirates,Asia,L,CO,VH,Private not for Profit,28.5,440.0,34.9,411.0,9.3,,52.2,362.0,100.0,15.0,100.0,40.0,100.0,28.0,84.8,259.0,19.3,740.0,58.8,,42.6,328,328.0,328,42.6,True,university of sharjah,338.0,University of Sharjah,United Arab Emirates,12327.0,17.7,0.51,"2 days, 19:33:00",52.2429999999999,23.5,27.0,94.3,44.7,98.7,2026.0,338.0,67.0,"2 days, 19:33:00",university of sharjah,exact_name_country,100.0,True,University of Sharjah,University of Sharjah,university of sharjah,university of sharjah
331.0,328.0,Kyung Hee University,Republic of Korea,Asia,L,FC,VH,Private not for Profit,34.6,349.0,43.0,312.0,86.2,125.0,25.9,625.0,19.8,715.0,68.5,286.0,71.5,256.0,66.8,592.0,21.6,698.0,74.9,,42.5,331,331.0,331,42.5,True,kyung hee university,254.0,Kyung Hee University,Republic of Korea,20363.0,17.4,0.3,"2 days, 6:46:00",56.2245,41.2,40.3,76.5,99.9,72.5,2026.0,254.0,54.0,"2 days, 6:46:00",kyung hee university,exact_name_country,100.0,True,Kyung Hee University,Kyung Hee University,kyung hee university,kyung hee university
331.0,405.0,Satbayev University (previously Kazakh Technical University named after K.I. Satpaev),Kazakhstan,Asia,M,FO,VH,Public,40.6,295.0,58.8,196.0,94.2,81.0,1.7,,89.2,229.0,53.7,383.0,48.5,427.0,25.7,,33.0,515.0,48.7,,42.5,331,331.0,331,42.5,True,satbayev university,1644.0,Satbayev University,Kazakhstan,8346.0,11.2,0.17,"2 days, 7:45:00",25.034,26.7,14.7,19.3,32.3,77.5,2026.0,1644.0,55.0,"2 days, 7:45:00",satbayev university,exact_name_country,100.0,True,Satbayev University (previously Kazakh Technical University named after K.I. Satpaev),Satbayev University,satbayev university,satbayev university
333.0,362.0,York University,Canada,Americas,XL,CO,VH,Public,33.4,366.0,31.7,451.0,5.0,,37.8,493.0,87.3,242.0,78.9,227.0,80.9,197.0,73.5,482.0,82.2,149.0,84.5,,42.4,333,333.0,333,42.4,True,york university,422.0,York University,Canada,41456.0,27.4,0.28,"2 days, 6:46:00",49.0635,29.3,33.2,71.5,72.3,86.0,2026.0,422.0,54.0,"2 days, 6:46:00",york university,exact_name_country,100.0,True,York University,York University,york university,york university
334.0,362.0,Sultan Qaboos University,Oman,Asia,M,FC,VH,Public,28.9,430.0,25.9,522.0,62.3,284.0,39.5,478.0,100.0,81.0,6.0,,9.9,,80.9,333.0,70.0,209.0,69.6,320.0,42.3,334,334.0,334,42.3,True,sultan qaboos university,577.0,Sultan Qaboos University,Oman,7375.0,8.3,0.04,"2 days, 2:50:00",44.45,30.9,24.6,70.1,40.7,73.9,2026.0,577.0,50.0,"2 days, 2:50:00",sultan qaboos university,exact_name_country,100.0,True,Sultan Qaboos University,Sultan Qaboos University,sultan qaboos university,sultan qaboos university
334.0,344.0,Tufts University,United States of America,Americas,L,FC,VH,Private not for Profit,23.8,532.0,21.2,619.0,65.6,264.0,52.5,360.0,42.9,477.0,48.3,419.0,53.2,387.0,67.0,588.0,69.3,219.0,86.3,96.0,42.3,334,334.0,334,42.3,True,tufts university,190.0,Tufts University,United States of America,12718.0,10.5,0.18,"2 days, 11:41:00",59.363,51.3,34.7,88.2,76.6,61.9,2026.0,190.0,59.0,"2 days, 11:41:00",tufts university,exact_name_country,100.0,True,Tufts University,Tufts University,tufts university,tufts university
334.0,365.0,University of Illinois Chicago (UIC),United States of America,Americas,L,FC,VH,Public,48.8,234.0,40.3,337.0,33.1,587.0,39.2,482.0,11.0,,28.4,611.0,21.3,744.0,82.3,304.0,36.4,475.0,66.9,,42.3,334,334.0,334,42.3,True,university of illinois chicago,250.0,University of Illinois Chicago,United States of America,28912.0,11.2,0.2,"2 days, 7:45:00",56.3739999999999,50.1,35.2,80.1,76.1,57.5,2026.0,250.0,55.0,"2 days, 7:45:00",university of illinois chicago,exact_name_country,100.0,True,University of Illinois Chicago (UIC),University of Illinois Chicago,university of illinois chicago,university of illinois chicago
339.0,316.0,Shandong University,China (Mainland),Asia,XL,FC,VH,Public,22.8,549.0,39.0,352.0,21.8,799.0,97.1,54.0,11.2,,5.7,,4.5,,72.8,490.0,26.8,610.0,57.5,,42.2,339,339.0,339,42.2,True,shandong university,275.0,Shandong University,China (Mainland),37862.0,12.7,0.09,,55.4925,46.4,44.0,72.7,99.3,43.5,2026.0,275.0,,,shandong university,exact_name_country,100.0,True,Shandong University,Shandong University,shandong university,shandong university
341.0,362.0,Xiamen University,China (Mainland),Asia,XL,FC,VH,Public,34.3,354.0,24.2,556.0,25.0,733.0,83.9,132.0,10.8,,9.3,,7.1,,64.7,626.0,54.4,308.0,54.1,623.0,42.1,341,341.0,341,42.1,True,xiamen university,276.0,Xiamen University,China (Mainland),42518.0,14.2,0.03,,55.4865,43.3,37.6,84.2,95.1,36.6,2026.0,276.0,,,xiamen university,exact_name_country,100.0,True,Xiamen University,Xiamen University,xiamen university,xiamen university
342.0,344.0,University of Oulu,Finland,Europe,M,FC,VH,Public,23.0,546.0,21.8,607.0,29.5,640.0,74.5,181.0,80.9,289.0,19.7,733.0,25.8,672.0,87.9,203.0,30.6,541.0,75.2,,42,342,342.0,342,42.0,True,university of oulu,272.0,University of Oulu,Finland,11334.0,22.0,0.1,"2 days, 8:44:00",55.6275,36.7,39.5,85.8,70.9,63.6,2026.0,272.0,56.0,"2 days, 8:44:00",university of oulu,exact_name_country,100.0,True,University of Oulu,University of Oulu,university of oulu,university of oulu
343.0,284.0,Southern University of Science and Technology (SUSTech),China (Mainland),Asia,M,FO,VH,Public,14.9,,9.4,,87.5,116.0,100.0,14.0,42.7,479.0,2.8,,7.2,,47.2,,1.3,,65.5,,41.8,343,343.0,343,41.8,True,southern university of science and technology,162.0,Southern University of Science and Technology (SUSTech),China (Mainland),8193.0,9.6,0.01,,60.9575,39.6,44.2,93.9,88.5,63.3,2026.0,162.0,,,southern university of science and technology,exact_name_country,100.0,True,Southern University of Science and Technology (SUSTech),Southern University of Science and Technology (SUSTech),southern university of science and technology,southern university of science and technology
343.0,382.0,University of Pisa,Italy,Europe,L,FC,VH,Public,51.6,216.0,26.3,517.0,12.8,,59.6,290.0,5.0,,10.5,,16.3,,84.6,262.0,25.1,639.0,72.8,278.0,41.8,343,343.0,343,41.8,True,university of pisa,394.0,University of Pisa,Italy,29834.0,17.2,0.07,"2 days, 4:48:00",50.0295,36.3,34.7,77.7,67.7,43.2,2026.0,394.0,52.0,"2 days, 4:48:00",university of pisa,exact_name_country,100.0,True,University of Pisa,University of Pisa,university of pisa,university of pisa
345.0,392.0,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,Asia,M,FO,VH,Public,36.7,330.0,48.6,266.0,50.6,374.0,46.8,405.0,31.3,571.0,35.3,538.0,38.9,508.0,45.6,,25.4,632.0,56.8,,41.7,345,345.0,345,41.7,True,national taiwan university of science and technology,463.0,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,9244.0,19.0,0.16,30 : 70,47.4329999999999,33.2,38.3,62.9,97.8,50.0,2026.0,463.0,30.0,30 : 70,national taiwan university of science and technology,exact_name_country,100.0,True,National Taiwan University of Science and Technology (Taiwan Tech),National Taiwan University of Science and Technology (Taiwan Tech),national taiwan university of science and technology,national taiwan university of science and technology
347.0,350.0,Cairo University,Egypt,Africa,XL,FC,VH,Public,60.8,170.0,52.7,232.0,13.8,,6.0,,4.2,,14.4,,10.9,,88.9,190.0,98.0,43.0,66.6,,41.6,347,347.0,347,41.6,True,cairo university,846.0,Cairo University,Egypt,173478.0,24.6,0.07,"2 days, 12:40:00",38.036,29.4,20.0,60.7,42.7,48.6,2026.0,846.0,60.0,"2 days, 12:40:00",cairo university,exact_name_country,100.0,True,Cairo University,Cairo University,cairo university,cairo university
347.0,347.0,Tilburg University,Netherlands,Europe,L,SP,VH,Public,20.5,602.0,37.1,382.0,16.8,,67.1,236.0,99.0,128.0,77.4,238.0,79.5,209.0,61.1,678.0,23.1,669.0,50.6,,41.6,347,347.0,347,41.6,True,tilburg university,330.0,Tilburg University,Netherlands,12796.0,19.9,0.24,"2 days, 5:47:00",52.7114999999999,29.1,42.9,73.8,78.9,85.2,2026.0,330.0,53.0,"2 days, 5:47:00",tilburg university,exact_name_country,100.0,True,Tilburg University,Tilburg University,tilburg university,tilburg university
347.0,355.0,University of Coimbra,Portugal,Europe,L,FC,VH,Public,39.2,307.0,24.9,542.0,14.9,,61.4,279.0,13.1,,33.3,554.0,39.1,506.0,92.2,142.0,47.6,368.0,75.8,226.0,41.6,347,347.0,347,41.6,True,university of coimbra,453.0,University of Coimbra,Portugal,23217.0,20.4,0.19,"2 days, 10:42:00",47.9884999999999,33.8,42.1,61.5,81.4,54.7,2026.0,453.0,58.0,"2 days, 10:42:00",university of coimbra,exact_name_country,100.0,True,University of Coimbra,University of Coimbra,university of coimbra,university of coimbra
