Rank,Previous Rank,University,Country,Region,Size,Focus,Research,Status,Academic Reputation SCORE,Academic Reputation  RANK,Employer Reputation SCORE,Employer Reputation RANK,Faculty Student Ratio SCORE,Faculty Student Ratio RANK,Citations per Faculty SCORE,Citations per Faculty RANK,International Faculty  SCORE,International Faculty  RANK,International Student SCORE,International student  RANK,International Students Diversity SCORE,International Students Diversity RANK,International Research Network SCORE,International Research Network RANK,Employment Outcomes SCORE,Employment Outcomes RANK,Sustainability SCORE,Sustainability RANK,Overall SCORE,Ranking_Source,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year
53,55,The University of Amsterdam,Netherlands,Europe,XL,FC,VH,Public,92.5,57.0,72.6,135.0,27.5,688.0,87.2,113.0,98.8,133,95.8,117.0,71.3,259.0,95.1,8200%,90.3,104.0,64.0,422=,81.5,QS,,,,,,,,,,,
54,57,The Hong Kong Polytechnic University,"Hong Kong SAR, China",Asia,L,CO,VH,Public,81.2,93.0,47.5,275.0,77.1,182.0,98.7,41.0,100.0,34,98.8,76.0,97.9,81.0,82.8,29600%,74.1,187.0,80.8,160,81.2,QS,,,,,,,,,,,
55,43,New York University (NYU),United States of America,Americas,XL,FC,VH,Private not for Profit,98.6,32.0,99.9,12.0,89.0,109.0,31.7,568.0,33.1,553,99.7,52.0,99.7,42.0,93.5,11500%,99.5,19.0,91.3,52,81.1,QS,,,,,,,,,,,
56,50,London School of Economics and Political Science (LSE),United Kingdom,Europe,L,FO,VH,Public,80.6,96.0,99.4,20.0,47.2,417.0,64.0,256.0,100.0,41,100.0,14.0,100.0,9.0,76.4,41700%,99.9,14.0,92.7,39=,80.5,QS,,,,,,,,,,,
57,50,Kyoto University,Japan,Asia,L,FC,VH,Public,99.7,19.0,99.3,22.0,94.3,80.0,50.9,369.0,22.9,675,29.2,601.0,35.1,551.0,85.5,24700%,85.9,132.0,84.0,124=,80.2,QS,,,,,,,,,,,
58,59,Ludwig-Maximilians-Universität München,Germany,Europe,XL,FC,VH,Public,97.1,41.0,95.5,47.0,41.0,493.0,62.3,271.0,80.3,296,53.2,387.0,57.6,354.0,95.5,7200%,76.8,172.0,87.0,89,80.1,QS,,,,,,,,,,,
58,60,Universiti Malaya (UM),Malaysia,Asia,L,FC,VH,Public,92.3,58.0,96.7,40.0,74.2,205.0,47.4,398.0,69.2,338,86.8,188.0,87.3,159.0,92.9,12700%,77.7,167.0,84.7,115=,80.1,QS,,,,,,,,,,,
60,63,KU Leuven,Belgium,Europe,XL,FC,VH,Public,93.0,53.0,63.5,169.0,9.6,801.0,94.7,75.0,95.8,166,65.1,307.0,48.5,428.0,99.5,400%,83.5,143.0,94.7,25,79.7,QS,,,,,,,,,,,
61,67,Korea University,Republic of Korea,Asia,L,FC,VH,Private not for Profit,89.2,70.0,95.4,48.0,77.0,183.0,68.2,229.0,24.5,656,64.0,311.0,67.5,287.0,67.7,57300%,93.6,83.0,85.9,101,79.6,QS,,,,,,,,,,,
62,61,Duke University,United States of America,Americas,L,FC,VH,Private not for Profit,92.9,54.0,91.0,68.0,100.0,7.0,47.1,402.0,28.3,602,62.0,326.0,46.2,450.0,90.8,16300%,95.6,73.0,77.6,205,79,QS,,,,,,,,,,,
63,62,City University of Hong Kong,"Hong Kong SAR, China",Asia,M,CO,VH,Public,75.5,109.0,46.7,284.0,94.8,75.0,100.0,2.0,100.0,16,100.0,5.0,100.0,2.0,64.5,62800%,48.5,356.0,75.2,232=,78.9,QS,,,,,,,,,,,
63,68,National Taiwan University (NTU),Taiwan,Asia,L,FC,VH,Public,97.7,38.0,94.2,54.0,38.8,522.0,70.9,209.0,25.3,647,59.2,346.0,63.1,313.0,67.1,58700%,100.0,11.0,88.4,74=,78.9,QS,,,,,,,,,,,
65,65,The University of Auckland,New Zealand,Oceania,XL,FC,VH,Public,91.7,63.0,55.2,220.0,17.6,801.0,79.1,162.0,100.0,83,95.5,122.0,95.8,104.0,88.8,19400%,96.9,61.0,95.7,17,77.5,QS,,,,,,,,,,,
66,72,"University of California, San Diego (UCSD)",United States of America,Americas,XL,FC,VH,Public,94.0,49.0,80.2,103.0,54.4,347.0,80.3,155.0,43.8,473,47.0,431.0,52.0,400.0,94.0,9900%,40.8,430.0,72.3,286=,76.9,QS,,,,,,,,,,,
67,101,King Fahd University of Petroleum & Minerals,Saudi Arabia,Asia,M,FO,VH,Public,53.5,206.0,75.6,124.0,92.4,93.0,93.2,85.0,100.0,27,76.2,250.0,76.6,228.0,81.0,33000%,97.8,48.0,62.7,444=,76.5,QS,,,,,,,,,,,
68,66,University of Texas at Austin,United States of America,Americas,XL,FC,VH,Public,97.6,39.0,96.8,38.0,10.7,801.0,85.4,122.0,9.1,801,19.1,742.0,14.4,801.0,90.5,16900%,93.9,82.0,70.6,308=,76.4,QS,,,,,,,,,,,
69,79,Brown University,United States of America,Americas,M,FC,VH,Private not for Profit,72.4,126.0,64.3,166.0,84.5,139.0,82.2,143.0,91.0,218,67.0,297.0,70.2,269.0,80.1,35200%,81.9,151.0,72.6,280,76.2,QS,,,,,,,,,,,
70,73,Université Paris-Saclay,France,Europe,XL,CO,VH,Public,75.3,112.0,99.4,19.0,99.9,24.0,42.4,450.0,45.9,463,72.7,263.0,75.4,233.0,98.5,1600%,82.9,146.0,92.7,39=,75.9,QS,,,,,,,,,,,
70,69,University of Illinois at Urbana-Champaign,United States of America,Americas,XL,FC,VH,Public,91.7,62.0,91.5,66.0,8.6,801.0,81.6,147.0,14.2,801,70.1,277.0,52.2,395.0,91.3,15200%,92.5,86.0,75.9,223=,75.9,QS,,,,,,,,,,,
72,75,Lund University,Sweden,Europe,L,FC,VH,Public,80.1,99.0,64.1,167.0,68.1,246.0,56.6,312.0,98.8,134,82.0,213.0,83.7,181.0,97.1,3500%,96.1,65.0,98.8,3=,75.7,QS,,,,,,,,,,,
