QS_Rank,QS_Previous_Rank,University,Country,QS_Region,QS_Size,QS_Focus,QS_Research,QS_Status,QS_Academic_Reputation_Score,QS_Academic_Reputation_Rank,QS_Employer_Reputation_Score,QS_Employer_Reputation_Rank,QS_Faculty_Student_Ratio_Score,QS_Faculty_Student_Ratio_Rank,QS_Citations_per_Faculty_Score,QS_Citations_per_Faculty_Rank,QS_International_Faculty_Score,QS_International_Faculty_Rank,QS_International_Student_Score,QS_International_Student_Rank,QS_International_Students_Diversity_Score,QS_International_Students_Diversity_Rank,QS_International_Research_Network_Score,QS_International_Research_Network_Rank,QS_Employment_Outcomes_Score,QS_Employment_Outcomes_Rank,QS_Sustainability_Score,QS_Sustainability_Rank,QS_Overall_Score,Ranking_Source,THE_Student_Population,THE_Students_to_Staff_Ratio,THE_International_Students_Percentage,THE_Female_to_Male_Ratio,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,Year,Ranking_Status
618.0,,Dongguk University,South Korea,Asia,L,FC,HI,Private not for Profit,12.8,701.0,18.0,701.0,76.3,189.0,29.9,589.0,22.9,676.0,52.3,395.0,56.8,360.0,36.2,,6.7,801.0,56.5,,27.7,QS,,,,,,,,,,,,Ranked
618.0,,Saint Joseph University of Beirut (USJ),Lebanon,Asia,M,FC,HI,Private not for Profit,13.4,701.0,38.2,366.0,62.3,285.0,4.2,801.0,94.3,186.0,40.7,485.0,46.1,453.0,30.2,,40.8,431.0,35.0,801.0,27.7,QS,,,,,,,,,,,,Ranked
618.0,511.0,Zhengzhou University,China,Asia,XL,FC,VH,Public,7.1,701.0,23.8,564.0,7.0,801.0,82.7,137.0,,,4.1,801.0,3.3,801.0,62.3,,11.4,801.0,42.3,801.0,27.7,QS,,,,,,,,,,,,Ranked
622.0,559.0,Umm Al-Qura University,Saudi Arabia,Asia,XL,FC,HI,Public,23.6,537.0,15.4,701.0,61.3,291.0,4.9,801.0,100.0,95.0,26.1,643.0,19.6,770.0,71.3,,11.5,801.0,36.8,801.0,27.6,QS,,,,,,,,,,,,Ranked
622.0,,University of New Brunswick,Canada,Americas,M,CO,VH,Public,7.1,701.0,17.9,701.0,22.2,786.0,41.1,458.0,67.5,346.0,65.1,308.0,68.5,282.0,51.1,,24.7,646.0,62.7,,27.6,QS,,,,,,,,,,,,Ranked
624.0,,Diponegoro University,Indonesia,Asia,XL,FC,HI,Public,30.0,405.0,53.2,229.0,30.5,622.0,2.3,801.0,46.4,461.0,7.1,801.0,12.0,801.0,35.5,,24.2,655.0,51.0,,27.5,QS,,,,,,,,,,,,Ranked
624.0,,Oregon State University,United States,Americas,L,CO,VH,Public,19.7,626.0,11.9,701.0,20.4,801.0,44.4,423.0,17.3,761.0,11.9,801.0,9.1,801.0,80.3,,28.8,579.0,64.1,,27.5,QS,,,,,,,,,,,,Ranked
624.0,,Universidad del Pais Vasco,Spain,Europe,XL,CO,VH,Public,28.6,435.0,10.8,701.0,38.4,530.0,27.8,608.0,3.0,801.0,6.3,801.0,4.9,801.0,90.1,,31.2,533.0,51.5,,27.5,QS,,,,,,,,,,,,Ranked
624.0,413.0,Yeshiva University,United States,Americas,M,FC,MD,Private not for Profit,3.8,701.0,4.6,701.0,62.7,282.0,72.8,191.0,36.4,527.0,27.7,618.0,30.0,615.0,15.3,,4.9,801.0,36.4,801.0,27.5,QS,,,,,,,,,,,,Ranked
628.0,,Istanbul University,Turkey,Asia,XL,FC,HI,Public,33.3,368.0,43.0,313.0,4.5,801.0,5.1,801.0,7.0,801.0,20.6,720.0,26.8,660.0,70.5,,78.8,166.0,37.5,801.0,27.4,QS,,,,,,,,,,,,Ranked
628.0,,Kazakh National Pedagogical University Abai,Kazakhstan,Asia,L,CO,MD,Public,31.7,387.0,34.9,409.0,71.2,217.0,1.3,801.0,55.4,409.0,13.5,801.0,15.7,801.0,9.0,,16.6,792.0,35.6,801.0,27.4,QS,,,,,,,,,,,,Ranked
628.0,527.0,Missouri University of Science and Technology,United States,Americas,M,CO,VH,Public,4.9,701.0,10.5,701.0,8.6,801.0,87.7,112.0,26.9,627.0,32.5,563.0,35.3,547.0,41.7,,8.8,801.0,34.0,801.0,27.4,QS,,,,,,,,,,,,Ranked
628.0,,National Chung Hsing University,Taiwan,Asia,L,CO,VH,Public,28.6,436.0,30.9,463.0,29.4,642.0,22.5,677.0,12.3,801.0,14.0,801.0,19.0,781.0,34.5,,42.2,416.0,56.3,,27.4,QS,,,,,,,,,,,,Ranked
628.0,,Universidade de Santiago de Compostela,Spain,Europe,L,CO,VH,Public,33.9,359.0,16.0,701.0,17.5,801.0,27.6,612.0,3.0,801.0,11.8,801.0,17.7,801.0,77.3,,20.0,728.0,62.4,,27.4,QS,,,,,,,,,,,,Ranked
628.0,,University of Crete,Greece,Europe,L,FC,HI,Public,19.3,639.0,17.8,701.0,3.9,801.0,69.6,219.0,2.7,801.0,7.2,801.0,12.0,801.0,61.9,,4.5,801.0,40.6,801.0,27.4,QS,,,,,,,,,,,,Ranked
628.0,,University of South Carolina,United States,Americas,L,FC,VH,Public,17.7,693.0,21.9,605.0,13.5,801.0,37.1,502.0,54.6,414.0,5.9,801.0,10.0,801.0,68.0,,28.0,593.0,68.9,,27.4,QS,,,,,,,,,,,,Ranked
635.0,,Tallinn University of Technology,Estonia,Europe,M,FO,VH,Public,16.2,701.0,18.6,694.0,33.5,581.0,23.5,665.0,53.2,425.0,26.8,635.0,32.8,578.0,81.2,,50.5,341.0,43.0,801.0,27.2,QS,,,,,,,,,,,,Ranked
635.0,,Universität des Saarlandes,Germany,Europe,L,FC,VH,Public,14.0,701.0,10.1,701.0,96.3,65.0,12.1,801.0,6.3,801.0,62.3,325.0,46.4,449.0,70.4,,41.8,419.0,31.9,801.0,27.2,QS,,,,,,,,,,,,Ranked
635.0,,University of Portsmouth,United Kingdom,Europe,L,CO,VH,Public,10.9,701.0,13.1,701.0,12.0,801.0,27.8,607.0,80.1,297.0,90.7,160.0,91.4,135.0,81.5,,13.5,801.0,62.6,448.0,27.2,QS,,,,,,,,,,,,Ranked
638.0,,"Lincoln University College, Malaysia",Malaysia,Asia,S,CO,HI,Private for Profit,11.1,701.0,26.0,521.0,95.6,69.0,1.8,801.0,100.0,75.0,100.0,26.0,99.2,55.0,5.2,,5.3,801.0,12.5,801.0,27.1,QS,,,,,,,,,,,,Ranked
638.0,576.0,Southern Cross University,Australia,Oceania,M,CO,VH,Public,6.0,701.0,4.3,701.0,3.9,801.0,55.5,322.0,92.7,203.0,62.6,322.0,66.2,296.0,61.1,,6.2,801.0,65.9,,27.1,QS,,,,,,,,,,,,Ranked
638.0,544.0,Universidad de Zaragoza,Spain,Europe,L,FC,VH,Public,29.7,413.0,9.9,701.0,54.6,346.0,15.6,792.0,2.3,801.0,10.2,801.0,16.0,801.0,89.2,,14.8,801.0,69.7,319.0,27.1,QS,,,,,,,,,,,,Ranked
638.0,570.0,"University of Chemistry and Technology, Prague",Czechia,Europe,S,FO,VH,Public,8.2,701.0,12.2,701.0,99.5,38.0,19.2,727.0,33.7,547.0,85.4,194.0,86.7,164.0,32.0,,9.4,801.0,43.4,801.0,27.1,QS,,,,,,,,,,,,Ranked
642.0,539.0,University of Fribourg,Switzerland,Europe,M,CO,VH,Public,13.6,701.0,5.5,701.0,14.1,801.0,27.3,615.0,99.9,98.0,52.5,392.0,51.2,405.0,60.4,,49.6,349.0,66.8,367.0,27.0,QS,,,,,,,,,,,,Ranked
643.0,,Abo Akademi University,Finland,Europe,M,CO,VH,Public,9.5,701.0,7.9,701.0,22.1,789.0,53.9,341.0,60.7,386.0,43.6,462.0,32.6,582.0,59.8,,13.5,801.0,45.2,801.0,26.9,QS,,,,,,,,,,,,Ranked
643.0,,Inha University,South Korea,Asia,L,FC,VH,Private not for Profit,17.5,699.0,19.9,659.0,74.7,198.0,23.8,661.0,17.7,752.0,25.7,650.0,29.4,622.0,28.1,,17.1,779.0,64.7,,26.9,QS,,,,,,,,,,,,Ranked
643.0,,Libera Universita' di Bolzano,Italy,Europe,S,FO,VH,Public,7.8,701.0,3.1,701.0,20.6,801.0,62.4,267.0,66.1,355.0,56.3,370.0,60.5,338.0,51.9,,4.0,801.0,37.4,801.0,26.9,QS,,,,,,,,,,,,Ranked
643.0,,Manchester Metropolitan University,United Kingdom,Europe,XL,CO,VH,Public,18.8,654.0,16.4,701.0,11.4,801.0,16.8,766.0,63.1,369.0,61.4,331.0,65.2,302.0,89.0,,19.2,741.0,78.0,,26.9,QS,,,,,,,,,,,,Ranked
643.0,,University of Manitoba,Canada,Americas,L,FC,VH,Public,19.2,643.0,20.0,657.0,31.8,604.0,22.6,675.0,,,68.4,287.0,71.5,257.0,70.0,,39.5,442.0,55.7,,26.9,QS,,,,,,,,,,,,Ranked
648.0,,King Faisal University,Saudi Arabia,Asia,L,FC,HI,Public,25.3,506.0,29.8,476.0,24.5,743.0,6.3,801.0,99.4,121.0,11.0,801.0,14.9,801.0,66.0,,14.9,801.0,54.3,,26.8,QS,,,,,,,,,,,,Ranked
648.0,,"University of Tromso, The Arctic University of Norway",Norway,Europe,L,FC,VH,Public,15.5,701.0,7.9,701.0,82.5,154.0,12.0,801.0,75.9,313.0,12.9,801.0,9.8,801.0,80.8,,9.3,801.0,51.4,,26.8,QS,,,,,,,,,,,,Ranked
650.0,567.0,MGIMO University,Russia,Europe,M,CO,HI,Public,10.7,701.0,38.7,359.0,100.0,18.0,1.7,801.0,15.4,799.0,57.2,361.0,61.3,329.0,6.7,,69.8,212.0,21.7,801.0,26.7,QS,,,,,,,,,,,,Ranked
650.0,,Paris Lodron University of Salzburg,Austria,Europe,M,CO,VH,Public,13.3,701.0,4.8,701.0,38.7,524.0,11.6,801.0,98.4,137.0,98.1,86.0,98.2,74.0,59.1,,23.7,661.0,62.2,,26.7,QS,,,,,,,,,,,,Ranked
650.0,,Universidad de la República (UdelaR),Uruguay,Americas,XL,FC,HI,Public,40.0,302.0,20.4,645.0,18.2,801.0,2.3,801.0,10.7,801.0,4.1,801.0,3.3,801.0,63.2,,90.6,99.0,43.3,801.0,26.7,QS,,,,,,,,,,,,Ranked
650.0,,University of Brescia,Italy,Europe,M,FO,VH,Public,7.3,701.0,4.1,701.0,8.7,801.0,85.0,124.0,2.0,801.0,8.5,801.0,14.2,801.0,58.8,,11.6,801.0,63.9,,26.7,QS,,,,,,,,,,,,Ranked
654.0,,China University of Mining and Technology,China,Asia,L,FO,VH,Public,4.3,701.0,6.4,701.0,25.5,727.0,87.2,114.0,,,,,,,55.5,,16.3,801.0,39.2,801.0,26.6,QS,,,,,,,,,,,,Ranked
654.0,,De La Salle University,Philippines,Asia,L,CO,HI,Private not for Profit,32.7,374.0,58.6,197.0,9.6,801.0,6.8,801.0,2.8,801.0,3.5,801.0,7.8,801.0,27.3,,60.7,266.0,44.1,801.0,26.6,QS,,,,,,,,,,,,Ranked
654.0,,Konkuk University,South Korea,Asia,L,FC,VH,Private not for Profit,11.6,701.0,12.8,701.0,61.3,292.0,34.1,537.0,16.2,774.0,43.9,458.0,49.1,424.0,52.5,,14.7,801.0,61.8,,26.6,QS,,,,,,,,,,,,Ranked
654.0,,Université de Lille,France,Europe,XL,FC,VH,Public,33.9,358.0,10.6,701.0,6.1,801.0,27.0,616.0,21.0,698.0,25.4,657.0,19.1,778.0,94.2,,6.9,801.0,54.3,,26.6,QS,,,,,,,,,,,,Ranked
654.0,,"University of Agriculture, Faisalabad",Pakistan,Asia,XL,CO,VH,Public,7.3,701.0,14.6,701.0,2.2,801.0,83.4,133.0,2.6,801.0,1.2,801.0,5.6,801.0,75.3,,3.1,801.0,48.4,,26.6,QS,,,,,,,,,,,,Ranked
654.0,,University of South Florida,United States,Americas,XL,CO,VH,Public,17.4,701.0,20.4,646.0,13.8,801.0,36.7,507.0,14.3,801.0,41.4,480.0,46.7,444.0,81.9,,13.5,801.0,66.4,,26.6,QS,,,,,,,,,,,,Ranked
660.0,,Bar-Ilan University,Israel,Asia,L,FC,VH,Public,11.0,701.0,14.3,701.0,10.4,801.0,59.4,293.0,54.4,416.0,4.9,801.0,3.9,801.0,53.2,,33.1,511.0,41.7,801.0,26.5,QS,,,,,,,,,,,,Ranked
660.0,,Ca' Foscari University of Venice,Italy,Europe,M,CO,VH,Public,27.1,462.0,21.7,609.0,10.1,801.0,20.7,703.0,44.0,471.0,18.6,749.0,24.7,688.0,68.2,,20.0,729.0,74.0,,26.5,QS,,,,,,,,,,,,Ranked
660.0,,"Kingston University, London",United Kingdom,Europe,L,CO,HI,Public,20.7,598.0,24.6,547.0,7.2,801.0,12.7,801.0,77.3,309.0,95.8,115.0,96.1,98.0,52.0,,16.4,801.0,49.5,,26.5,QS,,,,,,,,,,,,Ranked
660.0,,Memorial University of Newfoundland,Canada,Americas,L,FC,VH,Public,10.7,701.0,10.5,701.0,15.7,801.0,43.7,431.0,30.7,581.0,78.5,230.0,80.6,200.0,73.6,,17.4,773.0,53.3,,26.5,QS,,,,,,,,,,,,Ranked
664.0,,COMSATS University Islamabad,Pakistan,Asia,XL,CO,VH,Public,17.0,701.0,35.8,403.0,17.0,801.0,36.8,506.0,1.4,801.0,1.6,801.0,6.0,801.0,87.3,,8.3,801.0,62.7,,26.4,QS,,,,,,,,,,,,Ranked
664.0,,Indian Institute of Technology Hyderabad (IITH),India,Asia,S,CO,VH,Public,10.3,701.0,15.0,701.0,20.2,801.0,84.0,130.0,1.3,801.0,1.9,801.0,6.2,801.0,18.0,,6.5,801.0,42.3,801.0,26.4,QS,,,,,,,,,,,,Ranked
664.0,,University of Mumbai,India,Asia,M,FC,VH,Public,11.3,701.0,31.5,454.0,4.7,801.0,53.7,348.0,3.0,801.0,4.3,801.0,8.5,801.0,27.6,,91.0,95.0,41.3,801.0,26.4,QS,,,,,,,,,,,,Ranked
664.0,,University of Oklahoma,United States,Americas,L,FC,VH,Public,14.3,701.0,18.6,695.0,19.8,801.0,41.5,455.0,27.8,611.0,9.8,801.0,7.5,801.0,72.3,,35.2,488.0,60.5,,26.4,QS,,,,,,,,,,,,Ranked
668.0,,Birla Institute of Technology and Science,India,Asia,L,CO,VH,Private not for Profit,18.0,678.0,32.6,441.0,12.4,801.0,39.3,480.0,2.9,801.0,4.0,801.0,7.9,801.0,41.8,,55.0,302.0,58.8,,26.3,QS,,,,,,,,,,,,Ranked
668.0,,Chang Gung University,Taiwan,Asia,M,FO,VH,Private not for Profit,9.3,701.0,6.6,701.0,74.6,200.0,58.2,298.0,7.9,801.0,9.5,801.0,13.2,801.0,25.5,,2.1,801.0,48.8,,26.3,QS,,,,,,,,,,,,Ranked
668.0,,Karl-Franzens-Universität Graz,Austria,Europe,L,FO,VH,Public,26.8,469.0,13.1,701.0,18.9,801.0,13.6,801.0,53.4,424.0,38.6,511.0,28.9,628.0,70.3,,44.0,403.0,52.7,,26.3,QS,,,,,,,,,,,,Ranked
668.0,,Lehigh University,United States,Americas,M,CO,VH,Private not for Profit,7.2,701.0,12.4,701.0,30.5,625.0,37.1,501.0,68.9,339.0,40.0,490.0,45.4,459.0,44.9,,45.4,385.0,61.5,,26.3,QS,,,,,,,,,,,,Ranked
668.0,,Palacký University in Olomouc,Czechia,Europe,L,FO,VH,Public,21.5,576.0,19.8,665.0,36.5,550.0,14.7,801.0,40.1,499.0,28.5,606.0,34.5,555.0,85.8,,9.0,801.0,67.5,,26.3,QS,,,,,,,,,,,,Ranked
673.0,,East China University of Science and Technology,China,Asia,XL,CO,VH,Public,9.1,701.0,10.3,701.0,15.4,801.0,82.5,140.0,3.3,801.0,2.5,801.0,2.1,801.0,43.5,,12.5,801.0,40.2,801.0,26.2,QS,,,,,,,,,,,,Ranked
673.0,,Stevens Institute of Technology,United States,Americas,M,FO,VH,Private not for Profit,4.0,701.0,10.0,701.0,8.4,801.0,60.9,282.0,54.1,418.0,98.7,79.0,98.2,73.0,21.7,,13.5,801.0,46.7,,26.2,QS,,,,,,,,,,,,Ranked
673.0,,Technische Universität Dortmund,Germany,Europe,L,FO,VH,Public,18.5,661.0,35.5,406.0,42.7,466.0,11.1,801.0,32.3,559.0,36.7,529.0,27.5,646.0,76.5,,12.5,801.0,43.0,801.0,26.2,QS,,,,,,,,,,,,Ranked
676.0,,Beirut Arab University,Lebanon,Asia,S,FC,HI,Private not for Profit,20.0,614.0,22.2,597.0,28.8,661.0,7.6,801.0,94.8,180.0,61.1,334.0,56.5,362.0,29.6,,44.1,401.0,42.1,801.0,26.1,QS,,,,,,,,,,,,Ranked
676.0,,Jadavpur University,India,Asia,M,FO,VH,Public,23.2,544.0,10.5,701.0,13.7,801.0,55.8,319.0,,,1.1,801.0,5.5,801.0,44.0,,19.5,733.0,61.4,470.0,26.1,QS,,,,,,,,,,,,Ranked
678.0,,American University in Dubai,United Arab Emirates,Asia,S,FO,HI,Private for Profit,14.4,701.0,38.3,364.0,26.2,714.0,3.8,801.0,100.0,2.0,100.0,11.0,100.0,6.0,4.3,,45.6,383.0,25.4,801.0,26.0,QS,,,,,,,,,,,,Ranked
678.0,,University of Haifa,Israel,Asia,L,CO,VH,Public,17.4,701.0,13.0,701.0,15.8,801.0,44.8,417.0,17.8,751.0,6.7,801.0,5.2,801.0,69.6,,29.6,554.0,67.4,360.0,26.0,QS,,,,,,,,,,,,Ranked
680.0,,HUFS - Hankuk (Korea) University of Foreign Studies,South Korea,Asia,L,CO,HI,Private not for Profit,17.6,696.0,25.5,531.0,85.2,133.0,2.5,801.0,40.1,498.0,70.5,275.0,73.3,246.0,14.1,,3.6,801.0,51.5,,25.9,QS,,,,,,,,,,,,Ranked
680.0,,Nanjing University of Aeronautics and Astronautics,China,Asia,L,FO,VH,Public,6.3,701.0,10.9,701.0,26.4,707.0,79.7,158.0,7.2,801.0,8.8,801.0,6.8,801.0,46.2,,1.3,801.0,37.0,801.0,25.9,QS,,,,,,,,,,,,Ranked
680.0,,Ritsumeikan University,Japan,Asia,XL,CO,HI,Private not for Profit,25.7,493.0,61.5,187.0,10.3,801.0,5.0,801.0,36.5,525.0,17.8,766.0,23.9,704.0,41.1,,4.8,801.0,64.4,,25.9,QS,,,,,,,,,,,,Ranked
680.0,,University of Brawijaya,Indonesia,Asia,XL,FC,HI,Public,30.1,404.0,55.3,218.0,20.4,801.0,1.9,801.0,35.9,531.0,2.7,801.0,6.9,801.0,27.3,,29.1,567.0,53.3,,25.9,QS,,,,,,,,,,,,Ranked
684.0,,Comenius University Bratislava,Slovakia,Europe,L,FC,HI,Public,16.8,701.0,14.7,701.0,61.3,293.0,6.9,801.0,8.4,801.0,39.0,504.0,44.5,469.0,68.8,,87.0,126.0,43.7,801.0,25.8,QS,,,,,,,,,,,,Ranked
684.0,,Ton Duc Thang University,Vietnam,Asia,L,CO,VH,Public,6.1,701.0,13.3,701.0,8.6,801.0,74.8,180.0,7.7,801.0,2.0,801.0,6.3,801.0,88.1,,6.8,801.0,43.9,801.0,25.8,QS,,,,,,,,,,,,Ranked
686.0,,China University of Petroleum,China,Asia,L,CO,VH,Public,3.1,701.0,6.8,701.0,10.7,801.0,94.5,77.0,7.2,801.0,5.2,801.0,4.1,801.0,26.4,,26.2,621.0,35.3,801.0,25.7,QS,,,,,,,,,,,,Ranked
686.0,,Cyprus University of Technology,Cyprus,Asia,S,CO,VH,Public,8.1,701.0,4.9,701.0,49.3,389.0,39.8,472.0,68.1,343.0,42.0,474.0,43.4,478.0,46.6,,11.3,801.0,49.6,,25.7,QS,,,,,,,,,,,,Ranked
688.0,,Baku State University,Azerbaijan,Asia,L,CO,HI,Public,22.0,566.0,20.1,654.0,94.0,85.0,1.9,801.0,13.4,801.0,7.0,801.0,11.2,801.0,22.1,,64.1,243.0,43.3,801.0,25.6,QS,,,,,,,,,,,,Ranked
688.0,576.0,Tomsk Polytechnic University,Russia,Europe,M,FO,VH,Public,9.4,701.0,15.4,701.0,96.0,67.0,7.0,801.0,14.8,801.0,88.8,179.0,83.9,178.0,60.4,,2.0,801.0,47.7,,25.6,QS,,,,,,,,,,,,Ranked
688.0,,Université Côte d’Azur,France,Europe,XL,FC,VH,Public,21.6,573.0,8.2,701.0,9.1,801.0,27.7,609.0,36.5,526.0,51.0,402.0,55.6,367.0,83.3,,13.6,801.0,69.2,,25.6,QS,,,,,,,,,,,,Ranked
691.0,,Eastern Mediterranean University,Northern Cyprus,Asia,L,FC,HI,Public,9.2,701.0,4.5,701.0,5.6,801.0,31.3,571.0,77.1,311.0,100.0,19.0,100.0,13.0,51.3,,53.6,315.0,45.4,801.0,25.4,QS,,,,,,,,,,,,Ranked
691.0,,Universidade Federal do Rio Grande Do Sul,Brazil,Americas,XL,FC,VH,Public,36.8,327.0,9.2,701.0,20.0,801.0,15.7,788.0,3.8,801.0,2.4,801.0,7.0,801.0,80.5,,32.3,525.0,63.9,,25.4,QS,,,,,,,,,,,,Ranked
691.0,,Universität Regensburg,Germany,Europe,L,FO,VH,Public,16.0,701.0,11.9,701.0,77.3,181.0,13.3,801.0,39.4,505.0,17.7,768.0,23.9,708.0,71.0,,27.7,600.0,38.7,801.0,25.4,QS,,,,,,,,,,,,Ranked
691.0,,"Vellore Institute of Technology (VIT), Vellore, India",India,Asia,XL,CO,VH,Private not for Profit,20.5,601.0,26.0,519.0,11.6,801.0,34.3,531.0,5.0,801.0,5.3,801.0,10.1,801.0,81.2,,15.8,801.0,65.2,,25.4,QS,,,,,,,,,,,,Ranked
695.0,,Rensselaer Polytechnic Institute,United States,Americas,M,CO,VH,Private not for Profit,10.2,701.0,17.9,701.0,28.7,662.0,54.7,330.0,,,34.4,547.0,25.7,675.0,25.8,,41.3,423.0,38.7,801.0,25.3,QS,,,,,,,,,,,,Ranked
696.0,,Symbiosis International (Deemed University),India,Asia,L,CO,VH,Private not for Profit,9.2,701.0,94.7,51.0,26.5,704.0,3.3,801.0,23.3,673.0,16.1,796.0,20.4,757.0,29.4,,8.9,801.0,45.6,801.0,25.2,QS,,,,,,,,,,,,Ranked
696.0,,TUHH Hamburg University of Technology,Germany,Europe,M,SP,VH,,11.2,701.0,14.6,701.0,84.8,136.0,10.0,801.0,35.7,533.0,93.4,139.0,93.9,115.0,47.8,,1.4,801.0,30.0,801.0,25.2,QS,,,,,,,,,,,,Ranked
697.0,,Ankara Üniversitesi,Turkey,Asia,XL,FC,HI,Public,30.6,400.0,30.4,468.0,12.8,801.0,4.6,801.0,2.8,801.0,9.7,801.0,15.4,801.0,74.0,,61.2,262.0,61.0,,25.1,QS,,,,,,,,,,,,Ranked
697.0,,Beijing University of Chemical Technology,China,Asia,L,CO,VH,Public,6.1,701.0,7.2,701.0,28.6,668.0,81.5,149.0,3.2,801.0,2.5,801.0,7.1,801.0,36.6,,2.8,801.0,40.5,801.0,25.1,QS,,,,,,,,,,,,Ranked
697.0,,Kazakh National Agrarian University,Kazakhstan,Asia,M,SP,MD,Public,22.8,550.0,27.7,499.0,92.6,91.0,1.4,801.0,26.2,634.0,39.2,499.0,35.2,550.0,7.7,,4.3,801.0,38.7,801.0,25.1,QS,,,,,,,,,,,,Ranked
697.0,,Tokyo Medical and Dental University,Japan,Asia,S,FO,VH,Public,15.7,701.0,9.5,701.0,100.0,13.0,29.1,595.0,3.1,801.0,22.6,693.0,24.3,698.0,23.3,,1.8,801.0,37.5,801.0,25.1,QS,,,,,,,,,,,,Ranked
697.0,,Universidad de Alcalá,Spain,Europe,L,FC,VH,Public,13.8,701.0,10.2,701.0,72.5,212.0,10.8,801.0,11.8,801.0,50.9,403.0,55.6,369.0,79.4,,11.8,801.0,72.1,,25.1,QS,,,,,,,,,,,,Ranked
697.0,,University of Klagenfurt,Austria,Europe,S,CO,VH,Public,7.2,701.0,5.8,701.0,57.4,318.0,16.4,777.0,98.2,138.0,94.8,127.0,95.2,108.0,43.9,,13.6,801.0,36.3,801.0,25.1,QS,,,,,,,,,,,,Ranked
697.0,,"University of Missouri, Columbia",United States,Americas,L,FC,VH,Public,17.2,701.0,15.7,701.0,38.5,526.0,23.5,664.0,29.7,588.0,6.4,801.0,5.0,801.0,71.8,,48.0,361.0,50.9,,25.1,QS,,,,,,,,,,,,Ranked
,,Jeonbuk National University (formerly known as Chonbuk National University),South Korea,Asia,L,FC,VH,Public,19.9,618.0,14.2,701.0,73.7,207.0,21.4,693.0,12.5,801.0,16.5,789.0,20.4,756.0,34.0,,3.5,801.0,64.6,,,QS,,,,,,,,,,,,Ranking Not Available
,,Kasetsart University,Thailand,Asia,XL,CO,VH,Public,37.4,320.0,37.1,383.0,10.3,801.0,4.6,801.0,7.7,801.0,1.7,801.0,6.2,801.0,46.2,,31.2,534.0,60.8,,,QS,,,,,,,,,,,,Ranking Not Available
,,"Lingnan University, Hong Kong",Hong Kong,Asia,S,CO,VH,Public,16.0,701.0,12.5,701.0,19.3,801.0,22.3,681.0,100.0,38.0,99.6,55.0,93.1,126.0,10.6,,5.0,801.0,47.0,,,QS,,,,,,,,,,,,Ranking Not Available
,565.0,Nanjing University of Science and Technology,China,Asia,L,FO,VH,Public,7.0,701.0,8.5,701.0,14.6,801.0,86.1,117.0,,,,,,,38.2,,6.4,801.0,39.4,801.0,,QS,,,,,,,,,,,,Ranking Not Available
,,Shiraz University,Iran,Asia,L,CO,VH,Public,10.2,701.0,10.9,701.0,6.0,801.0,68.3,228.0,1.2,801.0,4.3,801.0,8.0,801.0,68.1,,23.4,664.0,45.7,801.0,,QS,,,,,,,,,,,,Ranking Not Available
,,Universidad Panamericana (UP),Mexico,Americas,L,FO,HI,Private not for Profit,15.9,701.0,34.4,419.0,81.2,162.0,1.7,801.0,24.5,655.0,5.0,801.0,4.0,801.0,14.3,,73.5,191.0,36.2,801.0,,QS,,,,,,,,,,,,Ranking Not Available
,,University of Central Florida,United States,Americas,XL,FC,VH,Public,18.6,659.0,37.1,384.0,4.1,801.0,33.0,553.0,13.2,801.0,7.7,801.0,6.0,801.0,73.7,,17.4,775.0,45.9,801.0,,QS,,,,,,,,,,,,Ranking Not Available
,,University of Zagreb,Croatia,Europe,XL,FC,VH,Public,23.2,545.0,12.8,701.0,26.8,700.0,8.1,801.0,1.9,801.0,5.1,801.0,10.0,801.0,92.1,,98.4,34.0,60.9,,,QS,,,,,,,,,,,,Ranking Not Available
,,Asia University Taiwan,Taiwan,Asia,M,CO,VH,Private for Profit,9.0,701.0,2.8,701.0,5.1,801.0,79.9,156.0,14.5,801.0,6.0,801.0,10.2,801.0,64.2,,2.1,801.0,36.6,801.0,,QS,,,,,,,,,,,,Ranking Not Available
,,Budapest University of Technology and Economics,Hungary,Europe,L,FO,VH,Public,20.8,595.0,37.5,375.0,18.6,801.0,15.3,800.0,4.6,801.0,22.7,691.0,28.8,629.0,60.0,,37.8,460.0,57.9,545.0,,QS,,,,,,,,,,,,Ranking Not Available
,,Drexel University,United States,Americas,L,FC,VH,Private not for Profit,8.9,701.0,11.2,701.0,30.2,630.0,36.9,503.0,31.3,572.0,37.4,521.0,43.0,483.0,68.8,,35.3,487.0,48.7,,,QS,,,,,,,,,,,,Ranking Not Available
,,"Goldsmiths, University of London",United Kingdom,Europe,M,FO,VH,Public,18.3,668.0,7.5,701.0,20.8,801.0,17.0,765.0,89.1,230.0,97.8,93.0,97.9,82.0,22.7,,25.2,637.0,43.0,801.0,,QS,,,,,,,,,,,,Ranking Not Available
,,ISCTE - Instituto Universitario de Lisboa,Portugal,Europe,L,FO,VH,Public,8.6,701.0,19.0,687.0,3.2,801.0,42.4,448.0,27.1,623.0,55.8,375.0,60.0,342.0,49.8,,40.3,435.0,56.7,,,QS,,,,,,,,,,,,Ranking Not Available
