QS_Rank,QS_Previous_Rank,University,Country,QS_Region,QS_Size,QS_Focus,QS_Research,QS_Status,QS_Academic_Reputation_Score,QS_Academic_Reputation_Rank,QS_Employer_Reputation_Score,QS_Employer_Reputation_Rank,QS_Faculty_Student_Ratio_Score,QS_Faculty_Student_Ratio_Rank,QS_Citations_per_Faculty_Score,QS_Citations_per_Faculty_Rank,QS_International_Faculty_Score,QS_International_Faculty_Rank,QS_International_Student_Score,QS_International_Student_Rank,QS_International_Students_Diversity_Score,QS_International_Students_Diversity_Rank,QS_International_Research_Network_Score,QS_International_Research_Network_Rank,QS_Employment_Outcomes_Score,QS_Employment_Outcomes_Rank,QS_Sustainability_Score,QS_Sustainability_Rank,QS_Overall_Score,Ranking_Source,THE_Student_Population,THE_Students_to_Staff_Ratio,THE_International_Students_Percentage,THE_Female_to_Male_Ratio,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,Year,Ranking_Status
20.0,19.0,The University of New South Wales,Australia,Oceania,XL,FC,VH,Public,96.3,43.0,93.5,59.0,29.9,632.0,96.9,58.0,100.0,69.0,99.9,41.0,99.9,30.0,97.6,,98.7,32.0,97.0,,90.7,QS,,,,,,,,,,,,Ranked
21.0,23.0,Yale University,United States,Americas,L,FC,VH,Private not for Profit,100.0,9.0,100.0,7.0,100.0,12.0,64.8,250.0,86.7,247.0,72.7,262.0,75.4,232.0,92.9,,99.8,18.0,82.4,,90.4,QS,,,,,,,,,,,,Ranked
22.0,26.0,École Polytechnique Fédérale de Lausanne,Switzerland,Europe,M,FO,VH,Public,92.7,55.0,88.0,79.0,90.0,103.0,93.1,87.0,100.0,12.0,100.0,17.0,100.0,11.0,83.6,,47.3,371.0,85.3,,90.2,QS,,,,,,,,,,,,Ranked
22.0,28.0,Technical University of Munich,Germany,Europe,XL,FO,VH,Public,92.0,60.0,99.7,16.0,70.5,223.0,92.6,90.0,86.3,252.0,98.9,72.0,98.9,63.0,95.9,,57.3,293.0,87.8,,90.2,QS,,,,,,,,,,,,Ranked
24.0,32.0,Johns Hopkins University,United States,Americas,L,FC,VH,Private not for Profit,93.2,51.0,79.2,108.0,100.0,14.0,85.8,118.0,70.8,333.0,94.2,137.0,94.6,113.0,97.4,,84.1,141.0,93.0,35.0,89.7,QS,,,,,,,,,,,,Ranked
25.0,22.0,Princeton University,United States,Americas,M,CO,VH,Private not for Profit,100.0,10.0,99.8,13.0,67.3,253.0,100.0,5.0,12.7,801.0,70.0,280.0,52.2,397.0,82.6,,98.9,28.0,76.0,222.0,89.4,QS,,,,,,,,,,,,Ranked
25.0,18.0,The University of Sydney,Australia,Oceania,XL,FC,VH,Public,98.9,29.0,94.2,53.0,15.7,801.0,94.3,78.0,99.9,101.0,100.0,18.0,100.0,12.0,95.5,,95.8,70.0,97.6,11.0,89.4,QS,,,,,,,,,,,,Ranked
27.0,29.0,McGill University,Canada,Americas,L,FC,VH,Public,98.1,35.0,93.5,58.0,67.3,250.0,72.4,194.0,88.6,232.0,93.5,138.0,69.6,272.0,92.9,,98.9,27.0,96.3,,88.9,QS,,,,,,,,,,,,Ranked
28.0,24.0,PSL University,France,Europe,L,CO,VH,Public,82.6,86.0,98.5,31.0,98.6,48.0,85.1,123.0,69.6,336.0,75.5,252.0,77.9,222.0,99.7,,97.5,51.0,87.8,,88.6,QS,,,,,,,,,,,,Ranked
29.0,25.0,University of Toronto,Canada,Americas,XL,FC,VH,Public,100.0,11.0,99.1,25.0,45.7,428.0,68.8,224.0,97.9,143.0,97.9,91.0,98.0,78.0,97.0,,99.4,22.0,100.0,1.0,88.5,QS,,,,,,,,,,,,Ranked
30.0,39.0,Fudan University,China,Asia,XL,FC,VH,Public,93.7,50.0,95.1,49.0,84.8,137.0,92.8,89.0,88.5,234.0,46.4,433.0,51.4,402.0,75.5,,73.3,193.0,83.1,134.0,88.4,QS,,,,,,,,,,,,Ranked
31.0,40.0,King's College London (KCL),United Kingdom,Europe,XL,FC,VH,Public,96.2,44.0,91.8,65.0,74.4,202.0,70.2,215.0,99.5,115.0,99.0,70.0,99.0,61.0,98.4,,76.4,174.0,96.5,14.0,88.3,QS,,,,,,,,,,,,Ranked
32.0,30.0,Australian National University,Australia,Oceania,L,FC,VH,Public,97.9,37.0,82.6,96.0,40.9,495.0,91.7,93.0,100.0,49.0,99.0,68.0,99.1,59.0,93.1,,67.1,232.0,91.8,48.0,87.4,QS,,,,,,,,,,,,Ranked
32.0,36.0,The Chinese University of Hong Kong,Hong Kong,Asia,L,FC,VH,Public,94.2,48.0,67.3,157.0,75.9,191.0,95.0,71.0,100.0,50.0,93.3,143.0,90.3,147.0,68.2,,91.2,94.0,84.1,123.0,87.4,QS,,,,,,,,,,,,Ranked
34.0,27.0,University of Edinburgh,United Kingdom,Europe,XL,FC,VH,Public,99.6,24.0,98.2,33.0,77.3,179.0,54.3,338.0,99.7,105.0,99.9,42.0,99.9,31.0,99.5,,69.7,213.0,98.3,,87.2,QS,,,,,,,,,,,,Ranked
35.0,34.0,The University of Manchester,United Kingdom,Europe,XL,FC,VH,Public,98.6,31.0,98.8,26.0,58.2,310.0,56.8,308.0,95.3,176.0,99.5,56.0,99.5,45.0,99.4,,91.9,90.0,98.2,,86.4,QS,,,,,,,,,,,,Ranked
36.0,37.0,Monash University,Australia,Oceania,XL,FC,VH,Public,95.7,45.0,87.5,81.0,11.3,801.0,93.0,88.0,100.0,61.0,100.0,24.0,100.0,15.0,94.7,,86.7,128.0,91.7,,85.8,QS,,,,,,,,,,,,Ranked
36.0,32.0,The University of Tokyo,Japan,Asia,L,FC,VH,Public,100.0,7.0,99.9,10.0,92.4,94.0,69.9,217.0,15.9,777.0,44.0,457.0,49.2,422.0,88.8,,100.0,10.0,92.3,44.0,85.8,QS,,,,,,,,,,,,Ranked
38.0,34.0,Columbia University,United States,Americas,XL,FC,VH,Private not for Profit,99.9,13.0,99.9,11.0,100.0,19.0,44.5,418.0,48.5,445.0,98.1,88.0,72.9,250.0,98.4,,100.0,8.0,77.9,,85.6,QS,,,,,,,,,,,,Ranked
38.0,31.0,Seoul National University,South Korea,Asia,L,FC,VH,Public,99.7,20.0,99.1,24.0,85.6,130.0,81.2,150.0,13.2,801.0,27.5,622.0,33.5,571.0,77.6,,100.0,6.0,90.8,57.0,85.6,QS,,,,,,,,,,,,Ranked
40.0,38.0,University of British Columbia,Canada,Americas,XL,FC,VH,Public,99.6,23.0,96.5,41.0,34.7,568.0,70.9,210.0,98.5,135.0,79.8,222.0,81.7,191.0,96.6,,84.9,135.0,98.5,,85.5,QS,,,,,,,,,,,,Ranked
41.0,46.0,Institut Polytechnique de Paris,France,Europe,M,CO,VH,Public,58.1,185.0,99.8,14.0,94.8,76.0,97.3,52.0,99.9,99.0,99.2,61.0,99.2,50.0,93.0,,99.1,25.0,77.9,,85.4,QS,,,,,,,,,,,,Ranked
42.0,50.0,Northwestern University,United States,Americas,L,FC,VH,Private not for Profit,92.2,59.0,89.4,74.0,99.1,44.0,71.2,205.0,57.7,399.0,67.2,295.0,50.0,414.0,86.5,,99.5,20.0,74.4,,85.1,QS,,,,,,,,,,,,Ranked
42.0,40.0,The University of Queensland,Australia,Oceania,XL,FC,VH,Public,94.3,46.0,79.5,105.0,26.5,705.0,94.2,79.0,100.0,60.0,100.0,28.0,100.0,18.0,97.0,,66.6,233.0,92.5,41.0,85.1,QS,,,,,,,,,,,,Ranked
44.0,47.0,The Hong Kong University of Science and Technology,Hong Kong,Asia,M,FO,VH,Public,89.4,69.0,69.7,149.0,67.5,247.0,100.0,12.0,100.0,23.0,99.3,59.0,99.0,60.0,49.5,,76.6,173.0,79.7,,84.8,QS,,,,,,,,,,,,Ranked
45.0,44.0,University of Michigan-Ann Arbor,United States,Americas,XL,FC,VH,Public,99.3,26.0,98.5,30.0,85.7,127.0,54.5,334.0,73.9,320.0,56.1,372.0,60.3,339.0,96.0,,99.1,26.0,77.2,,84.7,QS,,,,,,,,,,,,Ranked
46.0,42.0,"University of California, Los Angeles (UCLA)",United States,Americas,XL,FC,VH,Public,100.0,8.0,100.0,8.0,43.6,456.0,84.3,127.0,50.8,437.0,31.8,571.0,37.7,521.0,93.5,,98.0,46.0,78.0,,84.4,QS,,,,,,,,,,,,Ranked
47.0,49.0,Delft University of Technology,Netherlands,Europe,L,CO,VH,Public,86.2,76.0,90.4,71.0,49.1,392.0,84.6,126.0,100.0,68.0,94.8,128.0,95.1,109.0,93.8,,66.0,235.0,96.3,,84.3,QS,,,,,,,,,,,,Ranked
47.0,45.0,Shanghai Jiao Tong University,China,Asia,XL,FC,VH,Public,92.7,56.0,93.8,56.0,64.5,275.0,100.0,13.0,40.9,490.0,19.1,741.0,14.4,801.0,77.7,,88.2,119.0,82.5,,84.3,QS,,,,,,,,,,,,Ranked
49.0,47.0,Zhejiang University,China,Asia,XL,FC,VH,Public,87.0,75.0,97.2,36.0,53.0,355.0,100.0,11.0,94.1,189.0,23.5,683.0,17.7,801.0,94.0,,74.4,185.0,63.0,,84.0,QS,,,,,,,,,,,,Ranked
50.0,56.0,Yonsei University,South Korea,Asia,L,FC,VH,Private not for Profit,91.6,64.0,97.8,34.0,84.3,142.0,67.9,231.0,30.5,582.0,74.3,258.0,76.7,227.0,78.0,,94.4,78.0,87.7,86.0,82.9,QS,,,,,,,,,,,,Ranked
51.0,54.0,University of Bristol,United Kingdom,Europe,XL,FC,VH,Public,87.3,73.0,89.4,75.0,36.7,546.0,83.2,135.0,90.7,219.0,95.7,118.0,96.0,100.0,95.3,,63.1,248.0,97.0,,82.5,QS,,,,,,,,,,,,Ranked
52.0,58.0,Carnegie Mellon University,United States,Americas,L,FC,VH,Private not for Profit,80.1,98.0,94.4,52.0,51.1,370.0,98.6,43.0,52.4,426.0,98.7,77.0,73.4,245.0,79.2,,79.9,161.0,66.2,375.0,82.3,QS,,,,,,,,,,,,Ranked
53.0,55.0,The University of Amsterdam,Netherlands,Europe,XL,FC,VH,Public,92.5,57.0,72.6,135.0,27.5,688.0,87.2,113.0,98.8,133.0,95.8,117.0,71.3,259.0,95.1,,90.3,104.0,64.0,,81.5,QS,,,,,,,,,,,,Ranked
54.0,57.0,The Hong Kong Polytechnic University,Hong Kong,Asia,L,CO,VH,Public,81.2,93.0,47.5,275.0,77.1,182.0,98.7,41.0,100.0,34.0,98.8,76.0,97.9,81.0,82.8,,74.1,187.0,80.8,160.0,81.2,QS,,,,,,,,,,,,Ranked
55.0,43.0,New York University (NYU),United States,Americas,XL,FC,VH,Private not for Profit,98.6,32.0,99.9,12.0,89.0,109.0,31.7,568.0,33.1,553.0,99.7,52.0,99.7,42.0,93.5,,99.5,19.0,91.3,52.0,81.1,QS,,,,,,,,,,,,Ranked
56.0,50.0,London School of Economics and Political Science (LSE),United Kingdom,Europe,L,FO,VH,Public,80.6,96.0,99.4,20.0,47.2,417.0,64.0,256.0,100.0,41.0,100.0,14.0,100.0,9.0,76.4,,99.9,14.0,92.7,,80.5,QS,,,,,,,,,,,,Ranked
57.0,50.0,Kyoto University,Japan,Asia,L,FC,VH,Public,99.7,19.0,99.3,22.0,94.3,80.0,50.9,369.0,22.9,675.0,29.2,601.0,35.1,551.0,85.5,,85.9,132.0,84.0,,80.2,QS,,,,,,,,,,,,Ranked
58.0,59.0,Ludwig-Maximilians-Universität München,Germany,Europe,XL,FC,VH,Public,97.1,41.0,95.5,47.0,41.0,493.0,62.3,271.0,80.3,296.0,53.2,387.0,57.6,354.0,95.5,,76.8,172.0,87.0,89.0,80.1,QS,,,,,,,,,,,,Ranked
58.0,60.0,Universiti Malaya (UM),Malaysia,Asia,L,FC,VH,Public,92.3,58.0,96.7,40.0,74.2,205.0,47.4,398.0,69.2,338.0,86.8,188.0,87.3,159.0,92.9,,77.7,167.0,84.7,,80.1,QS,,,,,,,,,,,,Ranked
60.0,63.0,KU Leuven,Belgium,Europe,XL,FC,VH,Public,93.0,53.0,63.5,169.0,9.6,801.0,94.7,75.0,95.8,166.0,65.1,307.0,48.5,428.0,99.5,,83.5,143.0,94.7,25.0,79.7,QS,,,,,,,,,,,,Ranked
61.0,67.0,Korea University,South Korea,Asia,L,FC,VH,Private not for Profit,89.2,70.0,95.4,48.0,77.0,183.0,68.2,229.0,24.5,656.0,64.0,311.0,67.5,287.0,67.7,,93.6,83.0,85.9,101.0,79.6,QS,,,,,,,,,,,,Ranked
62.0,61.0,Duke University,United States,Americas,L,FC,VH,Private not for Profit,92.9,54.0,91.0,68.0,100.0,7.0,47.1,402.0,28.3,602.0,62.0,326.0,46.2,450.0,90.8,,95.6,73.0,77.6,205.0,79.0,QS,,,,,,,,,,,,Ranked
63.0,62.0,City University of Hong Kong,Hong Kong,Asia,M,CO,VH,Public,75.5,109.0,46.7,284.0,94.8,75.0,100.0,2.0,100.0,16.0,100.0,5.0,100.0,2.0,64.5,,48.5,356.0,75.2,,78.9,QS,,,,,,,,,,,,Ranked
63.0,68.0,National Taiwan University (NTU),Taiwan,Asia,L,FC,VH,Public,97.7,38.0,94.2,54.0,38.8,522.0,70.9,209.0,25.3,647.0,59.2,346.0,63.1,313.0,67.1,,100.0,11.0,88.4,,78.9,QS,,,,,,,,,,,,Ranked
65.0,65.0,The University of Auckland,New Zealand,Oceania,XL,FC,VH,Public,91.7,63.0,55.2,220.0,17.6,801.0,79.1,162.0,100.0,83.0,95.5,122.0,95.8,104.0,88.8,,96.9,61.0,95.7,17.0,77.5,QS,,,,,,,,,,,,Ranked
66.0,72.0,"University of California, San Diego (UCSD)",United States,Americas,XL,FC,VH,Public,94.0,49.0,80.2,103.0,54.4,347.0,80.3,155.0,43.8,473.0,47.0,431.0,52.0,400.0,94.0,,40.8,430.0,72.3,,76.9,QS,,,,,,,,,,,,Ranked
67.0,101.0,King Fahd University of Petroleum & Minerals,Saudi Arabia,Asia,M,FO,VH,Public,53.5,206.0,75.6,124.0,92.4,93.0,93.2,85.0,100.0,27.0,76.2,250.0,76.6,228.0,81.0,,97.8,48.0,62.7,,76.5,QS,,,,,,,,,,,,Ranked
68.0,66.0,University of Texas at Austin,United States,Americas,XL,FC,VH,Public,97.6,39.0,96.8,38.0,10.7,801.0,85.4,122.0,9.1,801.0,19.1,742.0,14.4,801.0,90.5,,93.9,82.0,70.6,,76.4,QS,,,,,,,,,,,,Ranked
69.0,79.0,Brown University,United States,Americas,M,FC,VH,Private not for Profit,72.4,126.0,64.3,166.0,84.5,139.0,82.2,143.0,91.0,218.0,67.0,297.0,70.2,269.0,80.1,,81.9,151.0,72.6,280.0,76.2,QS,,,,,,,,,,,,Ranked
70.0,73.0,Université Paris-Saclay,France,Europe,XL,CO,VH,Public,75.3,112.0,99.4,19.0,99.9,24.0,42.4,450.0,45.9,463.0,72.7,263.0,75.4,233.0,98.5,,82.9,146.0,92.7,,75.9,QS,,,,,,,,,,,,Ranked
70.0,69.0,University of Illinois at Urbana-Champaign,United States,Americas,XL,FC,VH,Public,91.7,62.0,91.5,66.0,8.6,801.0,81.6,147.0,14.2,801.0,70.1,277.0,52.2,395.0,91.3,,92.5,86.0,75.9,,75.9,QS,,,,,,,,,,,,Ranked
72.0,75.0,Lund University,Sweden,Europe,L,FC,VH,Public,80.1,99.0,64.1,167.0,68.1,246.0,56.6,312.0,98.8,134.0,82.0,213.0,83.7,181.0,97.1,,96.1,65.0,98.8,,75.7,QS,,,,,,,,,,,,Ranked
72.0,63.0,Sorbonne University (merged from Paris IV & UPMC),France,Europe,XL,FC,VH,Public,93.2,52.0,62.1,182.0,56.4,329.0,68.8,225.0,35.5,533.0,66.8,300.0,70.0,270.0,99.4,,84.2,140.0,89.2,,75.7,QS,,,,,,,,,,,,Ranked
74.0,69.0,The University of Warwick,United Kingdom,Europe,L,FC,VH,Public,82.7,85.0,93.0,60.0,48.3,402.0,43.6,432.0,99.5,111.0,99.2,60.0,99.3,49.0,93.8,,75.3,182.0,84.6,,75.2,QS,,,,,,,,,,,,Ranked
75.0,87.0,"Trinity College Dublin, The University of Dublin",Ireland,Europe,L,FC,VH,Public,82.5,87.0,68.1,154.0,28.7,662.0,66.0,240.0,100.0,88.0,94.9,126.0,95.2,107.0,89.4,,95.3,74.0,73.8,,73.9,QS,,,,,,,,,,,,Ranked
76.0,80.0,University of Birmingham,United Kingdom,Europe,XL,FC,VH,Public,81.1,95.0,75.7,122.0,49.9,385.0,56.1,316.0,96.7,154.0,93.4,139.0,93.9,115.0,96.3,,54.7,305.0,92.8,38.0,73.8,QS,,,,,,,,,,,,Ranked
77.0,77.0,The University of Western Australia,Australia,Oceania,L,FC,VH,Public,69.0,137.0,56.5,209.0,15.1,801.0,99.2,34.0,100.0,77.0,100.0,36.0,100.0,23.0,93.2,,82.6,147.0,83.7,,73.7,QS,,,,,,,,,,,,Ranked
78.0,74.0,KTH Royal Institute of Technology,Sweden,Europe,L,FO,VH,Public,60.2,174.0,62.1,183.0,68.3,242.0,88.2,109.0,95.6,171.0,81.8,215.0,60.9,331.0,91.7,,72.7,197.0,89.8,66.0,73.6,QS,,,,,,,,,,,,Ranked
79.0,78.0,University of Glasgow,United Kingdom,Europe,XL,FC,VH,Public,88.3,72.0,73.5,132.0,50.3,377.0,44.8,416.0,98.0,140.0,99.1,67.0,99.1,57.0,97.0,,44.5,395.0,95.4,,73.4,QS,,,,,,,,,,,,Ranked
80.0,84.0,Ruprecht-Karls-Universität Heidelberg,Germany,Europe,L,FO,VH,Public,87.1,74.0,72.2,138.0,99.8,32.0,41.4,456.0,66.2,352.0,71.4,265.0,74.1,240.0,94.7,,34.6,494.0,85.5,106.0,73.0,QS,,,,,,,,,,,,Ranked
81.0,76.0,University of Washington,United States,Americas,XL,FC,VH,Public,90.1,68.0,74.8,128.0,49.2,391.0,69.2,221.0,14.7,801.0,45.8,441.0,34.2,561.0,95.0,,79.9,160.0,74.9,,72.7,QS,,,,,,,,,,,,Ranked
82.0,,Adelaide University,Australia,Oceania,XL,CO,VH,,78.3,102.0,62.7,176.0,30.5,621.0,69.8,218.0,100.0,90.0,97.5,96.0,72.5,251.0,96.7,,70.4,207.0,86.1,,72.6,QS,,,,,,,,,,,,Ranked
82.0,89.0,Pennsylvania State University,United States,Americas,XL,FC,VH,Public,86.1,77.0,85.8,89.0,29.1,647.0,67.2,235.0,37.4,518.0,38.2,514.0,43.8,476.0,97.4,,79.2,165.0,95.4,,72.6,QS,,,,,,,,,,,,Ranked
84.0,71.0,Universidad de Buenos Aires,Argentina,Americas,XL,FC,VH,Public,98.1,34.0,95.8,44.0,82.0,158.0,2.3,801.0,72.3,328.0,78.5,233.0,80.5,202.0,75.8,,99.9,12.0,66.1,,72.3,QS,,,,,,,,,,,,Ranked
85.0,84.0,Tokyo Institute of Technology,Japan,Asia,M,FO,VH,Public,85.0,80.0,95.7,45.0,87.6,115.0,54.2,339.0,29.8,587.0,43.4,464.0,46.6,446.0,67.8,,33.5,504.0,74.2,,72.1,QS,,,,,,,,,,,,Ranked
86.0,82.0,University of Leeds,United Kingdom,Europe,XL,FC,VH,Public,81.8,90.0,82.1,98.0,39.7,512.0,48.8,380.0,89.7,224.0,96.3,108.0,96.5,93.0,99.2,,62.9,250.0,76.4,,72.0,QS,,,,,,,,,,,,Ranked
87.0,80.0,University of Southampton,United Kingdom,Europe,L,FC,VH,Public,62.6,163.0,55.9,214.0,40.1,504.0,87.8,111.0,96.8,153.0,98.6,82.0,98.6,69.0,97.4,,58.6,279.0,95.1,23.0,71.2,QS,,,,,,,,,,,,Ranked
88.0,108.0,Boston University,United States,Americas,L,FC,VH,Private not for Profit,75.3,111.0,86.7,83.0,40.6,497.0,61.9,273.0,40.0,500.0,92.8,150.0,93.3,124.0,84.9,,86.9,127.0,73.7,264.0,71.1,QS,,,,,,,,,,,,Ranked
88.0,97.0,Freie Universität Berlin,Germany,Europe,L,FC,VH,Public,88.3,71.0,66.4,160.0,8.3,801.0,84.3,128.0,73.8,322.0,56.0,373.0,60.2,340.0,94.4,,46.9,374.0,65.4,391.0,71.1,QS,,,,,,,,,,,,Ranked
88.0,89.0,Purdue University,United States,Americas,XL,FC,VH,Public,74.3,115.0,92.7,62.0,16.4,801.0,62.4,265.0,96.4,159.0,55.3,377.0,59.6,344.0,91.0,,81.0,153.0,88.4,,71.1,QS,,,,,,,,,,,,Ranked
91.0,86.0,The University of Osaka,Japan,Asia,L,FC,VH,Public,90.5,67.0,90.0,73.0,45.6,430.0,65.8,242.0,25.2,649.0,21.1,709.0,27.2,651.0,72.0,,51.4,330.0,79.5,,71.0,QS,,,,,,,,,,,,Ranked
92.0,105.0,The University of Sheffield,United Kingdom,Europe,L,FC,VH,Public,73.0,122.0,61.7,186.0,50.3,378.0,68.4,226.0,81.6,281.0,98.0,89.0,98.1,76.0,96.8,,47.9,363.0,94.3,27.0,70.9,QS,,,,,,,,,,,,Ranked
93.0,103.0,Uppsala University,Sweden,Europe,L,FC,VH,Public,74.7,113.0,48.1,268.0,66.3,260.0,55.9,318.0,99.7,106.0,82.9,207.0,84.5,174.0,95.9,,82.9,145.0,94.4,26.0,70.3,QS,,,,,,,,,,,,Ranked
