University_Name,Country,Year,QS_Rank,QS_Previous_Rank,QS_Academic_Reputation_Score,QS_Region,QS_Size,QS_Focus,QS_Research_Level,QS_Status,THE_Rank,THE_Student_Population,THE_Students_to_Staff_Ratio,THE_International_Students_Pct,THE_Female_Ratio,THE_Male_Ratio,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,Data_Source,QS_THE_Match_Status,QS_Data_Available,THE_Data_Available
Ahlia University,Bahrain,2026,825.5,715.5,18.1,Asia,S,SP,HI,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Ahmadu Bello University,Nigeria,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1216,46669,16.5,0,37,63,31.8775,24.3,10,58.9,20.6,44.2,THE only,THE record not matched in QS,FALSE,TRUE
"Ahmadu Bello University, Zaria",Nigeria,2026,1300.5,-1,6.3,Africa,XL,CO,HI,Not Available,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Ahvaz Jundishapur University of Medical Sciences (AJUMS),Iran,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,925,9059,11.2,4,56,44,36.8165,39.8,14.5,56,56.2,24.3,THE only,THE record not matched in QS,FALSE,TRUE
Aichi Medical University,Japan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1231,1285,2.8,1,58,42,31.673,31,15,47.7,54.7,22.4,THE only,THE record not matched in QS,FALSE,TRUE
AIIMS Rishikesh,India,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1916,2002,1.9,3,37,63,19.45,29,11.2,17.2,22.8,21,THE only,THE record not matched in QS,FALSE,TRUE
Ain Shams University,Egypt,2026,542,592,35.6,Africa,XL,FC,VH,Public,904,171505,14.3,7,52,48,37.1545,28.6,27.5,50.4,41,53.1,QS + THE,Matched,TRUE,TRUE
Air University,Pakistan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,729,10530,14.5,0,35,65,40.54,22.5,12.6,83.7,34.9,49.9,THE only,THE record not matched in QS,FALSE,TRUE
Aix-Marseille University,France,2026,428,481,51,Europe,XL,FC,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Ajman University,United Arab Emirates,2026,440,477,27.8,Asia,S,FO,VH,Private not for Profit,411,4626,15.2,81,57,43,49.5085,25.8,28.7,84,22.8,99.5,QS + THE,Matched,TRUE,TRUE
