University_Name,Country,Year,QS_Rank,QS_Previous_Rank,QS_Academic_Reputation_Score,QS_Region,QS_Size,QS_Focus,QS_Research_Level,QS_Status,THE_Rank,THE_Student_Population,THE_Students_to_Staff_Ratio,THE_International_Students_Pct,THE_Female_Ratio,THE_Male_Ratio,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,Data_Source,QS_THE_Match_Status,QS_Data_Available,THE_Data_Available
Guangxi Normal University,China,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1602,38955,18.4,2,69,31,25.596,16.1,11.1,47.9,40,22.1,THE only,THE record not matched in QS,FALSE,TRUE
Guangzhou Medical University,China,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,932,16107,2.2,2,58,42,36.718,25.6,11.4,74.5,42,24.4,THE only,THE record not matched in QS,FALSE,TRUE
Gubkin Russian State University of Oil and Gas,Russia,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2073,11120,14.3,5,33,67,16.1095,21.4,10.7,10.3,44.9,24.1,THE only,THE record not matched in QS,FALSE,TRUE
Guilan University of Medical Sciences,Iran,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,850,5752,10.8,1,57,43,38.0085,40,11.6,66.3,25.3,25.9,THE only,THE record not matched in QS,FALSE,TRUE
Gulf University for Science and Technology (GUST),Kuwait,2026,925.5,875.5,15.9,Asia,S,FO,VH,Private for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Gunma University,Japan,2026,1300.5,1100.5,3.8,Asia,M,FO,VH,Public,1699,6155,7.4,5,39,61,24.0835,27.9,13.4,24.2,66.3,27.4,QS + THE,Matched,TRUE,TRUE
Guru Ghasidas Vishwavidyalaya,India,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1508,9784,22.4,0,41,59,27.1905,20.1,11.5,50.8,22.9,23.6,THE only,THE record not matched in QS,FALSE,TRUE
Guru Gobind Singh Indraprastha University,India,2026,975.5,1100.5,5.8,Asia,S,CO,VH,Public,847,6027,14.2,4,29,71,38.028,30.8,12.4,74.2,26.9,26.8,QS + THE,Matched,TRUE,TRUE
Guru Jambheshwar University of Science and Technology,India,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1310,7520,18.9,0,45,55,30.233,31.5,11.4,49.9,32.3,18.3,THE only,THE record not matched in QS,FALSE,TRUE
Gwangju Institute of Science and Technology (GIST),South Korea,2026,385,359,21.3,Asia,S,SP,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Gyeongsang National University,South Korea,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1385,16298,12.6,2,44,56,28.8265,27.8,19.5,36,55.7,25.9,THE only,THE record not matched in QS,FALSE,TRUE
Hacettepe University,Turkey,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,877,35176,14.7,3,61,39,37.633,34.8,28.6,49,58.7,27,THE only,THE record not matched in QS,FALSE,TRUE
Hacettepe University,Türkiye,2026,571,645.5,33,Asia,L,FC,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Hakim Sabzevari University,Iran,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1222,11500,24.4,4,60,40,31.746,18.1,11.5,63.5,18.6,43.7,THE only,THE record not matched in QS,FALSE,TRUE
Hallym University,South Korea,2026,1100.5,975.5,3.4,Asia,M,FC,VH,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Halmstad University,Sweden,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,940,4642,11.9,6,62,38,36.561,20.4,16.7,64.8,29,68,THE only,THE record not matched in QS,FALSE,TRUE
Halu Oleo University,Indonesia,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2165,40051,15.5,0,60,40,13.629,16.3,8.7,13.7,17,20.1,THE only,THE record not matched in QS,FALSE,TRUE
Hamad Bin Khalifa University,Qatar,2026,244,183,14.3,Asia,S,FO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Hamadan University of Medical Sciences (UMSHA),Iran,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1021,7882,14.8,6,56,44,35.0655,32.7,16.8,59.1,24.3,24.6,THE only,THE record not matched in QS,FALSE,TRUE
Hamamatsu University School of Medicine,Japan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1161,1205,3.9,3,47,53,32.693,34.2,18.6,42.8,60.5,26,THE only,THE record not matched in QS,FALSE,TRUE
Hamburg University of Technology,Germany,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,595,4396,21.3,28,30,70,43.9245,38.1,26,56.9,86,61.8,THE only,THE record not matched in QS,FALSE,TRUE
Hangzhou Dianzi University (HDU),China,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1270,27192,15.7,4,24,76,30.8455,17.7,17.9,50.1,71.7,33.8,THE only,THE record not matched in QS,FALSE,TRUE
Hangzhou Normal University,China,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1083,32552,16.8,1,-1,-1,34.054,16.8,14.9,70.3,42.3,26.6,THE only,THE record not matched in QS,FALSE,TRUE
Hanoi Medical University,Vietnam,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,920,13081,10.8,0,62,38,36.9055,32,11.9,62.2,44.8,47.5,THE only,THE record not matched in QS,FALSE,TRUE
Hanoi University of Science and Technology,Viet Nam,2026,1300.5,1300.5,12.3,Asia,XL,FO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Hanoi University of Science and Technology,Vietnam,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1729,39204,35.8,0,20,80,23.62,14.5,16.9,30.5,66.1,35.3,THE only,THE record not matched in QS,FALSE,TRUE
Hanyang University,South Korea,2026,159,162,58.2,Asia,L,FC,VH,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Harbin Engineering University,China,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,785,33564,17.1,2,24,76,39.4575,29.7,33.8,50.6,94.1,26,THE only,THE record not matched in QS,FALSE,TRUE
Harbin Engineering University,China (Mainland),2026,1100.5,1100.5,5.2,Asia,L,FO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Harbin Institute of Technology,China,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,132,32375,11,4,-1,-1,63.2045,57.2,57.7,77.2,100,32.5,THE only,THE record not matched in QS,FALSE,TRUE
Harbin Institute of Technology,China (Mainland),2026,256,252,33.3,Asia,XL,FO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Harokopio University of Athens,Greece,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,696,2994,28.1,4,51,49,41.5145,20.8,24.2,79.3,40.2,39.5,THE only,THE record not matched in QS,FALSE,TRUE
Harper Adams University,United Kingdom,2026,1401,1300.5,4,Europe,M,FO,HI,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Harran University,Turkey,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1636,16845,18.9,7,48,52,25.0985,16.8,9.9,48.1,19.1,27.7,THE only,THE record not matched in QS,FALSE,TRUE
Harvard University,United States,2026,5,4,100,Americas,L,FC,VH,Private not for Profit,6,22680,10.1,27,53,47,97.051,95.9,100,98.9,86.7,88.3,QS + THE,Matched,TRUE,TRUE
Hasanuddin University,Indonesia,2026,975.5,1100.5,23.5,Asia,XL,FC,HI,Public,1839,37300,14.8,1,61,39,21.3015,21.6,11.5,28,31.3,25.9,QS + THE,Matched,TRUE,TRUE
The Hashemite University,Jordan,2026,1100.5,1100.5,15.6,Asia,L,FC,HI,Public,1164,21051,23.5,13,64,36,32.6645,14,16.1,59.7,34.7,60.9,QS + THE,Matched,TRUE,TRUE
Hasselt University,Belgium,2026,597,554,8.8,Europe,M,FC,HI,Public,345,6128,28.4,16,50,50,51.979,35,37.8,72.8,87.8,71.2,QS + THE,Matched,TRUE,TRUE
Hassiba Benbouali University of Chlef,Algeria,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1558,30568,20.5,1,66,34,26.228,16.2,12,45.2,31.1,42.2,THE only,THE record not matched in QS,FALSE,TRUE
Hatay Mustafa Kemal University,Turkey,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2081,18234,20.3,3,49,51,15.9395,14.6,9.4,21.8,18.1,21.9,THE only,THE record not matched in QS,FALSE,TRUE
Hazara University Mansehra,Pakistan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1128,12789,24.6,0,45,55,33.2575,17.1,11.6,68.1,17.1,49.8,THE only,THE record not matched in QS,FALSE,TRUE
Hebrew University of Jerusalem,Israel,2026,240,281,42.9,Asia,L,FC,VH,Public,261,17488,16.2,3,58,42,55.982,48.1,47.2,72.6,77.3,43.1,QS + THE,Matched,TRUE,TRUE
Heinrich Heine University Düsseldorf,Germany,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,299,25296,26.8,14,58,42,54.312,36.2,34.3,84.3,83.9,67.2,THE only,THE record not matched in QS,FALSE,TRUE
Hellenic Open University,Greece,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1596,21185,7.3,1,65,35,25.6415,23.8,8.9,44.4,16.8,27.3,THE only,THE record not matched in QS,FALSE,TRUE
Helwan University,Egypt,2026,1300.5,1300.5,11,Africa,XL,CO,HI,Public,1533,153935,23.9,1,56,44,26.7265,22.7,9,43.1,23,47.6,QS + THE,Matched,TRUE,TRUE
Heriot-Watt University,United Kingdom,2026,287,256,25.7,Europe,M,CO,VH,Public,501,9705,15.4,44,39,61,46.2545,33.4,30.3,58.8,70.3,95.5,QS + THE,Matched,TRUE,TRUE
Herzen State Pedagogical University of Russia,Russia,2026,1401,1300.5,3.8,Europe,L,FO,HI,Public,2062,17884,16,21,72,28,16.464,20.7,12.9,9.8,18.6,39.1,QS + THE,Matched,TRUE,TRUE
HES-SO University of Applied Sciences and Arts of Western Switzerland,Switzerland,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1343,17517,6,29,54,46,29.5735,24.5,13.8,36.2,29.6,84,THE only,THE record not matched in QS,FALSE,TRUE
Hindustan Institute of Technology and Science,India,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1229,7766,10.6,6,40,60,31.6935,26.1,10.6,59.8,20.5,28.8,THE only,THE record not matched in QS,FALSE,TRUE
Hirosaki University,Japan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1643,6845,9.9,1,-1,-1,25.0365,24.8,15,30,53.2,29.9,THE only,THE record not matched in QS,FALSE,TRUE
Hiroshima University,Japan,2026,480,474,34.6,Asia,L,FC,VH,Public,638,14922,8.7,12,38,62,42.622,41.7,31.4,47.8,79.8,49.1,QS + THE,Matched,TRUE,TRUE
Hitit University,Turkey,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2020,11234,24.8,10,40,60,17.3965,22.7,10.7,15.7,17.8,29,THE only,THE record not matched in QS,FALSE,TRUE
Hitotsubashi University,Japan,2026,553,539,19.7,Asia,M,SP,VH,Public,1321,6105,14.6,14,33,67,30.025,32.5,21.8,27.6,25.7,64.1,QS + THE,Matched,TRUE,TRUE
Ho Chi Minh City Open University,Vietnam,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1395,29906,45.6,0,64,36,28.6585,10.1,10.9,63.1,16.2,39.2,THE only,THE record not matched in QS,FALSE,TRUE
Hohai University,China (Mainland),2026,1100.5,1100.5,3.2,Asia,XL,FO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Hokkaido University,Japan,2026,170,173,71.5,Asia,L,FC,VH,Public,376,17693,8.3,11,30,70,50.6285,53.5,45.1,47.9,96.8,47,QS + THE,Matched,TRUE,TRUE
Holy Spirit University of Kaslik,Lebanon,2026,775.5,775.5,11.1,Asia,M,FO,HI,Private not for Profit,1454,7374,13,14,55,45,28.0085,23,9.9,38.5,19.5,80.3,QS + THE,Matched,TRUE,TRUE
Hong Kong Baptist University,Hong Kong,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,214,7628,13.4,60,64,36,57.932,34.6,41,84.5,79.5,97.4,THE only,THE record not matched in QS,FALSE,TRUE
Hong Kong Baptist University,"Hong Kong SAR, China",2026,244,252,28.3,Asia,M,CO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Hong Kong Metropolitan University,"Hong Kong SAR, China",2026,785.5,-1,26.5,Asia,L,FO,HI,Not Available,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
The Hong Kong Polytechnic University,Hong Kong,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,82,18636,17.8,42,50,50,69.674,51.9,55.4,91.8,86.5,97.3,THE only,THE record not matched in QS,FALSE,TRUE
The Hong Kong Polytechnic University,"Hong Kong SAR, China",2026,54,57,81.2,Asia,L,CO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
The Hong Kong University of Science and Technology,Hong Kong,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,58,8912,14.3,48,-1,-1,74.123,56.2,60.6,95.6,100,97.2,THE only,THE record not matched in QS,FALSE,TRUE
The Hong Kong University of Science and Technology,"Hong Kong SAR, China",2026,44,47,89.4,Asia,M,FO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Hongik University,South Korea,2026,1401,1300.5,6.3,Asia,L,FO,VH,Private for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Hormozgan University of Medical Sciences,Iran,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1586,3672,11.3,2,54,46,25.7445,40.5,11,26.2,18.8,26.6,THE only,THE record not matched in QS,FALSE,TRUE
Hosei University,Japan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1496,28578,37.4,5,39,61,27.2985,16.3,11.3,49.3,35.2,40.2,THE only,THE record not matched in QS,FALSE,TRUE
Howard University,United States,2026,1100.5,1100.5,8.3,Americas,M,FC,HI,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
HSE University,Russia,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,524,36414,18.8,13,62,38,45.7225,31.7,43.7,54.6,90.7,49.2,THE only,THE record not matched in QS,FALSE,TRUE
Huaqiao University,China,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1245,35586,18,21,48,52,31.402,15.8,15,51.4,46.4,68.2,THE only,THE record not matched in QS,FALSE,TRUE
Huazhong Agricultural University,China (Mainland),2026,925.5,825.5,5.2,Asia,XL,CO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Huazhong University of Science and Technology,China,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,178,61789,16.2,4,-1,-1,60.2265,46.6,48.4,87.1,99.9,30.9,THE only,THE record not matched in QS,FALSE,TRUE
Huazhong University of Science and Technology,China (Mainland),2026,319,300,30.9,Asia,XL,FC,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Hue University,Viet Nam,2026,1401,1300.5,7.6,Asia,XL,CO,HI,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Hue University,Vietnam,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2065,50639,21.5,1,56,44,16.378,14.2,9.4,18.1,17.2,44.6,THE only,THE record not matched in QS,FALSE,TRUE
HUFS - Hankuk (Korea) University of Foreign Studies,South Korea,2026,680,655.5,17.6,Asia,L,CO,HI,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Humanitas University,Italy,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,258,2475,15.9,18,58,42,56.117,36.6,29,98.5,64,64,THE only,THE record not matched in QS,FALSE,TRUE
Humboldt-Universität zu Berlin,Germany,2026,130,126,94.3,Europe,XL,FC,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Humboldt University of Berlin,Germany,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,89,34833,42.1,18,-1,-1,67.197,52.6,60.6,85.5,65.9,77.6,THE only,THE record not matched in QS,FALSE,TRUE
Hunan University,China,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,296,36496,15.3,3,44,56,54.3385,36.6,34.6,90.9,96.5,31.7,THE only,THE record not matched in QS,FALSE,TRUE
Hunan University,China (Mainland),2026,504,448,10.9,Asia,XL,FO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Hungarian University of Agriculture and Life Sciences,Hungary,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1220,9478,11,16,59,41,31.824,33.2,13.2,42,25.3,61.2,THE only,THE record not matched in QS,FALSE,TRUE
Hyogo Medical University,Japan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1303,2613,4.7,1,59,41,30.385,31,14.2,45,52.3,20.4,THE only,THE record not matched in QS,FALSE,TRUE
I. Horbachevsky Ternopil National Medical University,Ukraine,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1230,5206,8,18,71,29,31.6825,24.9,9.8,60,16.5,37.8,THE only,THE record not matched in QS,FALSE,TRUE
I.M. Sechenov First Moscow State Medical University,Russia,2026,875.5,795.5,5,Europe,L,SP,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
I-Shou University,Taiwan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1471,10364,26.8,15,50,50,27.735,16.3,21.1,38.2,60,39.3,THE only,THE record not matched in QS,FALSE,TRUE
Ibaraki University,Japan,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2042,7864,15.5,2,34,66,16.7865,17.9,12.8,13.6,42.6,26.8,THE only,THE record not matched in QS,FALSE,TRUE
Ibn Khaldoun University,Algeria,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,2096,28529,25.2,0,63,37,15.5645,13.7,8.5,19.2,17.2,34.8,THE only,THE record not matched in QS,FALSE,TRUE
Ibn Tofaïl University,Morocco,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1236,60057,73.1,3,58,42,31.569,26.6,22.2,47.8,22.6,27.2,THE only,THE record not matched in QS,FALSE,TRUE
Ibn Zohr University,Morocco,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1350,145463,130,1,50,50,29.4925,20.9,11.8,55.1,21,33.8,THE only,THE record not matched in QS,FALSE,TRUE
Icesi University,Colombia,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1285,5974,11.9,3,52,48,30.5885,20.3,12.1,57,21.4,41.8,THE only,THE record not matched in QS,FALSE,TRUE
IE University,Spain,2026,438,435,12.7,Europe,M,FO,HI,Private for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
IFHE Hyderabad,India,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1478,8438,18.7,0,42,58,27.5615,17.3,10.3,57.2,18.4,21,THE only,THE record not matched in QS,FALSE,TRUE
IIT Gandhinagar,India,2026,825.5,-1,7,Asia,S,FO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Ilam University,Iran,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1274,4588,19,10,49,51,30.7225,23.1,12.3,54.2,36.4,35,THE only,THE record not matched in QS,FALSE,TRUE
Ilam University of Medical Sciences,Iran,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,937,3024,12.9,8,54,46,36.6175,34.2,12.1,66.7,20.3,29.3,THE only,THE record not matched in QS,FALSE,TRUE
Ilia State University,Georgia,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1491,16579,12.2,5,61,39,27.3435,18.9,9.7,47.6,17.5,53,THE only,THE record not matched in QS,FALSE,TRUE
Illinois Institute of Technology,United States,2026,591,605.5,16.9,Americas,M,CO,VH,Private not for Profit,336,6734,13.6,45,38,62,52.2945,41,26.9,77.3,92.4,73.5,QS + THE,Matched,TRUE,TRUE
Imam Abdulrahman Bin Faisal University (formerly University of Dammam),Saudi Arabia,2026,491,513,16.9,Asia,L,FC,HI,Public,562,25111,11,5,89,11,44.8695,33.4,19.5,75.4,26.6,75.7,QS + THE,Matched,TRUE,TRUE
Imam Khomeini International University,Iran,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1134,9129,25.4,12,55,45,33.163,30.4,18,50.5,25.5,37.4,THE only,THE record not matched in QS,FALSE,TRUE
Imam Mohammad Ibn Saud Islamic University,Saudi Arabia,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,613,38256,11.2,15,50,50,43.3695,33.2,22.1,64.9,36.6,83.1,THE only,THE record not matched in QS,FALSE,TRUE
Imam Muhammad Ibn Saud Islamic University - IMSIU,Saudi Arabia,2026,875.5,925.5,16.7,Asia,XL,FC,HI,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Immanuel Kant Baltic Federal University,Russia,2026,975.5,825.5,7.7,Europe,M,CO,VH,Public,1363,6711,16.3,19,58,42,29.2775,37.1,22.1,20.3,37.1,58,QS + THE,Matched,TRUE,TRUE
Imperial College London,United Kingdom,2026,2,2,99.6,Europe,L,FO,VH,Public,8,21340,12.1,60,43,57,94.689,90.6,94.9,98,91.9,98.2,QS + THE,Matched,TRUE,TRUE
IMT Atlantique,France,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,430,1295,7.5,37,26,74,48.7405,47.3,35.5,48.3,97.8,81.2,THE only,THE record not matched in QS,FALSE,TRUE
IMT Nord Europe,France,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1001,1621,18,21,23,77,35.4715,32.9,31,28.8,68.4,72,THE only,THE record not matched in QS,FALSE,TRUE
Incheon National University,South Korea,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1502,17160,21.2,3,39,61,27.2595,19.4,18.4,38.7,48.2,35.5,THE only,THE record not matched in QS,FALSE,TRUE
"Independent University,Bangladesh",Bangladesh,2026,1401,-1,8.8,Asia,M,CO,HI,Private not for Profit,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Indian Institute of Information Technology - Allahabad,India,2026,1401,1401,4.2,Asia,S,FO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Indian Institute of Science,India,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,251,5020,10.5,1,26,74,56.367,61.8,56.9,51.2,98,31.4,THE only,THE record not matched in QS,FALSE,TRUE
Indian Institute of Science (IISc) Bangalore,India,2026,219,211,56.6,Asia,M,SP,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Indian Institute of Science Education and Research Bhopal,India,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1369,2194,14.2,0,39,61,29.15,38.3,21.5,29.4,25.1,23.9,THE only,THE record not matched in QS,FALSE,TRUE
"Indian Institute of Science Education and Research, Pune",India,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1315,1816,11.9,0,32,68,30.1255,36.5,19.8,31.8,31.4,37.6,THE only,THE record not matched in QS,FALSE,TRUE
Indian Institute of Technology BHU Varanasi (IIT BHU Varanasi),India,2026,566,531,9.3,Asia,M,FO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Indian Institute of Technology Bhubaneswar (IIT BBS),India,2026,975.5,975.5,5,Asia,S,FO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Indian Institute of Technology Bombay (IITB),India,2026,129,118,73.3,Asia,L,FO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Indian Institute of Technology Delhi (IITD),India,2026,123,150,67.9,Asia,M,FO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Indian Institute of Technology Gandhinagar,India,2026,-1,-1,-1,Not Available,Not Available,Not Available,Not Available,Not Available,1024,2360,14.8,1,29,71,35.0445,40,26.6,38.1,39.7,33.5,THE only,THE record not matched in QS,FALSE,TRUE
Indian Institute of Technology Guwahati (IITG),India,2026,334,344,25.4,Asia,M,CO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Indian Institute of Technology Hyderabad (IITH),India,2026,664,685.5,10.3,Asia,S,CO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
Indian Institute of Technology Indore,India,2026,556,477,8,Asia,S,FO,VH,Public,573,2332,12.5,0,24,76,44.5425,42.9,28.9,63.9,40.9,36,QS + THE,Matched,TRUE,TRUE
Indian Institute of Technology Kanpur (IITK),India,2026,222,263,49.4,Asia,M,FO,VH,Public,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,QS only,QS record not matched in THE,TRUE,FALSE
