Rank_QS,Previous Rank,Name_QS,Country/Territory,Region,Size,Focus,Research,Status,Academic Reputation SCORE,Academic Reputation  RANK,Employer Reputation SCORE,Employer Reputation RANK,Faculty Student Ratio SCORE,Faculty Student Ratio RANK,Citations per Faculty SCORE,Citations per Faculty RANK,International Faculty  SCORE,International Faculty  RANK,International Student SCORE,International student  RANK,International Students Diversity SCORE,International Students Diversity RANK,International Research Network SCORE,International Research Network RANK,Employment Outcomes SCORE,Employment Outcomes RANK,Sustainability SCORE,Sustainability RANK,Overall SCORE,Rank_THE,Name_THE,Country,Student Population,Students to Staff Ratio,International Students,Female to Male Ratio,Overall Score,Teaching,Research Environment,Research Quality,Industry Impact,International Outlook,Year
285,301,Georgetown University,United States of America,Americas,L,FC,VH,Private not for Profit,38.2,312,60.6,190,74.2,203,21.7,689,22.8,677,51.1,401.0,55.8,366.0,67.4,581.0,96.0,67,69.1,329=,47,209,Georgetown University,United States,17348,9.5,0.19,"2 days, 8:44:00",57.9985,52.2,35.3,82.1,93.0,53.5,2026
285,245,University of Macau,"Macao SAR, China",Asia,L,CO,VH,Public,18.5,660,17.9,701,11.7,801,99.9,21,100.0,25,100.0,30.0,99.6,44.0,55.1,770.0,56.8,294,52.2,658=,47,147,University of Macau,Macao,12258,19.4,0.51,"2 days, 5:47:00",62.0075,40.2,40.9,92.9,87.0,92.5,2026
287,256,Heriot-Watt University,United Kingdom,Europe,M,CO,VH,Public,25.7,490,34.8,415,27.3,692,61.8,275,100.0,78,97.0,100.0,97.2,89.0,75.7,425.0,37.0,467,77.2,210=,46.8,501,Heriot-Watt University,United Kingdom,9705,15.4,0.44,39 : 61,46.2545,33.4,30.3,58.8,70.3,95.5,2026
287,308,Universitas Airlangga,Indonesia,Asia,XL,FC,VH,Public,52.2,213,88.3,78,69.6,235,2.5,801,77.3,308,10.8,801.0,16.7,801.0,52.9,797.0,24.0,658,56.6,568=,46.8,1308,Universitas Airlangga,Indonesia,32097,7.2,0.08,"2 days, 18:34:00",30.2505,28.6,14.1,39.2,24.8,66.3,2026
287,293,University of Arizona,United States of America,Americas,XL,FC,VH,Public,49.3,231,40.4,336,42.8,463,47.4,397,25.4,643,15.2,801.0,21.2,746.0,93.5,116.0,54.1,311,66.9,363=,46.8,140,University of Arizona,United States,52414,20.9,0.07,"2 days, 9:43:00",62.555,48.3,52.5,86.1,80.6,53.7,2026
287,291,University of Bergen,Norway,Europe,L,FC,VH,Public,40.5,297,13.7,701,67.2,254,42.5,446,96.9,150,37.9,516.0,43.5,477.0,91.0,159.0,69.5,217,65.1,397,46.8,287,University of Bergen,Norway,15304,13.0,0.13,"2 days, 14:38:00",54.9004999999999,35.3,36.4,84.1,75.4,75.8,2026
291,267,University of The Witwatersrand,South Africa,Africa,L,FC,VH,Public,36.8,328,50.9,246,14.0,801,40.2,468,86.8,246,9.4,801.0,15.1,801.0,96.7,44.0,99.5,21,85.6,104=,46.4,318,University of the Witwatersrand,South Africa,26928,22.4,0.06,"2 days, 12:40:00",53.2709999999999,34.9,43.1,70.8,91.6,74.3,2026
292,298,Swansea University,United Kingdom,Europe,L,FC,VH,Public,34.7,348,54.7,222,28.6,666,43.0,439,76.9,312,80.5,221.0,82.4,187.0,79.7,357.0,13.7,801,84.4,121,46.2,321,Swansea University,United Kingdom,18650,15.9,0.25,"2 days, 1:51:00",53.157,30.8,30.6,87.4,58.3,88.6,2026
293,307,"University of California, Irvine",United States of America,Americas,XL,FC,VH,Public,46.6,249,37.1,381,26.8,701,53.1,351,39.5,503,64.2,310.0,52.3,394.0,81.9,313.0,28.0,596,64.9,403=,46.1,97,"University of California, Irvine",United States,35079,15.3,0.24,"2 days, 6:46:00",66.4315,47.8,52.8,91.2,98.4,76.3,2026
294,259,Case Western Reserve University,United States of America,Americas,M,FC,VH,Private not for Profit,22.4,560,20.5,642,88.6,111,66.3,239,47.6,449,76.7,246.0,79.0,218.0,58.3,715.0,40.9,429,70.8,303=,46,148,Case Western Reserve University,United States,11514,9.9,0.26,"2 days, 3:49:00",61.97,51.8,42.2,88.7,74.9,64.6,2026
294,291,Swinburne University of Technology,Australia,Oceania,L,CO,VH,Public,18.8,655,19.3,675,14.7,801,95.0,68,87.8,237,94.7,130.0,70.5,266.0,74.0,467.0,22.8,675,73.4,267=,46,256,Swinburne University of Technology,Australia,15725,28.4,0.41,"1 day, 19:57:00",56.158,33.0,33.6,91.4,78.1,81.8,2026
294,316,University of Notre Dame,United States of America,Americas,L,CO,VH,Private not for Profit,38.0,315,43.6,306,70.8,220,36.7,511,28.9,596,32.7,562.0,28.9,627.0,75.4,435.0,75.4,181,72.5,281=,46,195,University of Notre Dame,United States,12781,10.5,0.14,"1 day, 23:53:00",59.0505,52.8,45.8,73.5,72.5,69.9,2026
298,326,Istanbul Technical University,Türkiye,Asia,L,FO,VH,Public,39.6,305,85.3,91,11.5,801,35.3,521,10.4,801,36.5,531.0,42.2,491.0,76.2,419.0,79.7,162,68.5,342=,45.8,512,Istanbul Technical University,Turkey,18037,18.8,0.15,"1 day, 18:58:00",45.952,39.7,41.7,50.4,93.0,44.1,2026
299,320,University of Colorado Boulder,United States of America,Americas,XL,CO,VH,Public,49.0,232,36.8,386,52.1,359,36.0,516,38.6,510,8.5,801.0,14.2,801.0,85.6,242.0,48.9,354,90.3,61=,45.6,160,University of Colorado Boulder,United States,37094,17.0,0.08,"1 day, 22:54:00",61.3184999999999,47.5,51.6,84.1,77.3,53.6,2026
302,296,Stellenbosch University,South Africa,Africa,L,FC,VH,Public,36.7,331,44.8,299,5.0,801,67.5,233,25.4,642,14.5,801.0,11.0,801.0,93.6,111.0,88.9,114,61.0,480=,45.2,326,Stellenbosch University,South Africa,25956,26.8,0.07,"2 days, 10:42:00",52.815,34.8,40.8,75.5,91.8,58.6,2026
303,312,Jagiellonian University,Poland,Europe,XL,FO,VH,Public,49.9,226,54.4,224,75.3,193,10.4,801,8.0,801,30.0,591.0,35.9,536.0,88.6,198.0,61.5,256,71.6,296,45.1,606,Jagiellonian University,Poland,32022,8.8,0.13,"2 days, 19:33:00",43.5905,43.8,33.6,51.1,54.2,45.7,2026
303,324,University of Southern Denmark,Denmark,Europe,L,CO,VH,Public,29.2,425,24.9,540,31.9,602,68.4,227,91.7,212,46.4,435.0,51.3,403.0,77.4,394.0,27.0,607,85.0,110=,45.1,281,University of Southern Denmark,Denmark,17548,9.5,0.15,"2 days, 6:46:00",55.207,30.4,36.0,87.3,98.1,75.8,2026
306,306,Aalborg University,Denmark,Europe,L,FC,VH,Public,26.4,478,25.0,538,27.7,685,77.2,167,89.0,231,29.4,597.0,35.4,546.0,91.7,148.0,25.4,634,79.1,186,44.9,259,Aalborg University,Denmark,16050,13.9,0.13,,56.063,33.6,44.9,80.6,88.0,72.4,2026
308,319,Simon Fraser University,Canada,Americas,L,CO,VH,Public,34.9,345,20.7,636,7.6,801,59.6,289,99.1,127,86.1,189.0,87.3,158.0,78.4,376.0,34.0,500,85.2,109,44.7,335,Simon Fraser University,Canada,26776,24.9,0.31,"2 days, 6:46:00",52.312,26.9,35.6,79.7,83.5,90.7,2026
308,312,University of Johannesburg,South Africa,Africa,L,CO,VH,Public,25.5,496,25.9,523,46.5,424,45.2,410,98.5,136,60.1,342.0,63.9,310.0,99.1,14.0,69.6,215,74.8,241=,44.7,388,University of Johannesburg,South Africa,32659,26.5,0.14,"2 days, 8:44:00",50.2024999999999,29.5,38.4,69.9,81.1,82.0,2026
314,324,University of Miami,United States of America,Americas,L,FC,VH,Private not for Profit,24.5,521,40.3,338,57.9,312,48.4,386,87.8,238,25.1,660.0,31.2,598.0,85.2,251.0,59.6,274,64.6,407=,44.3,227,University of Miami,United States,18574,10.9,0.12,"2 days, 6:46:00",57.3404999999999,47.3,35.5,83.8,83.3,61.6,2026
314,293,University of Tasmania,Australia,Oceania,M,CO,VH,Public,22.5,556,12.2,701,34.3,572,72.8,192,87.1,244,91.7,152.0,92.3,129.0,80.4,348.0,25.0,640,84.0,124=,44.3,255,University of Tasmania,Australia,13316,17.1,0.31,"2 days, 10:42:00",56.1789999999999,34.3,36.9,84.5,82.8,89.3,2026
317,321,L.N. Gumilyov Eurasian National University,Kazakhstan,Asia,L,FO,VH,Public,40.1,300,85.8,86,94.7,78,2.0,801,84.6,262,25.8,649.0,27.2,650.0,31.4,801.0,7.5,801,46.6,801,43.9,1748,L.N. Gumilyov Eurasian National University,Kazakhstan,23205,18.3,0.04,"2 days, 1:51:00",23.3215,20.9,15.2,25.4,17.2,59.2,2026
319,300,Huazhong University of Science and Technology,China (Mainland),Asia,XL,FC,VH,Public,30.9,395,33.4,431,11.6,801,100.0,10,7.1,801,5.2,801.0,4.1,801.0,80.3,349.0,33.5,505,55.7,582=,43.8,178,Huazhong University of Science and Technology,China,61789,16.2,0.04,,60.2265,46.6,48.4,87.1,99.9,30.9,2026
320,298,Bauman Moscow State Technical University,Russian Federation,Europe,L,CO,VH,Public,41.1,289,63.8,168,99.9,25,2.0,801,81.0,287,85.8,190.0,87.1,160.0,14.2,801.0,10.1,801,47.6,770=,43.5,340,Bauman Moscow State Technical University,Russian Federation,15623,6.9,0.2,"1 day, 21:55:00",52.136,68.4,42.8,43.0,54.4,59.6,2026
322,368,University of Tehran,Iran (Islamic Republic of),Asia,XL,CO,VH,Public,31.0,394,41.8,322,4.2,801,91.1,97,2.5,801,3.3,801.0,2.7,801.0,86.8,223.0,58.1,284,45.5,801,43.3,490,University of Tehran,Iran,55821,26.1,0.02,"1 day, 22:54:00",46.655,38.3,31.1,70.1,65.0,36.1,2026
324,336,Sichuan University,China (Mainland),Asia,XL,FC,VH,Public,30.8,397,34.5,418,14.0,801,99.9,20,9.7,801,9.2,801.0,7.1,801.0,72.9,489.0,21.0,709,45.3,801,43,229,Sichuan University,China,49146,15.9,0.05,,57.248,46.5,48.1,74.7,99.6,42.5,2026
326,285,University of Leicester,United Kingdom,Europe,L,FC,VH,Public,29.6,418,17.7,701,40.1,502,44.2,426,90.6,220,90.6,162.0,91.4,137.0,91.1,155.0,31.0,535,81.2,158=,42.9,193,University of Leicester,United Kingdom,16435,14.5,0.37,"2 days, 5:47:00",59.204,35.4,34.9,95.9,69.0,94.8,2026
328,328,University of Delhi,India,Asia,L,FO,VH,Public,46.9,248,41.9,319,6.9,801,47.1,403,1.8,801,2.8,801.0,7.5,801.0,83.0,294.0,98.9,30,71.2,297=,42.6,802,University of Delhi,India,24204,20.2,0.02,"1 day, 23:53:00",39.0049999999999,42.9,29.7,45.8,53.6,24.7,2026
328,434,University of Sharjah,United Arab Emirates,Asia,L,CO,VH,Private not for Profit,28.5,440,34.9,411,9.3,801,52.2,362,100.0,15,100.0,40.0,100.0,28.0,84.8,259.0,19.3,740,58.8,525=,42.6,338,University of Sharjah,United Arab Emirates,12327,17.7,0.51,"2 days, 19:33:00",52.2429999999999,23.5,27.0,94.3,44.7,98.7,2026
331,328,Kyung Hee University,Republic of Korea,Asia,L,FC,VH,Private not for Profit,34.6,349,43.0,312,86.2,125,25.9,625,19.8,715,68.5,286.0,71.5,256.0,66.8,592.0,21.6,698,74.9,237=,42.5,254,Kyung Hee University,South Korea,20363,17.4,0.3,"2 days, 6:46:00",56.2245,41.2,40.3,76.5,99.9,72.5,2026
333,362,York University,Canada,Americas,XL,CO,VH,Public,33.4,366,31.7,451,5.0,801,37.8,493,87.3,242,78.9,227.0,80.9,197.0,73.5,482.0,82.2,149,84.5,119=,42.4,422,York University,Canada,41456,27.4,0.28,"2 days, 6:46:00",49.0635,29.3,33.2,71.5,72.3,86.0,2026
334,362,Sultan Qaboos University,Oman,Asia,M,FC,VH,Public,28.9,430,25.9,522,62.3,284,39.5,478,100.0,81,6.0,801.0,9.9,801.0,80.9,333.0,70.0,209,69.6,320,42.3,577,Sultan Qaboos University,Oman,7375,8.3,0.04,"2 days, 2:50:00",44.45,30.9,24.6,70.1,40.7,73.9,2026
334,344,Tufts University,United States of America,Americas,L,FC,VH,Private not for Profit,23.8,532,21.2,619,65.6,264,52.5,360,42.9,477,48.3,419.0,53.2,387.0,67.0,588.0,69.3,219,86.3,96,42.3,190,Tufts University,United States,12718,10.5,0.18,"2 days, 11:41:00",59.363,51.3,34.7,88.2,76.6,61.9,2026
339,316,Shandong University,China (Mainland),Asia,XL,FC,VH,Public,22.8,549,39.0,352,21.8,799,97.1,54,11.2,801,5.7,801.0,4.5,801.0,72.8,490.0,26.8,610,57.5,550=,42.2,275,Shandong University,China,37862,12.7,0.09,,55.4925,46.4,44.0,72.7,99.3,43.5,2026
341,362,Xiamen University,China (Mainland),Asia,XL,FC,VH,Public,34.3,354,24.2,556,25.0,733,83.9,132,10.8,801,9.3,801.0,7.1,801.0,64.7,626.0,54.4,308,54.1,623,42.1,276,Xiamen University,China,42518,14.2,0.03,,55.4865,43.3,37.6,84.2,95.1,36.6,2026
342,344,University of Oulu,Finland,Europe,M,FC,VH,Public,23.0,546,21.8,607,29.5,640,74.5,181,80.9,289,19.7,733.0,25.8,672.0,87.9,203.0,30.6,541,75.2,232=,42,272,University of Oulu,Finland,11334,22.0,0.1,"2 days, 8:44:00",55.6275,36.7,39.5,85.8,70.9,63.6,2026
343,284,Southern University of Science and Technology (SUSTech),China (Mainland),Asia,M,FO,VH,Public,14.9,701,9.4,701,87.5,116,100.0,14,42.7,479,2.8,801.0,7.2,801.0,47.2,801.0,1.3,801,65.5,387=,41.8,162,Southern University of Science and Technology (SUSTech),China,8193,9.6,0.01,,60.9575,39.6,44.2,93.9,88.5,63.3,2026
343,382,University of Pisa,Italy,Europe,L,FC,VH,Public,51.6,216,26.3,517,12.8,801,59.6,290,5.0,801,10.5,801.0,16.3,801.0,84.6,262.0,25.1,639,72.8,278,41.8,394,University of Pisa,Italy,29834,17.2,0.07,"2 days, 4:48:00",50.0295,36.3,34.7,77.7,67.7,43.2,2026
345,392,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,Asia,M,FO,VH,Public,36.7,330,48.6,266,50.6,374,46.8,405,31.3,571,35.3,538.0,38.9,508.0,45.6,801.0,25.4,632,56.8,560=,41.7,463,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,9244,19.0,0.16,30 : 70,47.4329999999999,33.2,38.3,62.9,97.8,50.0,2026
347,350,Cairo University,Egypt,Africa,XL,FC,VH,Public,60.8,170,52.7,232,13.8,801,6.0,801,4.2,801,14.4,801.0,10.9,801.0,88.9,190.0,98.0,43,66.6,368=,41.6,846,Cairo University,Egypt,173478,24.6,0.07,"2 days, 12:40:00",38.036,29.4,20.0,60.7,42.7,48.6,2026
347,347,Tilburg University,Netherlands,Europe,L,SP,VH,Public,20.5,602,37.1,382,16.8,801,67.1,236,99.0,128,77.4,238.0,79.5,209.0,61.1,678.0,23.1,669,50.6,693=,41.6,330,Tilburg University,Netherlands,12796,19.9,0.24,"2 days, 5:47:00",52.7114999999999,29.1,42.9,73.8,78.9,85.2,2026
347,355,University of Coimbra,Portugal,Europe,L,FC,VH,Public,39.2,307,24.9,542,14.9,801,61.4,279,13.1,801,33.3,554.0,39.1,506.0,92.2,142.0,47.6,368,75.8,226,41.6,453,University of Coimbra,Portugal,23217,20.4,0.19,"2 days, 10:42:00",47.9884999999999,33.8,42.1,61.5,81.4,54.7,2026
350,377,University of Tsukuba,Japan,Asia,L,FC,VH,Public,49.9,225,32.9,436,58.9,307,30.0,588,18.1,742,31.1,577.0,37.0,526.0,68.4,561.0,18.1,757,73.4,267=,41.5,365,University of Tsukuba,Japan,15491,12.4,0.17,38 : 62,50.9419999999999,52.0,46.7,50.8,77.1,49.8,2026
354,315,Quaid-i-azam University,Pakistan,Asia,M,CO,VH,Public,24.0,530,47.6,274,5.3,801,97.5,51,9.8,801,3.1,801.0,7.8,801.0,67.5,577.0,27.8,599,46.9,793=,41.3,484,Quaid-i-Azam University,Pakistan,12431,20.9,0.02,"1 day, 22:54:00",46.8424999999999,28.8,24.5,84.7,40.6,56.1,2026
355,377,Nankai University,China (Mainland),Asia,XL,FC,VH,Public,27.1,464,24.4,552,28.8,659,93.9,81,17.8,749,5.0,801.0,3.9,801.0,56.1,748.0,47.3,370,44.9,801,41.2,253,Nankai University,China,33291,11.7,0.07,,56.3204999999999,45.4,33.9,87.6,80.6,47.9,2026
355,321,National Technical University of Athens,Greece,Europe,L,FO,VH,Public,28.2,448,51.2,244,5.9,801,80.9,153,,,9.6,801.0,14.9,801.0,72.0,499.0,51.4,331,49.3,725=,41.2,823,National Technical University of Athens,Greece,13139,19.5,0.05,35 : 65,38.5325,33.3,24.4,55.1,61.2,35.4,2026
358,371,George Washington University,United States of America,Americas,L,FC,VH,Private not for Profit,31.7,389,45.8,297,30.3,628,43.4,436,13.0,801,39.2,498.0,44.7,466.0,78.7,373.0,85.8,133,60.0,502=,41.1,226,George Washington University,United States,21756,12.4,0.19,"2 days, 13:39:00",57.349,48.5,34.3,84.4,67.8,67.5,2026
358,368,Mahidol University,Thailand,Asia,L,FC,VH,Public,59.4,177,38.8,358,82.4,155,9.0,801,8.5,801,9.1,801.0,14.0,801.0,67.9,569.0,17.4,774,61.2,474=,41.1,630,Mahidol University,Thailand,29737,8.9,0.06,"2 days, 15:37:00",42.797,38.6,28.4,53.1,88.1,49.6,2026
358,349,University of Victoria,Canada,Americas,L,CO,VH,Public,25.6,495,17.3,701,6.2,801,78.7,163,97.2,149,46.0,440.0,51.0,406.0,61.3,673.0,21.2,703,79.9,172=,41.1,316,University of Victoria,Canada,17663,26.3,0.17,"2 days, 10:42:00",53.4799999999999,30.2,37.1,82.9,66.8,83.6,2026
362,354,University of Pretoria,South Africa,Africa,XL,FC,VH,Public,32.3,381,55.1,221,6.2,801,31.2,574,57.2,404,17.4,776.0,23.5,713.0,97.6,26.0,84.8,138,80.1,168,40.9,588,University of Pretoria,South Africa,34827,18.4,0.07,"2 days, 13:39:00",44.1755,32.3,34.7,57.5,61.1,65.2,2026
362,358,University of Tartu,Estonia,Europe,M,FC,VH,Public,28.6,437,23.7,567,94.6,79,19.1,728,62.1,374,20.8,712.0,26.9,654.0,89.0,186.0,89.2,112,64.2,417=,40.9,353,University of Tartu,Estonia,9766,8.9,0.13,"2 days, 20:32:00",51.5649999999999,34.5,31.4,84.0,65.1,59.7,2026
362,336,University of the Philippines,Philippines,Asia,XL,FC,HI,Public,50.6,220,71.1,143,42.7,467,3.2,801,2.4,801,1.2,801.0,5.7,801.0,66.4,600.0,80.8,155,68.9,331=,40.9,1376,University of the Philippines,Philippines,54405,10.7,0.0,"2 days, 9:43:00",29.0249999999999,27.4,17.9,39.0,28.9,38.6,2026
366,375,University of Turku,Finland,Europe,L,FC,VH,Public,36.3,334,20.2,651,63.2,279,39.6,476,46.2,462,8.9,801.0,14.7,801.0,89.2,184.0,46.1,378,74.4,250=,40.6,344,University of Turku,Finland,13966,15.4,0.07,"2 days, 16:36:00",52.018,34.2,35.6,83.4,66.0,52.6,2026
367,316,RUDN University,Russian Federation,Europe,XL,FC,VH,Public,28.4,443,61.2,189,94.0,84,3.9,801,10.9,801,95.3,123.0,95.6,105.0,88.3,199.0,14.3,801,58.9,521=,40.5,825,RUDN University,Russian Federation,27303,17.8,0.34,"2 days, 11:41:00",38.509,39.9,27.8,40.2,36.6,68.7,2026
370,326,Daegu Gyeongbuk Institute of Science and Technology (DGIST),Republic of Korea,Asia,S,FO,VH,Public,17.0,701,28.1,494,82.3,156,100.0,4,5.1,801,7.3,801.0,10.8,801.0,15.8,801.0,2.5,801,42.8,801,40.4,363,Daegu Gyeongbuk Institute of Science and Technology (DGIST),South Korea,942,6.7,0.04,35 : 65,51.0099999999999,49.4,38.7,64.0,89.6,32.4,2026
371,377,Pontificia Universidad Javeriana,Colombia,Americas,L,FC,HI,Private not for Profit,60.5,173,61.8,185,37.8,535,2.7,801,3.8,801,3.7,801.0,8.5,801.0,38.7,801.0,83.1,144,58.6,530=,40.3,1722,Pontificia Universidad Javeriana,Colombia,29088,14.2,0.01,"2 days, 8:44:00",23.7355,21.1,13.0,31.8,24.4,43.0,2026
374,416,Oxford Brookes University,United Kingdom,Europe,L,CO,HI,Public,38.7,309,62.3,178,14.8,801,12.4,801,80.8,291,89.8,168.0,90.7,143.0,61.8,666.0,26.0,624,59.8,506,40,819,Oxford Brookes University,United Kingdom,13930,13.6,0.3,"2 days, 8:44:00",38.6359999999999,26.9,23.1,53.9,30.6,88.1,2026
375,342,Sharif University of Technology,Iran (Islamic Republic of),Asia,M,FO,VH,Public,17.8,686,48.2,267,8.2,801,99.2,36,2.6,801,1.6,801.0,5.9,801.0,68.4,560.0,38.7,448,38.7,801,39.9,358,Sharif University of Technology,Iran,10163,21.9,0.01,25 : 75,51.162,35.2,38.0,78.0,96.7,33.2,2026
377,385,South China University of Technology,China (Mainland),Asia,XL,FO,VH,Public,18.8,652,20.8,635,29.4,641,99.3,31,15.9,778,10.5,801.0,16.4,801.0,64.8,623.0,40.4,434,50.1,701=,39.8,280,South China University of Technology,China,41221,12.0,0.07,39 : 61,55.257,39.0,39.1,84.0,99.7,43.0,2026
378,340,University of Saskatchewan,Canada,Americas,L,FC,VH,Public,16.0,701,10.2,701,21.1,801,71.9,201,82.4,276,65.4,305.0,68.7,280.0,77.3,397.0,44.3,396,83.6,131,39.6,397,University of Saskatchewan,Canada,18283,19.2,0.22,"2 days, 7:45:00",49.9565,39.5,34.0,63.0,96.1,76.0,2026
381,355,University of Luxembourg,Luxembourg,Europe,M,FO,VH,,13.2,701,8.2,701,87.2,118,39.5,479,100.0,19,100.0,33.0,100.0,21.0,68.1,566.0,58.8,277,42.4,801,39.4,265,University of Luxembourg,Luxembourg,5718,20.0,0.52,"2 days, 5:47:00",55.7969999999999,39.9,39.3,75.1,79.8,92.1,2026
385,342,Brunel University of London,United Kingdom,Europe,L,CO,VH,Public,17.6,694,25.2,536,12.2,801,51.8,364,99.5,114,100.0,32.0,100.0,20.0,76.7,410.0,28.8,578,80.4,163=,39.1,414,Brunel University of London,United Kingdom,15410,18.0,0.53,"1 day, 20:56:00",49.2875,24.0,26.6,81.8,64.9,98.1,2026
385,359,Gwangju Institute of Science and Technology (GIST),Republic of Korea,Asia,S,SP,VH,Public,21.3,584,12.4,701,56.7,326,99.9,16,15.7,787,18.5,751.0,20.8,750.0,28.9,801.0,2.2,801,55.3,596=,39.1,402,Gwangju Institute of Science and Technology (GIST),South Korea,1773,9.3,0.09,30 : 70,49.7879999999999,49.3,39.8,53.4,94.0,52.3,2026
387,336,Flinders University,Australia,Oceania,L,FC,VH,Public,19.6,629,9.7,701,11.3,801,64.3,252,97.9,144,97.3,99.0,97.4,87.0,77.3,400.0,15.5,801,81.6,154=,39,320,Flinders University,Australia,16021,29.9,0.4,"2 days, 15:37:00",53.172,27.9,36.9,82.9,68.7,88.3,2026
390,393,National and Kapodistrian University of Athens,Greece,Europe,XL,FC,VH,Public,34.9,344,38.9,354,3.0,801,45.1,412,12.7,801,27.2,624.0,32.7,581.0,79.7,358.0,88.9,115,64.3,415=,38.4,502,National and Kapodistrian University of Athens,Greece,66736,34.1,0.12,"2 days, 12:40:00",46.2475,24.4,26.8,78.0,92.5,55.7,2026
391,501,Abu Dhabi University,United Arab Emirates,Asia,S,FO,VH,Private for Profit,24.6,518,49.8,256,23.9,755,35.9,518,100.0,5,99.9,44.0,99.9,32.0,34.5,801.0,10.1,801,49.6,711=,38.3,233,Abu Dhabi University,United Arab Emirates,2344,10.7,0.6,"2 days, 2:50:00",57.1709999999999,38.0,33.9,92.0,29.5,98.0,2026
392,396,Sejong University,Republic of Korea,Asia,L,CO,VH,Private not for Profit,16.3,701,19.4,672,16.3,801,92.2,92,32.4,558,50.7,407.0,37.8,516.0,77.8,388.0,1.8,801,61.3,471=,38.2,269,Sejong University,South Korea,13684,20.9,0.16,"1 day, 22:54:00",55.7189999999999,33.6,33.6,92.6,83.7,65.8,2026
395,423,Aston University,United Kingdom,Europe,L,CO,VH,Public,18.1,673,27.1,506,12.0,801,56.7,309,97.9,142,63.4,317.0,67.0,290.0,81.8,317.0,28.3,587,67.6,355=,38.1,427,Aston University,United Kingdom,15710,20.9,0.35,"1 day, 23:53:00",48.8409999999999,21.7,26.2,83.6,64.6,95.7,2026
397,380,University of Kent,United Kingdom,Europe,L,CO,VH,Public,20.2,607,13.8,701,16.2,801,58.3,297,96.4,163,49.2,414.0,54.0,381.0,88.0,202.0,44.0,404,65.5,387=,37.7,438,University of Kent,United Kingdom,15680,17.0,0.28,"2 days, 6:46:00",48.4195,29.5,28.4,73.2,64.4,92.6,2026
400,384,Western Sydney University,Australia,Oceania,XL,FC,VH,Public,26.3,480,22.5,593,7.4,801,44.5,419,100.0,59,67.7,292.0,70.9,263.0,87.3,211.0,11.8,801,82.6,140,37.5,306,Western Sydney University,Australia,32737,36.4,0.26,"2 days, 11:41:00",54.0185,30.6,31.8,88.0,68.3,88.5,2026
401,431,University of Granada,Spain,Europe,XL,FC,VH,Public,59.3,178,24.3,554,11.2,801,26.3,622,9.9,801,31.7,572.0,37.6,522.0,96.4,51.0,13.1,801,58.4,536=,37.4,642,University of Granada,Spain,51046,14.3,0.11,"2 days, 13:39:00",42.5495,31.3,29.7,60.9,60.7,53.4,2026
401,421,University of Limerick,Ireland,Europe,L,FC,HI,Public,27.9,453,36.6,390,23.6,758,34.5,527,93.2,198,48.4,417.0,53.3,385.0,71.6,506.0,14.7,801,75.9,223=,37.4,537,University of Limerick,Ireland,14691,27.1,0.18,"2 days, 4:48:00",45.5299999999999,28.6,34.6,61.7,73.1,75.0,2026
404,375,University of Florence,Italy,Europe,XL,FC,VH,Public,45.1,262,16.9,701,7.0,801,49.7,376,11.2,801,20.8,713.0,26.9,655.0,86.1,234.0,36.9,468,72.9,275=,37.2,355,University of Florence,Italy,42558,22.9,0.09,"2 days, 12:40:00",51.4234999999999,37.6,37.9,75.9,76.7,46.7,2026
408,371,University of Turin,Italy,Europe,XL,FC,VH,Public,48.1,237,14.3,701,5.1,801,42.5,447,5.2,801,10.1,801.0,16.0,801.0,90.0,175.0,61.4,257,78.7,188=,36.9,468,University of Turin,Italy,60028,25.4,0.06,"2 days, 14:38:00",47.212,24.3,31.9,81.7,74.0,44.3,2026
410,412,Auckland University of Technology,New Zealand,Oceania,L,CO,VH,Public,29.6,417,22.5,587,13.7,801,33.2,549,100.0,76,100.0,39.0,100.0,27.0,50.4,801.0,23.4,663,74.0,259=,36.7,587,Auckland University of Technology,New Zealand,17420,17.0,0.49,"2 days, 11:41:00",44.1984999999999,22.6,22.8,73.6,49.8,91.3,2026
410,421,Dublin City University,Ireland,Europe,L,FC,HI,Public,29.2,423,37.5,376,27.8,683,22.0,685,80.8,292,43.2,466.0,48.4,429.0,78.0,381.0,40.2,436,79.7,175=,36.7,310,Dublin City University,Ireland,14712,27.3,0.13,"2 days, 10:42:00",53.6939999999999,28.5,36.6,88.6,69.0,71.1,2026
410,539,Sunway University,Malaysia,Asia,M,CO,VH,Private not for Profit,20.9,592,53.3,228,56.9,324,25.2,636,57.1,405,66.9,298.0,68.7,279.0,61.4,671.0,5.1,801,61.2,474=,36.7,307,Sunway University,Malaysia,5046,8.4,0.27,"2 days, 5:47:00",54.0054999999999,27.2,34.2,90.1,58.4,89.3,2026
410,396,University of Southern Queensland,Australia,Oceania,M,CO,VH,Public,11.0,701,8.2,701,7.9,801,90.1,103,78.5,304,48.7,416.0,52.0,398.0,82.2,307.0,11.0,801,65.5,387=,36.7,373,University of Southern Queensland,Australia,10582,21.5,0.19,"2 days, 15:37:00",50.7099999999999,29.3,26.8,87.1,51.3,81.5,2026
