university_name,country,year,ranking_source,rank,score,university_name_std,country_std,rank_original,score_original,rank_normalized,score_normalized
University of Kurdistan,Iran,2026,THE,1037.0,34.8155,university of kurdistan,iran,1037,34.8155,52.694063926940636,27.90836517467249
Riphah International University,Pakistan,2026,THE,1038.0,34.8055,riphah international university,pakistan,1038,34.8055,52.64840182648401,27.896993267831157
ZHAW Zurich University of Applied Sciences,Switzerland,2026,THE,1039.0,34.8049999999999,zhaw zurich university of applied sciences,switzerland,1039,34.8049999999999,52.602739726027394,27.896424672488973
University of Savoie Mont Blanc,France,2026,THE,1040.0,34.7965,university of savoie mont blanc,france,1040,34.7965,52.557077625570784,27.886758551673946
Institute for Advanced Studies in Basic Sciences (IASBS),Iran,2026,THE,1041.0,34.795,institute for advanced studies in basic sciences (iasbs),iran,1041,34.795,52.51141552511416,27.885052765647742
Tokyo Medical University,Japan,2026,THE,1042.0,34.7705,tokyo medical university,japan,1042,34.7705,52.465753424657535,27.85719159388646
University of Ghana,Ghana,2026,THE,1043.0,34.7575,university of ghana,ghana,1043,34.7575,52.42009132420091,27.842408114992722
University of Sannio,Italy,2026,THE,1044.0,34.7295,university of sannio,italy,1044,34.7295,52.374429223744286,27.810566775836975
University of Murcia,Spain,2026,THE,1045.0,34.6795,university of murcia,spain,1045,34.6795,52.32876712328767,27.753707241630277
Chiang Mai University,Thailand,2026,THE,1046.0,34.6645,chiang mai university,thailand,1046,34.6645,52.28310502283106,27.736649381368267
Cochin University of Science and Technology,India,2026,THE,1047.0,34.6615,cochin university of science and technology,india,1047,34.6615,52.237442922374434,27.733237809315863
University of Texas at El Paso,United States,2026,THE,1048.0,34.6284999999999,university of texas at el paso,united states,1048,34.6284999999999,52.19178082191781,27.695710516739336
Lakehead University,Canada,2026,THE,1049.0,34.6255,lakehead university,canada,1049,34.6255,52.146118721461185,27.69229894468705
SRM Institute of Science and Technology,India,2026,THE,1050.0,34.616,srm institute of science and technology,india,1050,34.616,52.10045662100457,27.681495633187776
Jashore University of Science and Technology,Bangladesh,2026,THE,1051.0,34.605,jashore university of science and technology,bangladesh,1051,34.605,52.054794520547944,27.6689865356623
Tallinn University,Estonia,2026,THE,1052.0,34.5849999999999,tallinn university,estonia,1052,34.5849999999999,52.00913242009132,27.646242721979508
Ming Chi University of Technology,Taiwan,2026,THE,1053.0,34.5445,ming chi university of technology,taiwan,1053,34.5445,51.96347031963471,27.6001864992722
TU Bergakademie Freiberg,Germany,2026,THE,1054.0,34.5425,tu bergakademie freiberg,germany,1054,34.5425,51.917808219178085,27.597912117903928
Chiba University,Japan,2026,THE,1055.0,34.54,chiba university,japan,1055,34.54,51.87214611872146,27.595069141193594
Florida Institute of Technology,United States,2026,THE,1055.0,34.54,florida institute of technology,united states,1055,34.54,51.87214611872146,27.595069141193594
The University of Haripur,Pakistan,2026,THE,1057.0,34.5329999999999,the university of haripur,pakistan,1057,34.5329999999999,51.78082191780822,27.587108806404547
