university_name,country,year,ranking_source,rank,score,university_name_std,country_std,rank_original,score_original,rank_normalized,score_normalized
Massachusetts Institute of Technology (MIT),United States of America,2026,QS,1.0,100.0,massachusetts institute of technology (mit),united states of america,1,100,100.0,100.0
Imperial College London,United Kingdom,2026,QS,2.0,99.4,imperial college london,united kingdom,2,99.4,99.92857142857143,99.19893190921229
Stanford University,United States of America,2026,QS,3.0,98.9,stanford university,united states of america,3,98.9,99.85714285714286,98.53137516688919
University of Oxford,United Kingdom,2026,QS,4.0,97.9,university of oxford,united kingdom,4,97.9,99.78571428571429,97.196261682243
Harvard University,United States of America,2026,QS,5.0,97.7,harvard university,united states of america,5,97.7,99.71428571428571,96.92923898531373
University of Cambridge,United Kingdom,2026,QS,6.0,97.2,university of cambridge,united kingdom,6,97.2,99.64285714285714,96.26168224299064
ETH Zurich (Swiss Federal Institute of Technology),Switzerland,2026,QS,7.0,96.7,eth zurich (swiss federal institute of technology),switzerland,7,96.7,99.57142857142857,95.59412550066753
National University of Singapore (NUS),Singapore,2026,QS,8.0,95.9,national university of singapore (nus),singapore,8,95.9,99.5,94.52603471295062
UCL (University College London),United Kingdom,2026,QS,9.0,95.8,ucl (university college london),united kingdom,9,95.8,99.42857142857143,94.39252336448595
California Institute of Technology (Caltech),United States of America,2026,QS,10.0,94.3,california institute of technology (caltech),united states of america,10,94.3,99.35714285714286,92.38985313751667
The University of Hong Kong,"Hong Kong SAR, China",2026,QS,11.0,94.2,the university of hong kong,"hong kong sar, china",11,94.2,99.28571428571429,92.25634178905206
"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,2026,QS,12.0,93.7,"nanyang technological university, singapore (ntu singapore)",singapore,12,93.7,99.21428571428571,91.58878504672896
University of Chicago,United States of America,2026,QS,13.0,93.0,university of chicago,united states of america,13,93,99.14285714285714,90.65420560747664
Peking University,China (Mainland),2026,QS,14.0,92.6,peking university,china (mainland),14,92.6,99.07142857142858,90.12016021361815
University of Pennsylvania,United States of America,2026,QS,15.0,92.5,university of pennsylvania,united states of america,15,92.5,99.0,89.98664886515354
Cornell University,United States of America,2026,QS,16.0,91.6,cornell university,united states of america,16,91.6,98.92857142857143,88.78504672897196
Tsinghua University,China (Mainland),2026,QS,17.0,91.2,tsinghua university,china (mainland),17,91.2,98.85714285714286,88.25100133511347
"University of California, Berkeley (UCB)",United States of America,2026,QS,17.0,91.2,"university of california, berkeley (ucb)",united states of america,17,91.2,98.85714285714286,88.25100133511347
The University of Melbourne,Australia,2026,QS,19.0,90.8,the university of melbourne,australia,19,90.8,98.71428571428571,87.71695594125498
The University of New South Wales,Australia,2026,QS,20.0,90.7,the university of new south wales,australia,20,90.7,98.64285714285714,87.58344459279037
Yale University,United States of America,2026,QS,21.0,90.4,yale university,united states of america,21,90.4,98.57142857142858,87.18291054739655
École Polytechnique Fédérale de Lausanne,Switzerland,2026,QS,22.0,90.2,école polytechnique fédérale de lausanne,switzerland,22,90.2,98.5,86.91588785046727
Technical University of Munich,Germany,2026,QS,22.0,90.2,technical university of munich,germany,22,90.2,98.5,86.91588785046727
Johns Hopkins University,United States of America,2026,QS,24.0,89.7,johns hopkins university,united states of america,24,89.7,98.35714285714286,86.24833110814419
Princeton University,United States of America,2026,QS,25.0,89.4,princeton university,united states of america,25,89.4,98.28571428571429,85.84779706275035
The University of Sydney,Australia,2026,QS,25.0,89.4,the university of sydney,australia,25,89.4,98.28571428571429,85.84779706275035
McGill University,Canada,2026,QS,27.0,88.9,mcgill university,canada,27,88.9,98.14285714285714,85.18024032042723
PSL University,France,2026,QS,28.0,88.6,psl university,france,28,88.6,98.07142857142857,84.77970627503336
University of Toronto,Canada,2026,QS,29.0,88.5,university of toronto,canada,29,88.5,98.0,84.64619492656875
Fudan University,China (Mainland),2026,QS,30.0,88.4,fudan university,china (mainland),30,88.4,97.92857142857143,84.51268357810414
King's College London (KCL),United Kingdom,2026,QS,31.0,88.3,king's college london (kcl),united kingdom,31,88.3,97.85714285714285,84.37917222963951
Australian National University,Australia,2026,QS,32.0,87.4,australian national university,australia,32,87.4,97.78571428571429,83.17757009345794
The Chinese University of Hong Kong,"Hong Kong SAR, China",2026,QS,32.0,87.4,the chinese university of hong kong,"hong kong sar, china",32,87.4,97.78571428571429,83.17757009345794
University of Edinburgh,United Kingdom,2026,QS,34.0,87.2,university of edinburgh,united kingdom,34,87.2,97.64285714285714,82.9105473965287
The University of Manchester,United Kingdom,2026,QS,35.0,86.4,the university of manchester,united kingdom,35,86.4,97.57142857142857,81.84245660881176
Monash University,Australia,2026,QS,36.0,85.8,monash university,australia,36,85.8,97.5,81.04138851802402
The University of Tokyo,Japan,2026,QS,36.0,85.8,the university of tokyo,japan,36,85.8,97.5,81.04138851802402
Columbia University,United States of America,2026,QS,38.0,85.6,columbia university,united states of america,38,85.6,97.35714285714285,80.77436582109478
Seoul National University,Republic of Korea,2026,QS,38.0,85.6,seoul national university,republic of korea,38,85.6,97.35714285714285,80.77436582109478
University of British Columbia,Canada,2026,QS,40.0,85.5,university of british columbia,canada,40,85.5,97.21428571428572,80.64085447263017
Institut Polytechnique de Paris,France,2026,QS,41.0,85.4,institut polytechnique de paris,france,41,85.4,97.14285714285714,80.50734312416556
Northwestern University,United States of America,2026,QS,42.0,85.1,northwestern university,united states of america,42,85.1,97.07142857142857,80.10680907877168
The University of Queensland,Australia,2026,QS,42.0,85.1,the university of queensland,australia,42,85.1,97.07142857142857,80.10680907877168
The Hong Kong University of Science and Technology,"Hong Kong SAR, China",2026,QS,44.0,84.8,the hong kong university of science and technology,"hong kong sar, china",44,84.8,96.92857142857143,79.70627503337782
University of Michigan-Ann Arbor,United States of America,2026,QS,45.0,84.7,university of michigan-ann arbor,united states of america,45,84.7,96.85714285714285,79.57276368491321
"University of California, Los Angeles (UCLA)",United States of America,2026,QS,46.0,84.4,"university of california, los angeles (ucla)",united states of america,46,84.4,96.78571428571429,79.17222963951936
Delft University of Technology,Netherlands,2026,QS,47.0,84.3,delft university of technology,netherlands,47,84.3,96.71428571428572,79.03871829105474
Shanghai Jiao Tong University,China (Mainland),2026,QS,47.0,84.3,shanghai jiao tong university,china (mainland),47,84.3,96.71428571428572,79.03871829105474
Zhejiang University,China (Mainland),2026,QS,49.0,84.0,zhejiang university,china (mainland),49,84,96.57142857142857,78.63818424566087
Yonsei University,Republic of Korea,2026,QS,50.0,82.9,yonsei university,republic of korea,50,82.9,96.5,77.16955941255007
University of Bristol,United Kingdom,2026,QS,51.0,82.5,university of bristol,united kingdom,51,82.5,96.42857142857143,76.63551401869158
Carnegie Mellon University,United States of America,2026,QS,52.0,82.3,carnegie mellon university,united states of america,52,82.3,96.35714285714285,76.36849132176233
The University of Amsterdam,Netherlands,2026,QS,53.0,81.5,the university of amsterdam,netherlands,53,81.5,96.28571428571429,75.30040053404538
The Hong Kong Polytechnic University,"Hong Kong SAR, China",2026,QS,54.0,81.2,the hong kong polytechnic university,"hong kong sar, china",54,81.2,96.21428571428572,74.89986648865154
New York University (NYU),United States of America,2026,QS,55.0,81.1,new york university (nyu),united states of america,55,81.1,96.14285714285714,74.7663551401869
London School of Economics and Political Science (LSE),United Kingdom,2026,QS,56.0,80.5,london school of economics and political science (lse),united kingdom,56,80.5,96.07142857142857,73.96528704939918
Kyoto University,Japan,2026,QS,57.0,80.2,kyoto university,japan,57,80.2,96.0,73.56475300400534
Ludwig-Maximilians-Universität München,Germany,2026,QS,58.0,80.1,ludwig-maximilians-universität münchen,germany,58,80.1,95.92857142857143,73.4312416555407
Universiti Malaya (UM),Malaysia,2026,QS,58.0,80.1,universiti malaya (um),malaysia,58,80.1,95.92857142857143,73.4312416555407
KU Leuven,Belgium,2026,QS,60.0,79.7,ku leuven,belgium,60,79.7,95.78571428571429,72.89719626168224
Korea University,Republic of Korea,2026,QS,61.0,79.6,korea university,republic of korea,61,79.6,95.71428571428572,72.7636849132176
Duke University,United States of America,2026,QS,62.0,79.0,duke university,united states of america,62,79,95.64285714285714,71.96261682242991
City University of Hong Kong,"Hong Kong SAR, China",2026,QS,63.0,78.9,city university of hong kong,"hong kong sar, china",63,78.9,95.57142857142857,71.82910547396529
National Taiwan University (NTU),Taiwan,2026,QS,63.0,78.9,national taiwan university (ntu),taiwan,63,78.9,95.57142857142857,71.82910547396529
The University of Auckland,New Zealand,2026,QS,65.0,77.5,the university of auckland,new zealand,65,77.5,95.42857142857143,69.95994659546061
"University of California, San Diego (UCSD)",United States of America,2026,QS,66.0,76.9,"university of california, san diego (ucsd)",united states of america,66,76.9,95.35714285714286,69.1588785046729
King Fahd University of Petroleum & Minerals,Saudi Arabia,2026,QS,67.0,76.5,king fahd university of petroleum & minerals,saudi arabia,67,76.5,95.28571428571428,68.62483311081441
University of Texas at Austin,United States of America,2026,QS,68.0,76.4,university of texas at austin,united states of america,68,76.4,95.21428571428572,68.4913217623498
Brown University,United States of America,2026,QS,69.0,76.2,brown university,united states of america,69,76.2,95.14285714285714,68.22429906542055
Université Paris-Saclay,France,2026,QS,70.0,75.9,université paris-saclay,france,70,75.9,95.07142857142857,67.8237650200267
University of Illinois at Urbana-Champaign,United States of America,2026,QS,70.0,75.9,university of illinois at urbana-champaign,united states of america,70,75.9,95.07142857142857,67.8237650200267
Lund University,Sweden,2026,QS,72.0,75.7,lund university,sweden,72,75.7,94.92857142857143,67.55674232309747
Sorbonne University (merged from Paris IV & UPMC),France,2026,QS,72.0,75.7,sorbonne university (merged from paris iv & upmc),france,72,75.7,94.92857142857143,67.55674232309747
The University of Warwick,United Kingdom,2026,QS,74.0,75.2,the university of warwick,united kingdom,74,75.2,94.78571428571428,66.88918558077435
"Trinity College Dublin, The University of Dublin",Ireland,2026,QS,75.0,73.9,"trinity college dublin, the university of dublin",ireland,75,73.9,94.71428571428572,65.15353805073431
University of Birmingham,United Kingdom,2026,QS,76.0,73.8,university of birmingham,united kingdom,76,73.8,94.64285714285714,65.02002670226969
The University of Western Australia,Australia,2026,QS,77.0,73.7,the university of western australia,australia,77,73.7,94.57142857142857,64.88651535380508
KTH Royal Institute of Technology,Sweden,2026,QS,78.0,73.6,kth royal institute of technology,sweden,78,73.6,94.5,64.75300400534044
University of Glasgow,United Kingdom,2026,QS,79.0,73.4,university of glasgow,united kingdom,79,73.4,94.42857142857143,64.48598130841121
Ruprecht-Karls-Universität Heidelberg,Germany,2026,QS,80.0,73.0,ruprecht-karls-universität heidelberg,germany,80,73,94.35714285714286,63.95193591455273
University of Washington,United States of America,2026,QS,81.0,72.7,university of washington,united states of america,81,72.7,94.28571428571428,63.55140186915887
Adelaide University,Australia,2026,QS,82.0,72.6,adelaide university,australia,82,72.6,94.21428571428572,63.41789052069424
Pennsylvania State University,United States of America,2026,QS,82.0,72.6,pennsylvania state university,united states of america,82,72.6,94.21428571428572,63.41789052069424
Universidad de Buenos Aires,Argentina,2026,QS,84.0,72.3,universidad de buenos aires,argentina,84,72.3,94.07142857142857,63.01735647530039
Tokyo Institute of Technology,Japan,2026,QS,85.0,72.1,tokyo institute of technology,japan,85,72.1,94.0,62.75033377837115
University of Leeds,United Kingdom,2026,QS,86.0,72.0,university of leeds,united kingdom,86,72,93.92857142857143,62.616822429906534
University of Southampton,United Kingdom,2026,QS,87.0,71.2,university of southampton,united kingdom,87,71.2,93.85714285714286,61.54873164218958
Boston University,United States of America,2026,QS,88.0,71.1,boston university,united states of america,88,71.1,93.78571428571428,61.41522029372495
Freie Universität Berlin,Germany,2026,QS,88.0,71.1,freie universität berlin,germany,88,71.1,93.78571428571428,61.41522029372495
Purdue University,United States of America,2026,QS,88.0,71.1,purdue university,united states of america,88,71.1,93.78571428571428,61.41522029372495
The University of Osaka,Japan,2026,QS,91.0,71.0,the university of osaka,japan,91,71,93.57142857142857,61.28170894526034
The University of Sheffield,United Kingdom,2026,QS,92.0,70.9,the university of sheffield,united kingdom,92,70.9,93.5,61.148197596795725
Uppsala University,Sweden,2026,QS,93.0,70.3,uppsala university,sweden,93,70.3,93.42857142857143,60.347129506008
Durham University,United Kingdom,2026,QS,94.0,70.1,durham university,united kingdom,94,70.1,93.35714285714286,60.08010680907876
University of Alberta,Canada,2026,QS,94.0,70.1,university of alberta,canada,94,70.1,93.35714285714286,60.08010680907876
University of Technology Sydney,Australia,2026,QS,96.0,69.9,university of technology sydney,australia,96,69.9,93.21428571428572,59.81308411214954
The University of Nottingham,United Kingdom,2026,QS,97.0,69.4,the university of nottingham,united kingdom,97,69.4,93.14285714285714,59.14552736982643
Karlsruhe Institute of Technology (KIT),Germany,2026,QS,98.0,69.1,karlsruhe institute of technology (kit),germany,98,69.1,93.07142857142857,58.744993324432556
Politecnico di Milano,Italy,2026,QS,98.0,69.1,politecnico di milano,italy,98,69.1,93.07142857142857,58.744993324432556
University of Zurich (UZH),Switzerland,2026,QS,100.0,68.5,university of zurich (uzh),switzerland,100,68.5,92.92857142857143,57.943925233644855
University of Copenhagen,Denmark,2026,QS,101.0,68.4,university of copenhagen,denmark,101,68.4,92.85714285714286,57.810413885180246
Pohang University of Science And Technology (POSTECH),Republic of Korea,2026,QS,102.0,67.9,pohang university of science and technology (postech),republic of korea,102,67.9,92.78571428571428,57.14285714285714
Nanjing University,China (Mainland),2026,QS,103.0,67.7,nanjing university,china (mainland),103,67.7,92.71428571428572,56.8758344459279
Utrecht University,Netherlands,2026,QS,103.0,67.7,utrecht university,netherlands,103,67.7,92.71428571428572,56.8758344459279
Lomonosov Moscow State University,Russian Federation,2026,QS,105.0,67.6,lomonosov moscow state university,russian federation,105,67.6,92.57142857142857,56.74232309746326
Rheinisch-Westfälische Technische Hochschule Aachen,Germany,2026,QS,105.0,67.6,rheinisch-westfälische technische hochschule aachen,germany,105,67.6,92.57142857142857,56.74232309746326
Technical University of Denmark,Denmark,2026,QS,107.0,67.5,technical university of denmark,denmark,107,67.5,92.42857142857143,56.608811748998654
Universidade de São Paulo (USP),Brazil,2026,QS,108.0,67.3,universidade de são paulo (usp),brazil,108,67.3,92.35714285714286,56.341789052069416
Tohoku University,Japan,2026,QS,109.0,66.7,tohoku university,japan,109,66.7,92.28571428571428,55.54072096128171
Queen Mary University of London (QMUL),United Kingdom,2026,QS,110.0,66.6,queen mary university of london (qmul),united kingdom,110,66.6,92.21428571428572,55.40720961281708
University of Wisconsin-Madison,United States of America,2026,QS,110.0,66.6,university of wisconsin-madison,united states of america,110,66.6,92.21428571428572,55.40720961281708
Qatar University,Qatar,2026,QS,112.0,66.5,qatar university,qatar,112,66.5,92.07142857142857,55.27369826435247
University of St Andrews,United Kingdom,2026,QS,113.0,66.4,university of st andrews,united kingdom,113,66.4,92.0,55.14018691588786
Aalto University,Finland,2026,QS,114.0,66.3,aalto university,finland,114,66.3,91.92857142857143,55.00667556742322
"University of California, Davis",United States of America,2026,QS,114.0,66.3,"university of california, davis",united states of america,114,66.3,91.92857142857143,55.00667556742322
Pontificia Universidad Católica de Chile,Chile,2026,QS,116.0,66.1,pontificia universidad católica de chile,chile,116,66.1,91.78571428571428,54.739652870493984
University of Helsinki,Finland,2026,QS,116.0,66.1,university of helsinki,finland,116,66.1,91.78571428571428,54.739652870493984
University College Dublin,Ireland,2026,QS,118.0,66.0,university college dublin,ireland,118,66,91.64285714285715,54.60614152202936
Leiden University,Netherlands,2026,QS,119.0,65.7,leiden university,netherlands,119,65.7,91.57142857142857,54.20560747663551
Rice University,United States of America,2026,QS,119.0,65.7,rice university,united states of america,119,65.7,91.57142857142857,54.20560747663551
University of Oslo,Norway,2026,QS,119.0,65.7,university of oslo,norway,119,65.7,91.57142857142857,54.20560747663551
University of Waterloo,Canada,2026,QS,119.0,65.7,university of waterloo,canada,119,65.7,91.57142857142857,54.20560747663551
Georgia Institute of Technology,United States of America,2026,QS,123.0,65.5,georgia institute of technology,united states of america,123,65.5,91.28571428571428,53.93858477970627
Indian Institute of Technology Delhi (IITD),India,2026,QS,123.0,65.5,indian institute of technology delhi (iitd),india,123,65.5,91.28571428571428,53.93858477970627
RMIT University,Australia,2026,QS,125.0,65.3,rmit university,australia,125,65.3,91.14285714285715,53.67156208277702
Sungkyunkwan University,Republic of Korea,2026,QS,126.0,65.2,sungkyunkwan university,republic of korea,126,65.2,91.07142857142857,53.538050734312414
Universiti Kebangsaan Malaysia (UKM),Malaysia,2026,QS,126.0,65.2,universiti kebangsaan malaysia (ukm),malaysia,126,65.2,91.07142857142857,53.538050734312414
Sapienza University of Rome,Italy,2026,QS,128.0,64.9,sapienza university of rome,italy,128,64.9,90.92857142857143,53.13751668891856
Indian Institute of Technology Bombay (IITB),India,2026,QS,129.0,64.8,indian institute of technology bombay (iitb),india,129,64.8,90.85714285714286,53.00400534045393
Humboldt-Universität zu Berlin,Germany,2026,QS,130.0,64.5,humboldt-universität zu berlin,germany,130,64.5,90.78571428571428,52.603471295060075
Aarhus University,Denmark,2026,QS,131.0,64.3,aarhus university,denmark,131,64.3,90.71428571428571,52.336448598130836
University of Bath,United Kingdom,2026,QS,132.0,64.2,university of bath,united kingdom,132,64.2,90.64285714285715,52.20293724966621
University of Science and Technology of China,China (Mainland),2026,QS,132.0,64.2,university of science and technology of china,china (mainland),132,64.2,90.64285714285715,52.20293724966621
Universiti Putra Malaysia (UPM),Malaysia,2026,QS,134.0,64.1,universiti putra malaysia (upm),malaysia,134,64.1,90.5,52.06942590120159
Universiti Sains Malaysia (USM),Malaysia,2026,QS,134.0,64.1,universiti sains malaysia (usm),malaysia,134,64.1,90.5,52.06942590120159
Universidad Nacional Autónoma de México (UNAM),Mexico,2026,QS,136.0,64.0,universidad nacional autónoma de méxico (unam),mexico,136,64,90.35714285714286,51.935914552736975
Newcastle University,United Kingdom,2026,QS,137.0,63.9,newcastle university,united kingdom,137,63.9,90.28571428571428,51.80240320427235
Alma Mater Studiorum - University of Bologna,Italy,2026,QS,138.0,63.3,alma mater studiorum - university of bologna,italy,138,63.3,90.21428571428571,51.001335113484636
Macquarie University,Australia,2026,QS,138.0,63.3,macquarie university,australia,138,63.3,90.21428571428571,51.001335113484636
Eindhoven University of Technology,Netherlands,2026,QS,140.0,63.2,eindhoven university of technology,netherlands,140,63.2,90.07142857142857,50.86782376502003
Erasmus University Rotterdam,Netherlands,2026,QS,140.0,63.2,erasmus university rotterdam,netherlands,140,63.2,90.07142857142857,50.86782376502003
"University of North Carolina, Chapel Hill",United States of America,2026,QS,140.0,63.2,"university of north carolina, chapel hill",united states of america,140,63.2,90.07142857142857,50.86782376502003
King Saud University,Saudi Arabia,2026,QS,143.0,63.1,king saud university,saudi arabia,143,63.1,89.85714285714286,50.734312416555404
Texas A&M University,United States of America,2026,QS,144.0,63.0,texas a&m university,united states of america,144,63,89.78571428571429,50.60080106809078
Technische Universität Berlin,Germany,2026,QS,145.0,62.8,technische universität berlin,germany,145,62.8,89.71428571428571,50.33377837116154
University of Southern California,United States of America,2026,QS,146.0,62.6,university of southern california,united states of america,146,62.6,89.64285714285715,50.06675567423231
Stockholm University,Sweden,2026,QS,147.0,62.5,stockholm university,sweden,147,62.5,89.57142857142857,49.93324432576768
University of Groningen,Netherlands,2026,QS,147.0,62.5,university of groningen,netherlands,147,62.5,89.57142857142857,49.93324432576768
University of Liverpool,United Kingdom,2026,QS,147.0,62.5,university of liverpool,united kingdom,147,62.5,89.57142857142857,49.93324432576768
University of Cape Town,South Africa,2026,QS,150.0,62.3,university of cape town,south africa,150,62.3,89.35714285714286,49.66622162883844
Western University,Canada,2026,QS,151.0,62.0,western university,canada,151,62,89.28571428571429,49.26568758344459
University of Vienna,Austria,2026,QS,152.0,61.9,university of vienna,austria,152,61.9,89.21428571428571,49.132176234979966
Universiti Teknologi Malaysia (UTM),Malaysia,2026,QS,153.0,61.6,universiti teknologi malaysia (utm),malaysia,153,61.6,89.14285714285714,48.73164218958611
Wageningen University & Research,Netherlands,2026,QS,153.0,61.6,wageningen university & research,netherlands,153,61.6,89.14285714285714,48.73164218958611
University of Exeter,United Kingdom,2026,QS,155.0,61.5,university of exeter,united kingdom,155,61.5,89.0,48.59813084112149
University of Geneva,Switzerland,2026,QS,155.0,61.5,university of geneva,switzerland,155,61.5,89.0,48.59813084112149
Lancaster University,United Kingdom,2026,QS,157.0,61.4,lancaster university,united kingdom,157,61.4,88.85714285714286,48.464619492656865
University of Basel,Switzerland,2026,QS,158.0,61.3,university of basel,switzerland,158,61.3,88.78571428571429,48.33110814419225
Hanyang University,Republic of Korea,2026,QS,159.0,61.2,hanyang university,republic of korea,159,61.2,88.71428571428571,48.197596795727634
University of Barcelona,Spain,2026,QS,160.0,61.0,university of barcelona,spain,160,61,88.64285714285714,47.93057409879839
Michigan State University,United States of America,2026,QS,161.0,60.9,michigan state university,united states of america,161,60.9,88.57142857142857,47.797062750333765
Ghent University,Belgium,2026,QS,162.0,60.8,ghent university,belgium,162,60.8,88.5,47.66355140186915
King Abdul Aziz University (KAU),Saudi Arabia,2026,QS,163.0,60.7,king abdul aziz university (kau),saudi arabia,163,60.7,88.42857142857142,47.53004005340454
Nagoya University,Japan,2026,QS,164.0,60.3,nagoya university,japan,164,60.3,88.35714285714286,46.99599465954606
Chalmers University of Technology,Sweden,2026,QS,165.0,60.2,chalmers university of technology,sweden,165,60.2,88.28571428571429,46.86248331108144
Al-Farabi Kazakh National University,Kazakhstan,2026,QS,166.0,59.8,al-farabi kazakh national university,kazakhstan,166,59.8,88.21428571428571,46.328437917222956
Washington University in St. Louis,United States of America,2026,QS,167.0,59.6,washington university in st. louis,united states of america,167,59.6,88.14285714285714,46.061415220293725
University of Montreal,Canada,2026,QS,168.0,59.5,university of montreal,canada,168,59.5,88.07142857142857,45.9279038718291
University of York,United Kingdom,2026,QS,169.0,59.4,university of york,united kingdom,169,59.4,88.0,45.79439252336448
Hokkaido University,Japan,2026,QS,170.0,59.3,hokkaido university,japan,170,59.3,87.92857142857143,45.660881174899856
Kyushu University,Japan,2026,QS,170.0,59.3,kyushu university,japan,170,59.3,87.92857142857143,45.660881174899856
Universitat Autónoma de Barcelona,Spain,2026,QS,172.0,59.2,universitat autónoma de barcelona,spain,172,59.2,87.78571428571429,45.52736982643524
Arizona State University,United States of America,2026,QS,173.0,59.1,arizona state university,united states of america,173,59.1,87.71428571428571,45.393858477970625
McMaster University,Canada,2026,QS,173.0,59.1,mcmaster university,canada,173,59.1,87.71428571428571,45.393858477970625
Universidad de Chile,Chile,2026,QS,173.0,59.1,universidad de chile,chile,173,59.1,87.71428571428571,45.393858477970625
National Tsing Hua University,Taiwan,2026,QS,176.0,59.0,national tsing hua university,taiwan,176,59,87.5,45.260347129506
Khalifa University of Science and Technology,United Arab Emirates,2026,QS,177.0,58.8,khalifa university of science and technology,united arab emirates,177,58.8,87.42857142857143,44.993324432576756
Tongji University,China (Mainland),2026,QS,177.0,58.8,tongji university,china (mainland),177,58.8,87.42857142857143,44.993324432576756
"University of California, Santa Barbara (UCSB)",United States of America,2026,QS,179.0,58.7,"university of california, santa barbara (ucsb)",united states of america,179,58.7,87.28571428571429,44.85981308411215
Indian Institute of Technology Madras (IITM),India,2026,QS,180.0,58.4,indian institute of technology madras (iitm),india,180,58.4,87.21428571428571,44.459279038718286
Cardiff University,United Kingdom,2026,QS,181.0,57.8,cardiff university,united kingdom,181,57.8,87.14285714285714,43.65821094793056
Emory University,United States of America,2026,QS,182.0,57.7,emory university,united states of america,182,57.7,87.07142857142857,43.524699599465954
Curtin University,Australia,2026,QS,183.0,57.6,curtin university,australia,183,57.6,87.0,43.39118825100133
University of Bern,Switzerland,2026,QS,184.0,57.5,university of bern,switzerland,184,57.5,86.92857142857143,43.257676902536716
University of Wollongong,Australia,2026,QS,184.0,57.5,university of wollongong,australia,184,57.5,86.92857142857143,43.257676902536716
Wuhan University,China (Mainland),2026,QS,186.0,57.3,wuhan university,china (mainland),186,57.3,86.78571428571429,42.99065420560747
Tecnológico de Monterrey (ITESM),Mexico,2026,QS,187.0,57.1,tecnológico de monterrey (itesm),mexico,187,57.1,86.71428571428571,42.72363150867823
University Complutense Madrid,Spain,2026,QS,187.0,57.1,university complutense madrid,spain,187,57.1,86.71428571428571,42.72363150867823
UNIVERSITAS INDONESIA,Indonesia,2026,QS,189.0,57.0,universitas indonesia,indonesia,189,57,86.57142857142858,42.590120160213615
Ohio State University,United States of America,2026,QS,190.0,56.9,ohio state university,united states of america,190,56.9,86.5,42.45660881174899
"Queen's University, Ontario",Canada,2026,QS,191.0,56.8,"queen's university, ontario",canada,191,56.8,86.42857142857143,42.32309746328437
Université Catholique de Louvain (UCL),Belgium,2026,QS,191.0,56.8,université catholique de louvain (ucl),belgium,191,56.8,86.42857142857143,42.32309746328437
Universität Hamburg,Germany,2026,QS,193.0,56.5,universität hamburg,germany,193,56.5,86.28571428571429,41.922563417890515
University of Reading,United Kingdom,2026,QS,194.0,56.2,university of reading,united kingdom,194,56.2,86.21428571428571,41.52202937249666
Vrije Universiteit Amsterdam,Netherlands,2026,QS,194.0,56.2,vrije universiteit amsterdam,netherlands,194,56.2,86.21428571428571,41.52202937249666
Waseda University,Japan,2026,QS,196.0,56.1,waseda university,japan,196,56.1,86.07142857142858,41.38851802403204
University of Otago,New Zealand,2026,QS,197.0,55.8,university of otago,new zealand,197,55.8,86.0,40.98798397863818
Vienna University of Technology,Austria,2026,QS,197.0,55.8,vienna university of technology,austria,197,55.8,86.0,40.98798397863818
National Yang Ming Chiao Tung University,Taiwan,2026,QS,199.0,55.7,national yang ming chiao tung university,taiwan,199,55.7,85.85714285714286,40.85447263017357
Queen's University Belfast,United Kingdom,2026,QS,199.0,55.7,queen's university belfast,united kingdom,199,55.7,85.85714285714286,40.85447263017357
Universität Freiburg,Germany,2026,QS,201.0,55.6,universität freiburg,germany,201,55.6,85.71428571428571,40.72096128170894
University of Gothenburg,Sweden,2026,QS,202.0,55.5,university of gothenburg,sweden,202,55.5,85.64285714285714,40.587449933244315
National Cheng Kung University (NCKU),Taiwan,2026,QS,203.0,55.2,national cheng kung university (ncku),taiwan,203,55.2,85.57142857142857,40.18691588785047
University of Twente,Netherlands,2026,QS,203.0,55.2,university of twente,netherlands,203,55.2,85.57142857142857,40.18691588785047
Ecole Normale Supérieure de Lyon,France,2026,QS,205.0,55.1,ecole normale supérieure de lyon,france,205,55.1,85.42857142857143,40.053404539385845
Universidad Autónoma de Madrid,Spain,2026,QS,206.0,55.0,universidad autónoma de madrid,spain,206,55,85.35714285714285,39.91989319092122
Deakin University,Australia,2026,QS,207.0,54.9,deakin university,australia,207,54.9,85.28571428571429,39.786381842456606
Rheinische Friedrich-Wilhelms-Universität Bonn,Germany,2026,QS,207.0,54.9,rheinische friedrich-wilhelms-universität bonn,germany,207,54.9,85.28571428571429,39.786381842456606
"University of Maryland, College Park",United States of America,2026,QS,207.0,54.9,"university of maryland, college park",united states of america,207,54.9,85.28571428571429,39.786381842456606
University of Minnesota (System),United States of America,2026,QS,210.0,54.8,university of minnesota (system),united states of america,210,54.8,85.07142857142857,39.65287049399198
University of Calgary,Canada,2026,QS,211.0,54.7,university of calgary,canada,211,54.7,85.0,39.51935914552737
Universidad de Los Andes Colombia,Colombia,2026,QS,212.0,54.6,universidad de los andes colombia,colombia,212,54.6,84.92857142857143,39.385847797062745
University of Florida,United States of America,2026,QS,212.0,54.6,university of florida,united states of america,212,54.6,84.92857142857143,39.385847797062745
University of Lausanne,Switzerland,2026,QS,212.0,54.6,university of lausanne,switzerland,212,54.6,84.92857142857143,39.385847797062745
Eberhard Karls Universität Tübingen,Germany,2026,QS,215.0,54.5,eberhard karls universität tübingen,germany,215,54.5,84.71428571428572,39.25233644859812
Indian Institute of Technology Kharagpur (IITKGP),India,2026,QS,215.0,54.5,indian institute of technology kharagpur (iitkgp),india,215,54.5,84.71428571428572,39.25233644859812
