university_name,country,year,ranking_source,rank,score,university_name_std,country_std,rank_original,rank_numeric,score_original,score_numeric,rank_normalized,score_normalized
The University of Alabama,United States,2026,THE,871.0,37.7005,the university of alabama,united states,871,871.0,37.7005,37.7005,60.273972602739725,30.566948264717027
Wenzhou University,China,2026,THE,872.0,37.698,wenzhou university,china,872,872.0,37.698,37.698,60.2283105022831,30.564162004324274
SR University,India,2026,THE,873.0,37.6849999999999,sr university,india,873,873.0,37.6849999999999,37.6849999999999,60.18264840182649,30.549673450281862
The Catholic University of America,United States,2026,THE,874.0,37.6745,the catholic university of america,united states,874,874.0,37.6745,37.6745,60.136986301369866,30.537971156632416
University of Westminster,United Kingdom,2026,THE,875.0,37.673,university of westminster,united kingdom,875,875.0,37.673,37.673,60.09132420091324,30.536299400396764
University of Debrecen,Hungary,2026,THE,876.0,37.6635,university of debrecen,hungary,876,876.0,37.6635,37.6635,60.04566210045662,30.525711610904306
Hacettepe University,Turkey,2026,THE,877.0,37.6329999999999,hacettepe university,turkey,877,877.0,37.6329999999999,37.6329999999999,60.0,30.491719234112637
Waseda University,Japan,2026,THE,878.0,37.5985,waseda university,japan,878,878.0,37.5985,37.5985,59.954337899543376,30.453268840692775
University of Vigo,Spain,2026,THE,879.0,37.5849999999999,university of vigo,spain,879,879.0,37.5849999999999,37.5849999999999,59.90867579908675,30.43822303457181
Inha University,South Korea,2026,THE,880.0,37.5615,inha university,south korea,880,880.0,37.5615,37.5615,59.86301369863014,30.41203218688006
Clark University,United States,2026,THE,881.0,37.559,clark university,united states,881,881.0,37.559,37.559,59.817351598173516,30.409245926487305
Daffodil International University (DIU),Bangladesh,2026,THE,882.0,37.5585,daffodil international university (diu),bangladesh,882,882.0,37.5585,37.5585,59.77168949771689,30.408688674408758
University of Salento,Italy,2026,THE,883.0,37.552,university of salento,italy,883,883.0,37.552,37.552,59.726027397260275,30.4014443973876
JSS Academy of Higher Education and Research,India,2026,THE,884.0,37.551,jss academy of higher education and research,india,884,884.0,37.551,37.551,59.68036529680365,30.400329893230506
MontanuniversitÃ¤t Leoben,Austria,2026,THE,885.0,37.5275,montanuniversitã¤t leoben,austria,885,885.0,37.5275,37.5275,59.634703196347026,30.374139045538644
Shiraz University,Iran,2026,THE,886.0,37.5069999999999,shiraz university,iran,886,886.0,37.5069999999999,37.5069999999999,59.589041095890416,30.35129171031797
Arts et MÃ©tiers,France,2026,THE,887.0,37.477,arts et mã©tiers,france,887,887.0,37.477,37.477,59.54337899543379,30.317856585605057
University of Wyoming,United States,2026,THE,888.0,37.469,university of wyoming,united states,888,888.0,37.469,37.469,59.497716894977174,30.30894055234826
Catholic University of Portugal,Portugal,2026,THE,889.0,37.3429999999999,catholic university of portugal,portugal,889,889.0,37.3429999999999,37.3429999999999,59.45205479452055,30.168513028553477
University of Medicine and Pharmacy Carol Davila,Romania,2026,THE,890.0,37.3274999999999,university of medicine and pharmacy carol davila,romania,890,890.0,37.3274999999999,37.3274999999999,59.406392694063925,30.151238214118425
University of Hagen,Germany,2026,THE,891.0,37.32,university of hagen,germany,891,891.0,37.32,37.32,59.3607305936073,30.142879432940283
Mansoura University,Egypt,2026,THE,892.0,37.306,mansoura university,egypt,892,892.0,37.306,37.306,59.31506849315068,30.127276374740873
Zhejiang Gongshang University,China,2026,THE,893.0,37.3054999999999,zhejiang gongshang university,china,893,893.0,37.3054999999999,37.3054999999999,59.269406392694066,30.12671912266222
Gorgan University of Agricultural Sciences and Natural Resources,Iran,2026,THE,894.0,37.281,gorgan university of agricultural sciences and natural resources,iran,894,894.0,37.281,37.281,59.22374429223745,30.099413770813367
The University of Notre Dame Australia,Australia,2026,THE,895.0,37.2725,the university of notre dame australia,australia,895,895.0,37.2725,37.2725,59.178082191780824,30.08994048547801
Federal University of Minas Gerais,Brazil,2026,THE,896.0,37.2164999999999,federal university of minas gerais,brazil,896,896.0,37.2164999999999,37.2164999999999,59.1324200913242,30.02752825268027
Shri Mata Vaishno Devi University,India,2026,THE,897.0,37.2055,shri mata vaishno devi university,india,897,897.0,37.2055,37.2055,59.086757990867575,30.015268706952273
North-West University,South Africa,2026,THE,898.0,37.2044999999999,north-west university,south africa,898,898.0,37.2044999999999,37.2044999999999,59.04109589041096,30.01415420279507
Government College University Lahore,Pakistan,2026,THE,899.0,37.2024999999999,government college university lahore,pakistan,899,899.0,37.2024999999999,37.2024999999999,58.99543378995433,30.011925194480867
Universitat Ramon Llull,Spain,2026,THE,900.0,37.1875,universitat ramon llull,spain,900,900.0,37.1875,37.1875,58.94977168949772,29.995207632124465
Iqra University,Pakistan,2026,THE,901.0,37.181,iqra university,pakistan,901,901.0,37.181,37.181,58.9041095890411,29.987963355103307
"International Islamic University, Islamabad",Pakistan,2026,THE,902.0,37.178,"international islamic university, islamabad",pakistan,902,902.0,37.178,37.178,58.858447488584474,29.98461984263201
University of the Punjab,Pakistan,2026,THE,903.0,37.1609999999999,university of the punjab,pakistan,903,903.0,37.1609999999999,37.1609999999999,58.81278538812785,29.965673271961197
Ain Shams University,Egypt,2026,THE,904.0,37.1545,ain shams university,egypt,904,904.0,37.1545,37.1545,58.76712328767123,29.95842899494015
Azerbaijan State University of Economics,Azerbaijan,2026,THE,905.0,37.1509999999999,azerbaijan state university of economics,azerbaijan,905,905.0,37.1509999999999,37.1509999999999,58.72146118721461,29.95452823039018
Sogang University,South Korea,2026,THE,906.0,37.1445,sogang university,south korea,906,906.0,37.1445,37.1445,58.675799086758,29.947283953369148
Capital University of Science and Technology,Pakistan,2026,THE,907.0,37.125,capital university of science and technology,pakistan,907,907.0,37.125,37.125,58.63013698630137,29.925551122305688
Chengdu University,China,2026,THE,908.0,37.1245,chengdu university,china,908,908.0,37.1245,37.1245,58.58447488584475,29.924993870227134
Siksha â€˜Oâ€™ Anusandhan,India,2026,THE,909.0,37.043,siksha â€˜oâ€™ anusandhan,india,909,909.0,37.043,37.043,58.53881278538813,29.83416178142344
Zanjan University of Medical Sciences,Iran,2026,THE,910.0,37.025,zanjan university of medical sciences,iran,910,910.0,37.025,37.025,58.49315068493151,29.81410070659563
Northern Border University,Saudi Arabia,2026,THE,911.0,36.997,northern border university,saudi arabia,911,911.0,36.997,36.997,58.44748858447488,29.78289459019682
Carlos III University of Madrid,Spain,2026,THE,912.0,36.983,carlos iii university of madrid,spain,912,912.0,36.983,36.983,58.40182648401826,29.767291531997408
Glasgow Caledonian University,United Kingdom,2026,THE,913.0,36.9795,glasgow caledonian university,united kingdom,913,913.0,36.9795,36.9795,58.35616438356165,29.76339076744756
An-Najah National University,Palestine,2026,THE,914.0,36.9589999999999,an-najah national university,palestine,914,914.0,36.9589999999999,36.9589999999999,58.31050228310502,29.740543432226886
Open University of Catalonia,Spain,2026,THE,915.0,36.9544999999999,open university of catalonia,spain,915,915.0,36.9544999999999,36.9544999999999,58.264840182648406,29.73552816351994
University of Salamanca,Spain,2026,THE,916.0,36.9534999999999,university of salamanca,spain,916,916.0,36.9534999999999,36.9534999999999,58.21917808219178,29.734413659362836
Ozyegin University,Turkey,2026,THE,917.0,36.9209999999999,ozyegin university,turkey,917,917.0,36.9209999999999,36.9209999999999,58.17351598173516,29.698192274257067
Abdullah GÃ¼l University,Turkey,2026,THE,918.0,36.9179999999999,abdullah gã¼l university,turkey,918,918.0,36.9179999999999,36.9179999999999,58.12785388127853,29.69484876178577
Universidade Federal de SÃ£o Paulo (UNIFESP),Brazil,2026,THE,919.0,36.9075,universidade federal de sã£o paulo (unifesp),brazil,919,919.0,36.9075,36.9075,58.082191780821915,29.68314646813632
Hanoi Medical University,Vietnam,2026,THE,920.0,36.9055,hanoi medical university,vietnam,920,920.0,36.9055,36.9055,58.0365296803653,29.680917459822126
Bucharest University of Economic Studies,Romania,2026,THE,921.0,36.8739999999999,bucharest university of economic studies,romania,921,921.0,36.8739999999999,36.8739999999999,57.99086757990868,29.64581057887335
University of Nova Gorica,Slovenia,2026,THE,922.0,36.867,university of nova gorica,slovenia,922,922.0,36.867,36.867,57.945205479452056,29.63800904977375
Makerere University,Uganda,2026,THE,923.0,36.856,makerere university,uganda,923,923.0,36.856,36.856,57.89954337899543,29.62574950404565
Ferdowsi University of Mashhad,Iran,2026,THE,924.0,36.8429999999999,ferdowsi university of mashhad,iran,924,924.0,36.8429999999999,36.8429999999999,57.85388127853881,29.611260950003228
Ahvaz Jundishapur University of Medical Sciences (AJUMS),Iran,2026,THE,925.0,36.8164999999999,ahvaz jundishapur university of medical sciences (ajums),iran,925,925.0,36.8164999999999,36.8164999999999,57.80821917808219,29.58172658984007
University of Malta,Malta,2026,THE,926.0,36.7905,university of malta,malta,926,926.0,36.7905,36.7905,57.76255707762557,29.55274948175557
University of Vic â€“ Central University of Catalonia,Spain,2026,THE,927.0,36.771,university of vic â€“ central university of catalonia,spain,927,927.0,36.771,36.771,57.716894977168955,29.531016650692106
Al-Zaytoonah University of Jordan,Jordan,2026,THE,928.0,36.753,al-zaytoonah university of jordan,jordan,928,928.0,36.753,36.753,57.67123287671233,29.510955575864294
Nanjing University of Information Science and Technology,China,2026,THE,929.0,36.7455,nanjing university of information science and technology,china,929,929.0,36.7455,36.7455,57.62557077625571,29.502596794686042
University of Regina,Canada,2026,THE,930.0,36.7385,university of regina,canada,930,930.0,36.7385,36.7385,57.57990867579908,29.494795265586344
University of Dhaka,Bangladesh,2026,THE,931.0,36.7315,university of dhaka,bangladesh,931,931.0,36.7315,36.7315,57.534246575342465,29.48699373648663
Guangzhou Medical University,China,2026,THE,932.0,36.7179999999999,guangzhou medical university,china,932,932.0,36.7179999999999,36.7179999999999,57.48858447488584,29.471947930365666
Shahrekord University of Medical Sciences,Iran,2026,THE,933.0,36.697,shahrekord university of medical sciences,iran,933,933.0,36.697,36.697,57.44292237442923,29.448543343066675
University of Petra,Jordan,2026,THE,934.0,36.665,university of petra,jordan,934,934.0,36.665,36.665,57.397260273972606,29.41287921003945
Gazipur Agricultural University,Bangladesh,2026,THE,935.0,36.6415,gazipur agricultural university,bangladesh,935,935.0,36.6415,36.6415,57.35159817351598,29.38668836234759
