university_name,country,year,ranking_source,rank,score,university_name_std,country_std,rank_original,rank_numeric,score_original,score_numeric,rank_normalized,score_normalized
Massachusetts Institute of Technology (MIT),United States of America,2026,QS,1.0,100.0,massachusetts institute of technology (mit),united states of america,1,1.0,100,100.0,100.0,100.0
Imperial College London,United Kingdom,2026,QS,2.0,99.4,imperial college london,united kingdom,2,2.0,99.4,99.4,99.95433789954338,99.3312975057397
Stanford University,United States of America,2026,QS,3.0,98.9,stanford university,united states of america,3,3.0,98.9,98.9,99.90867579908675,98.77404542718945
University of Oxford,United Kingdom,2026,QS,4.0,97.9,university of oxford,united kingdom,4,4.0,97.9,97.9,99.86301369863013,97.65954127008895
Harvard University,United States of America,2026,QS,5.0,97.7,harvard university,united states of america,5,5.0,97.7,97.7,99.81735159817352,97.43664043866885
University of Cambridge,United Kingdom,2026,QS,6.0,97.2,university of cambridge,united kingdom,6,6.0,97.2,97.2,99.77168949771689,96.8793883601186
ETH Zurich (Swiss Federal Institute of Technology),Switzerland,2026,QS,7.0,96.7,eth zurich (swiss federal institute of technology),switzerland,7,7.0,96.7,96.7,99.72602739726028,96.32213628156833
National University of Singapore (NUS),Singapore,2026,QS,8.0,95.9,national university of singapore (nus),singapore,8,8.0,95.9,95.9,99.68036529680366,95.43053295588794
UCL (University College London),United Kingdom,2026,QS,9.0,95.8,ucl (university college london),united kingdom,9,9.0,95.8,95.8,99.63470319634703,95.31908254017787
California Institute of Technology (Caltech),United States of America,2026,QS,10.0,94.3,california institute of technology (caltech),united states of america,10,10.0,94.3,94.3,99.58904109589041,93.64732630452711
The University of Hong Kong,"Hong Kong SAR, China",2026,QS,11.0,94.2,the university of hong kong,"hong kong sar, china",11,11.0,94.2,94.2,99.54337899543378,93.53587588881706
"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,2026,QS,12.0,93.7,"nanyang technological university, singapore (ntu singapore)",singapore,12,12.0,93.7,93.7,99.49771689497717,92.97862381026681
University of Chicago,United States of America,2026,QS,13.0,93.0,university of chicago,united states of america,13,13.0,93,93.0,99.45205479452055,92.19847090029646
Peking University,China (Mainland),2026,QS,14.0,92.6,peking university,china (mainland),14,14.0,92.6,92.6,99.40639269406392,91.75266923745625
University of Pennsylvania,United States of America,2026,QS,15.0,92.5,university of pennsylvania,united states of america,15,15.0,92.5,92.5,99.3607305936073,91.64121882174621
Cornell University,United States of America,2026,QS,16.0,91.6,cornell university,united states of america,16,16.0,91.6,91.6,99.31506849315068,90.63816508035575
Tsinghua University,China (Mainland),2026,QS,17.0,91.2,tsinghua university,china (mainland),17,17.0,91.2,91.2,99.26940639269407,90.19236341751555
"University of California, Berkeley (UCB)",United States of America,2026,QS,17.0,91.2,"university of california, berkeley (ucb)",united states of america,17,17.0,91.2,91.2,99.26940639269407,90.19236341751555
The University of Melbourne,Australia,2026,QS,19.0,90.8,the university of melbourne,australia,19,19.0,90.8,90.8,99.17808219178083,89.74656175467534
The University of New South Wales,Australia,2026,QS,20.0,90.7,the university of new south wales,australia,20,20.0,90.7,90.7,99.1324200913242,89.6351113389653
Yale University,United States of America,2026,QS,21.0,90.4,yale university,united states of america,21,21.0,90.4,90.4,99.08675799086758,89.30076009183516
École Polytechnique Fédérale de Lausanne,Switzerland,2026,QS,22.0,90.2,école polytechnique fédérale de lausanne,switzerland,22,22.0,90.2,90.2,99.04109589041096,89.07785926041505
Technical University of Munich,Germany,2026,QS,22.0,90.2,technical university of munich,germany,22,22.0,90.2,90.2,99.04109589041096,89.07785926041505
Johns Hopkins University,United States of America,2026,QS,24.0,89.7,johns hopkins university,united states of america,24,24.0,89.7,89.7,98.94977168949771,88.52060718186479
Princeton University,United States of America,2026,QS,25.0,89.4,princeton university,united states of america,25,25.0,89.4,89.4,98.9041095890411,88.18625593473465
The University of Sydney,Australia,2026,QS,25.0,89.4,the university of sydney,australia,25,25.0,89.4,89.4,98.9041095890411,88.18625593473465
McGill University,Canada,2026,QS,27.0,88.9,mcgill university,canada,27,27.0,88.9,88.9,98.81278538812785,87.62900385618438
PSL University,France,2026,QS,28.0,88.6,psl university,france,28,28.0,88.6,88.6,98.76712328767124,87.29465260905422
University of Toronto,Canada,2026,QS,29.0,88.5,university of toronto,canada,29,29.0,88.5,88.5,98.72146118721462,87.18320219334417
Fudan University,China (Mainland),2026,QS,30.0,88.4,fudan university,china (mainland),30,30.0,88.4,88.4,98.67579908675799,87.07175177763413
King's College London (KCL),United Kingdom,2026,QS,31.0,88.3,king's college london (kcl),united kingdom,31,31.0,88.3,88.3,98.63013698630137,86.96030136192408
Australian National University,Australia,2026,QS,32.0,87.4,australian national university,australia,32,32.0,87.4,87.4,98.58447488584476,85.95724762053362
The Chinese University of Hong Kong,"Hong Kong SAR, China",2026,QS,32.0,87.4,the chinese university of hong kong,"hong kong sar, china",32,32.0,87.4,87.4,98.58447488584476,85.95724762053362
University of Edinburgh,United Kingdom,2026,QS,34.0,87.2,university of edinburgh,united kingdom,34,34.0,87.2,87.2,98.4931506849315,85.73434678911353
The University of Manchester,United Kingdom,2026,QS,35.0,86.4,the university of manchester,united kingdom,35,35.0,86.4,86.4,98.44748858447488,84.84274346343312
Monash University,Australia,2026,QS,36.0,85.8,monash university,australia,36,36.0,85.8,85.8,98.40182648401826,84.17404096917281
The University of Tokyo,Japan,2026,QS,36.0,85.8,the university of tokyo,japan,36,36.0,85.8,85.8,98.40182648401826,84.17404096917281
Columbia University,United States of America,2026,QS,38.0,85.6,columbia university,united states of america,38,38.0,85.6,85.6,98.31050228310502,83.95114013775272
Seoul National University,Republic of Korea,2026,QS,38.0,85.6,seoul national university,republic of korea,38,38.0,85.6,85.6,98.31050228310502,83.95114013775272
University of British Columbia,Canada,2026,QS,40.0,85.5,university of british columbia,canada,40,40.0,85.5,85.5,98.21917808219179,83.83968972204266
Institut Polytechnique de Paris,France,2026,QS,41.0,85.4,institut polytechnique de paris,france,41,41.0,85.4,85.4,98.17351598173516,83.72823930633263
Northwestern University,United States of America,2026,QS,42.0,85.1,northwestern university,united states of america,42,42.0,85.1,85.1,98.12785388127854,83.39388805920245
The University of Queensland,Australia,2026,QS,42.0,85.1,the university of queensland,australia,42,42.0,85.1,85.1,98.12785388127854,83.39388805920245
The Hong Kong University of Science and Technology,"Hong Kong SAR, China",2026,QS,44.0,84.8,the hong kong university of science and technology,"hong kong sar, china",44,44.0,84.8,84.8,98.03652968036529,83.05953681207231
University of Michigan-Ann Arbor,United States of America,2026,QS,45.0,84.7,university of michigan-ann arbor,united states of america,45,45.0,84.7,84.7,97.99086757990868,82.94808639636227
"University of California, Los Angeles (UCLA)",United States of America,2026,QS,46.0,84.4,"university of california, los angeles (ucla)",united states of america,46,46.0,84.4,84.4,97.94520547945206,82.61373514923211
Delft University of Technology,Netherlands,2026,QS,47.0,84.3,delft university of technology,netherlands,47,47.0,84.3,84.3,97.89954337899543,82.50228473352206
Shanghai Jiao Tong University,China (Mainland),2026,QS,47.0,84.3,shanghai jiao tong university,china (mainland),47,47.0,84.3,84.3,97.89954337899543,82.50228473352206
Zhejiang University,China (Mainland),2026,QS,49.0,84.0,zhejiang university,china (mainland),49,49.0,84,84.0,97.80821917808218,82.1679334863919
Yonsei University,Republic of Korea,2026,QS,50.0,82.9,yonsei university,republic of korea,50,50.0,82.9,82.9,97.76255707762557,80.94197891358135
University of Bristol,United Kingdom,2026,QS,51.0,82.5,university of bristol,united kingdom,51,51.0,82.5,82.5,97.71689497716895,80.49617725074114
Carnegie Mellon University,United States of America,2026,QS,52.0,82.3,carnegie mellon university,united states of america,52,52.0,82.3,82.3,97.67123287671234,80.27327641932104
The University of Amsterdam,Netherlands,2026,QS,53.0,81.5,the university of amsterdam,netherlands,53,53.0,81.5,81.5,97.62557077625571,79.38167309364064
The Hong Kong Polytechnic University,"Hong Kong SAR, China",2026,QS,54.0,81.2,the hong kong polytechnic university,"hong kong sar, china",54,54.0,81.2,81.2,97.57990867579909,79.04732184651048
New York University (NYU),United States of America,2026,QS,55.0,81.1,new york university (nyu),united states of america,55,55.0,81.1,81.1,97.53424657534246,78.93587143080043
London School of Economics and Political Science (LSE),United Kingdom,2026,QS,56.0,80.5,london school of economics and political science (lse),united kingdom,56,56.0,80.5,80.5,97.48858447488584,78.26716893654013
Kyoto University,Japan,2026,QS,57.0,80.2,kyoto university,japan,57,57.0,80.2,80.2,97.44292237442922,77.93281768940999
Ludwig-Maximilians-Universität München,Germany,2026,QS,58.0,80.1,ludwig-maximilians-universität münchen,germany,58,58.0,80.1,80.1,97.3972602739726,77.82136727369992
Universiti Malaya (UM),Malaysia,2026,QS,58.0,80.1,universiti malaya (um),malaysia,58,58.0,80.1,80.1,97.3972602739726,77.82136727369992
KU Leuven,Belgium,2026,QS,60.0,79.7,ku leuven,belgium,60,60.0,79.7,79.7,97.30593607305936,77.37556561085974
Korea University,Republic of Korea,2026,QS,61.0,79.6,korea university,republic of korea,61,61.0,79.6,79.6,97.26027397260275,77.26411519514967
Duke University,United States of America,2026,QS,62.0,79.0,duke university,united states of america,62,62.0,79,79.0,97.21461187214612,76.59541270088937
City University of Hong Kong,"Hong Kong SAR, China",2026,QS,63.0,78.9,city university of hong kong,"hong kong sar, china",63,63.0,78.9,78.9,97.1689497716895,76.48396228517933
National Taiwan University (NTU),Taiwan,2026,QS,63.0,78.9,national taiwan university (ntu),taiwan,63,63.0,78.9,78.9,97.1689497716895,76.48396228517933
The University of Auckland,New Zealand,2026,QS,65.0,77.5,the university of auckland,new zealand,65,65.0,77.5,77.5,97.07762557077626,74.92365646523862
"University of California, San Diego (UCSD)",United States of America,2026,QS,66.0,76.9,"university of california, san diego (ucsd)",united states of america,66,66.0,76.9,76.9,97.03196347031964,74.25495397097832
King Fahd University of Petroleum & Minerals,Saudi Arabia,2026,QS,67.0,76.5,king fahd university of petroleum & minerals,saudi arabia,67,67.0,76.5,76.5,96.98630136986301,73.80915230813811
University of Texas at Austin,United States of America,2026,QS,68.0,76.4,university of texas at austin,united states of america,68,68.0,76.4,76.4,96.94063926940639,73.69770189242807
Brown University,United States of America,2026,QS,69.0,76.2,brown university,united states of america,69,69.0,76.2,76.2,96.89497716894977,73.47480106100795
Université Paris-Saclay,France,2026,QS,70.0,75.9,université paris-saclay,france,70,70.0,75.9,75.9,96.84931506849314,73.14044981387782
University of Illinois at Urbana-Champaign,United States of America,2026,QS,70.0,75.9,university of illinois at urbana-champaign,united states of america,70,70.0,75.9,75.9,96.84931506849314,73.14044981387782
Lund University,Sweden,2026,QS,72.0,75.7,lund university,sweden,72,72.0,75.7,75.7,96.7579908675799,72.9175489824577
Sorbonne University (merged from Paris IV & UPMC),France,2026,QS,72.0,75.7,sorbonne university (merged from paris iv & upmc),france,72,72.0,75.7,75.7,96.7579908675799,72.9175489824577
The University of Warwick,United Kingdom,2026,QS,74.0,75.2,the university of warwick,united kingdom,74,74.0,75.2,75.2,96.66666666666667,72.36029690390745
"Trinity College Dublin, The University of Dublin",Ireland,2026,QS,75.0,73.9,"trinity college dublin, the university of dublin",ireland,75,75.0,73.9,73.9,96.62100456621005,70.9114414996768
University of Birmingham,United Kingdom,2026,QS,76.0,73.8,university of birmingham,united kingdom,76,76.0,73.8,73.8,96.57534246575342,70.79999108396675
The University of Western Australia,Australia,2026,QS,77.0,73.7,the university of western australia,australia,77,77.0,73.7,73.7,96.5296803652968,70.68854066825669
KTH Royal Institute of Technology,Sweden,2026,QS,78.0,73.6,kth royal institute of technology,sweden,78,78.0,73.6,73.6,96.48401826484019,70.57709025254664
University of Glasgow,United Kingdom,2026,QS,79.0,73.4,university of glasgow,united kingdom,79,79.0,73.4,73.4,96.43835616438356,70.35418942112655
Ruprecht-Karls-Universität Heidelberg,Germany,2026,QS,80.0,73.0,ruprecht-karls-universität heidelberg,germany,80,80.0,73,73.0,96.39269406392694,69.90838775828634
University of Washington,United States of America,2026,QS,81.0,72.7,university of washington,united states of america,81,81.0,72.7,72.7,96.34703196347031,69.5740365111562
Adelaide University,Australia,2026,QS,82.0,72.6,adelaide university,australia,82,82.0,72.6,72.6,96.30136986301369,69.46258609544613
Pennsylvania State University,United States of America,2026,QS,82.0,72.6,pennsylvania state university,united states of america,82,82.0,72.6,72.6,96.30136986301369,69.46258609544613
Universidad de Buenos Aires,Argentina,2026,QS,84.0,72.3,universidad de buenos aires,argentina,84,84.0,72.3,72.3,96.21004566210046,69.12823484831598
Tokyo Institute of Technology,Japan,2026,QS,85.0,72.1,tokyo institute of technology,japan,85,85.0,72.1,72.1,96.16438356164385,68.90533401689588
University of Leeds,United Kingdom,2026,QS,86.0,72.0,university of leeds,united kingdom,86,86.0,72,72.0,96.11872146118722,68.79388360118584
University of Southampton,United Kingdom,2026,QS,87.0,71.2,university of southampton,united kingdom,87,87.0,71.2,71.2,96.0730593607306,67.90228027550543
Boston University,United States of America,2026,QS,88.0,71.1,boston university,united states of america,88,88.0,71.1,71.1,96.02739726027397,67.79082985979537
Freie Universität Berlin,Germany,2026,QS,88.0,71.1,freie universität berlin,germany,88,88.0,71.1,71.1,96.02739726027397,67.79082985979537
Purdue University,United States of America,2026,QS,88.0,71.1,purdue university,united states of america,88,88.0,71.1,71.1,96.02739726027397,67.79082985979537
The University of Osaka,Japan,2026,QS,91.0,71.0,the university of osaka,japan,91,91.0,71,71.0,95.8904109589041,67.67937944408533
The University of Sheffield,United Kingdom,2026,QS,92.0,70.9,the university of sheffield,united kingdom,92,92.0,70.9,70.9,95.84474885844749,67.56792902837529
Uppsala University,Sweden,2026,QS,93.0,70.3,uppsala university,sweden,93,93.0,70.3,70.3,95.79908675799086,66.89922653411496
Durham University,United Kingdom,2026,QS,94.0,70.1,durham university,united kingdom,94,94.0,70.1,70.1,95.75342465753425,66.67632570269487
University of Alberta,Canada,2026,QS,94.0,70.1,university of alberta,canada,94,94.0,70.1,70.1,95.75342465753425,66.67632570269487
University of Technology Sydney,Australia,2026,QS,96.0,69.9,university of technology sydney,australia,96,96.0,69.9,69.9,95.662100456621,66.45342487127478
The University of Nottingham,United Kingdom,2026,QS,97.0,69.4,the university of nottingham,united kingdom,97,97.0,69.4,69.4,95.61643835616438,65.89617279272453
Karlsruhe Institute of Technology (KIT),Germany,2026,QS,98.0,69.1,karlsruhe institute of technology (kit),germany,98,98.0,69.1,69.1,95.57077625570777,65.56182154559436
Politecnico di Milano,Italy,2026,QS,98.0,69.1,politecnico di milano,italy,98,98.0,69.1,69.1,95.57077625570777,65.56182154559436
University of Zurich (UZH),Switzerland,2026,QS,100.0,68.5,university of zurich (uzh),switzerland,100,100.0,68.5,68.5,95.47945205479452,64.89311905133405
University of Copenhagen,Denmark,2026,QS,101.0,68.4,university of copenhagen,denmark,101,101.0,68.4,68.4,95.4337899543379,64.78166863562402
Pohang University of Science And Technology (POSTECH),Republic of Korea,2026,QS,102.0,67.9,pohang university of science and technology (postech),republic of korea,102,102.0,67.9,67.9,95.38812785388127,64.22441655707377
Nanjing University,China (Mainland),2026,QS,103.0,67.7,nanjing university,china (mainland),103,103.0,67.7,67.7,95.34246575342465,64.00151572565366
Utrecht University,Netherlands,2026,QS,103.0,67.7,utrecht university,netherlands,103,103.0,67.7,67.7,95.34246575342465,64.00151572565366
Lomonosov Moscow State University,Russian Federation,2026,QS,105.0,67.6,lomonosov moscow state university,russian federation,105,105.0,67.6,67.6,95.25114155251143,63.8900653099436
Rheinisch-Westfälische Technische Hochschule Aachen,Germany,2026,QS,105.0,67.6,rheinisch-westfälische technische hochschule aachen,germany,105,105.0,67.6,67.6,95.25114155251143,63.8900653099436
Technical University of Denmark,Denmark,2026,QS,107.0,67.5,technical university of denmark,denmark,107,107.0,67.5,67.5,95.15981735159818,63.778614894233556
Universidade de São Paulo (USP),Brazil,2026,QS,108.0,67.3,universidade de são paulo (usp),brazil,108,108.0,67.3,67.3,95.11415525114155,63.55571406281345
Tohoku University,Japan,2026,QS,109.0,66.7,tohoku university,japan,109,109.0,66.7,66.7,95.06849315068493,62.887011568553156
Queen Mary University of London (QMUL),United Kingdom,2026,QS,110.0,66.6,queen mary university of london (qmul),united kingdom,110,110.0,66.6,66.6,95.0228310502283,62.775561152843096
University of Wisconsin-Madison,United States of America,2026,QS,110.0,66.6,university of wisconsin-madison,united states of america,110,110.0,66.6,66.6,95.0228310502283,62.775561152843096
Qatar University,Qatar,2026,QS,112.0,66.5,qatar university,qatar,112,112.0,66.5,66.5,94.93150684931507,62.66411073713305
University of St Andrews,United Kingdom,2026,QS,113.0,66.4,university of st andrews,united kingdom,113,113.0,66.4,66.4,94.88584474885845,62.552660321423005
Aalto University,Finland,2026,QS,114.0,66.3,aalto university,finland,114,114.0,66.3,66.3,94.84018264840182,62.441209905712945
"University of California, Davis",United States of America,2026,QS,114.0,66.3,"university of california, davis",united states of america,114,114.0,66.3,66.3,94.84018264840182,62.441209905712945
Pontificia Universidad Católica de Chile,Chile,2026,QS,116.0,66.1,pontificia universidad católica de chile,chile,116,116.0,66.1,66.1,94.74885844748859,62.21830907429285
University of Helsinki,Finland,2026,QS,116.0,66.1,university of helsinki,finland,116,116.0,66.1,66.1,94.74885844748859,62.21830907429285
University College Dublin,Ireland,2026,QS,118.0,66.0,university college dublin,ireland,118,118.0,66,66.0,94.65753424657535,62.106858658582794
Leiden University,Netherlands,2026,QS,119.0,65.7,leiden university,netherlands,119,119.0,65.7,65.7,94.61187214611873,61.77250741145265
Rice University,United States of America,2026,QS,119.0,65.7,rice university,united states of america,119,119.0,65.7,65.7,94.61187214611873,61.77250741145265
University of Oslo,Norway,2026,QS,119.0,65.7,university of oslo,norway,119,119.0,65.7,65.7,94.61187214611873,61.77250741145265
University of Waterloo,Canada,2026,QS,119.0,65.7,university of waterloo,canada,119,119.0,65.7,65.7,94.61187214611873,61.77250741145265
Georgia Institute of Technology,United States of America,2026,QS,123.0,65.5,georgia institute of technology,united states of america,123,123.0,65.5,65.5,94.42922374429223,61.549606580032545
Indian Institute of Technology Delhi (IITD),India,2026,QS,123.0,65.5,indian institute of technology delhi (iitd),india,123,123.0,65.5,65.5,94.42922374429223,61.549606580032545
RMIT University,Australia,2026,QS,125.0,65.3,rmit university,australia,125,125.0,65.3,65.3,94.337899543379,61.32670574861244
Sungkyunkwan University,Republic of Korea,2026,QS,126.0,65.2,sungkyunkwan university,republic of korea,126,126.0,65.2,65.2,94.29223744292237,61.215255332902395
Universiti Kebangsaan Malaysia (UKM),Malaysia,2026,QS,126.0,65.2,universiti kebangsaan malaysia (ukm),malaysia,126,126.0,65.2,65.2,94.29223744292237,61.215255332902395
Sapienza University of Rome,Italy,2026,QS,128.0,64.9,sapienza university of rome,italy,128,128.0,64.9,64.9,94.20091324200914,60.880904085772244
Indian Institute of Technology Bombay (IITB),India,2026,QS,129.0,64.8,indian institute of technology bombay (iitb),india,129,129.0,64.8,64.8,94.15525114155251,60.76945367006219
Humboldt-Universität zu Berlin,Germany,2026,QS,130.0,64.5,humboldt-universität zu berlin,germany,130,130.0,64.5,64.5,94.10958904109589,60.43510242293204
Aarhus University,Denmark,2026,QS,131.0,64.3,aarhus university,denmark,131,131.0,64.3,64.3,94.06392694063926,60.212201591511935
University of Bath,United Kingdom,2026,QS,132.0,64.2,university of bath,united kingdom,132,132.0,64.2,64.2,94.01826484018265,60.10075117580189
University of Science and Technology of China,China (Mainland),2026,QS,132.0,64.2,university of science and technology of china,china (mainland),132,132.0,64.2,64.2,94.01826484018265,60.10075117580189
Universiti Putra Malaysia (UPM),Malaysia,2026,QS,134.0,64.1,universiti putra malaysia (upm),malaysia,134,134.0,64.1,64.1,93.9269406392694,59.98930076009182
Universiti Sains Malaysia (USM),Malaysia,2026,QS,134.0,64.1,universiti sains malaysia (usm),malaysia,134,134.0,64.1,64.1,93.9269406392694,59.98930076009182
Universidad Nacional Autónoma de México (UNAM),Mexico,2026,QS,136.0,64.0,universidad nacional autónoma de méxico (unam),mexico,136,136.0,64,64.0,93.83561643835617,59.87785034438179
Newcastle University,United Kingdom,2026,QS,137.0,63.9,newcastle university,united kingdom,137,137.0,63.9,63.9,93.78995433789954,59.76639992867173
Alma Mater Studiorum - University of Bologna,Italy,2026,QS,138.0,63.3,alma mater studiorum - university of bologna,italy,138,138.0,63.3,63.3,93.74429223744293,59.09769743441142
Macquarie University,Australia,2026,QS,138.0,63.3,macquarie university,australia,138,138.0,63.3,63.3,93.74429223744293,59.09769743441142
Eindhoven University of Technology,Netherlands,2026,QS,140.0,63.2,eindhoven university of technology,netherlands,140,140.0,63.2,63.2,93.65296803652969,58.98624701870139
Erasmus University Rotterdam,Netherlands,2026,QS,140.0,63.2,erasmus university rotterdam,netherlands,140,140.0,63.2,63.2,93.65296803652969,58.98624701870139
"University of North Carolina, Chapel Hill",United States of America,2026,QS,140.0,63.2,"university of north carolina, chapel hill",united states of america,140,140.0,63.2,63.2,93.65296803652969,58.98624701870139
King Saud University,Saudi Arabia,2026,QS,143.0,63.1,king saud university,saudi arabia,143,143.0,63.1,63.1,93.51598173515981,58.87479660299133
Texas A&M University,United States of America,2026,QS,144.0,63.0,texas a&m university,united states of america,144,144.0,63,63.0,93.47031963470319,58.76334618728127
Technische Universität Berlin,Germany,2026,QS,145.0,62.8,technische universität berlin,germany,145,145.0,62.8,62.8,93.42465753424658,58.54044535586117
University of Southern California,United States of America,2026,QS,146.0,62.6,university of southern california,united states of america,146,146.0,62.6,62.6,93.37899543378995,58.317544524441075
Stockholm University,Sweden,2026,QS,147.0,62.5,stockholm university,sweden,147,147.0,62.5,62.5,93.33333333333333,58.20609410873102
University of Groningen,Netherlands,2026,QS,147.0,62.5,university of groningen,netherlands,147,147.0,62.5,62.5,93.33333333333333,58.20609410873102
University of Liverpool,United Kingdom,2026,QS,147.0,62.5,university of liverpool,united kingdom,147,147.0,62.5,62.5,93.33333333333333,58.20609410873102
University of Cape Town,South Africa,2026,QS,150.0,62.3,university of cape town,south africa,150,150.0,62.3,62.3,93.19634703196347,57.98319327731092
Western University,Canada,2026,QS,151.0,62.0,western university,canada,151,151.0,62,62.0,93.15068493150685,57.64884203018077
University of Vienna,Austria,2026,QS,152.0,61.9,university of vienna,austria,152,152.0,61.9,61.9,93.10502283105023,57.53739161447072
Universiti Teknologi Malaysia (UTM),Malaysia,2026,QS,153.0,61.6,universiti teknologi malaysia (utm),malaysia,153,153.0,61.6,61.6,93.05936073059361,57.20304036734058
Wageningen University & Research,Netherlands,2026,QS,153.0,61.6,wageningen university & research,netherlands,153,153.0,61.6,61.6,93.05936073059361,57.20304036734058
University of Exeter,United Kingdom,2026,QS,155.0,61.5,university of exeter,united kingdom,155,155.0,61.5,61.5,92.96803652968036,57.09158995163052
University of Geneva,Switzerland,2026,QS,155.0,61.5,university of geneva,switzerland,155,155.0,61.5,61.5,92.96803652968036,57.09158995163052
Lancaster University,United Kingdom,2026,QS,157.0,61.4,lancaster university,united kingdom,157,157.0,61.4,61.4,92.87671232876711,56.98013953592047
University of Basel,Switzerland,2026,QS,158.0,61.3,university of basel,switzerland,158,158.0,61.3,61.3,92.8310502283105,56.86868912021041
Hanyang University,Republic of Korea,2026,QS,159.0,61.2,hanyang university,republic of korea,159,159.0,61.2,61.2,92.78538812785388,56.75723870450037
University of Barcelona,Spain,2026,QS,160.0,61.0,university of barcelona,spain,160,160.0,61,61.0,92.73972602739727,56.53433787308026
Michigan State University,United States of America,2026,QS,161.0,60.9,michigan state university,united states of america,161,161.0,60.9,60.9,92.69406392694064,56.422887457370216
Ghent University,Belgium,2026,QS,162.0,60.8,ghent university,belgium,162,162.0,60.8,60.8,92.64840182648402,56.31143704166016
King Abdul Aziz University (KAU),Saudi Arabia,2026,QS,163.0,60.7,king abdul aziz university (kau),saudi arabia,163,163.0,60.7,60.7,92.6027397260274,56.19998662595012
Nagoya University,Japan,2026,QS,164.0,60.3,nagoya university,japan,164,164.0,60.3,60.3,92.55707762557077,55.75418496310991
Chalmers University of Technology,Sweden,2026,QS,165.0,60.2,chalmers university of technology,sweden,165,165.0,60.2,60.2,92.51141552511416,55.64273454739986
Al-Farabi Kazakh National University,Kazakhstan,2026,QS,166.0,59.8,al-farabi kazakh national university,kazakhstan,166,166.0,59.8,59.8,92.46575342465754,55.19693288455966
Washington University in St. Louis,United States of America,2026,QS,167.0,59.6,washington university in st. louis,united states of america,167,167.0,59.6,59.6,92.42009132420091,54.97403205313955
University of Montreal,Canada,2026,QS,168.0,59.5,university of montreal,canada,168,168.0,59.5,59.5,92.37442922374429,54.86258163742951
University of York,United Kingdom,2026,QS,169.0,59.4,university of york,united kingdom,169,169.0,59.4,59.4,92.32876712328768,54.751131221719454
Hokkaido University,Japan,2026,QS,170.0,59.3,hokkaido university,japan,170,170.0,59.3,59.3,92.28310502283105,54.63968080600941
Kyushu University,Japan,2026,QS,170.0,59.3,kyushu university,japan,170,170.0,59.3,59.3,92.28310502283105,54.63968080600941
Universitat Autónoma de Barcelona,Spain,2026,QS,172.0,59.2,universitat autónoma de barcelona,spain,172,172.0,59.2,59.2,92.19178082191782,54.528230390299356
Arizona State University,United States of America,2026,QS,173.0,59.1,arizona state university,united states of america,173,173.0,59.1,59.1,92.14611872146119,54.4167799745893
McMaster University,Canada,2026,QS,173.0,59.1,mcmaster university,canada,173,173.0,59.1,59.1,92.14611872146119,54.4167799745893
Universidad de Chile,Chile,2026,QS,173.0,59.1,universidad de chile,chile,173,173.0,59.1,59.1,92.14611872146119,54.4167799745893
National Tsing Hua University,Taiwan,2026,QS,176.0,59.0,national tsing hua university,taiwan,176,176.0,59,59.0,92.00913242009132,54.30532955887926
Khalifa University of Science and Technology,United Arab Emirates,2026,QS,177.0,58.8,khalifa university of science and technology,united arab emirates,177,177.0,58.8,58.8,91.9634703196347,54.08242872745915
Tongji University,China (Mainland),2026,QS,177.0,58.8,tongji university,china (mainland),177,177.0,58.8,58.8,91.9634703196347,54.08242872745915
"University of California, Santa Barbara (UCSB)",United States of America,2026,QS,179.0,58.7,"university of california, santa barbara (ucsb)",united states of america,179,179.0,58.7,58.7,91.87214611872146,53.97097831174911
Indian Institute of Technology Madras (IITM),India,2026,QS,180.0,58.4,indian institute of technology madras (iitm),india,180,180.0,58.4,58.4,91.82648401826484,53.63662706461895
Cardiff University,United Kingdom,2026,QS,181.0,57.8,cardiff university,united kingdom,181,181.0,57.8,57.8,91.78082191780823,52.96792457035865
Emory University,United States of America,2026,QS,182.0,57.7,emory university,united states of america,182,182.0,57.7,57.7,91.7351598173516,52.8564741546486
Curtin University,Australia,2026,QS,183.0,57.6,curtin university,australia,183,183.0,57.6,57.6,91.68949771689498,52.74502373893854
University of Bern,Switzerland,2026,QS,184.0,57.5,university of bern,switzerland,184,184.0,57.5,57.5,91.64383561643835,52.6335733232285
University of Wollongong,Australia,2026,QS,184.0,57.5,university of wollongong,australia,184,184.0,57.5,57.5,91.64383561643835,52.6335733232285
Wuhan University,China (Mainland),2026,QS,186.0,57.3,wuhan university,china (mainland),186,186.0,57.3,57.3,91.55251141552512,52.410672491808384
Tecnológico de Monterrey (ITESM),Mexico,2026,QS,187.0,57.1,tecnológico de monterrey (itesm),mexico,187,187.0,57.1,57.1,91.5068493150685,52.18777166038829
University Complutense Madrid,Spain,2026,QS,187.0,57.1,university complutense madrid,spain,187,187.0,57.1,57.1,91.5068493150685,52.18777166038829
UNIVERSITAS INDONESIA,Indonesia,2026,QS,189.0,57.0,universitas indonesia,indonesia,189,189.0,57,57.0,91.41552511415524,52.07632124467825
Ohio State University,United States of America,2026,QS,190.0,56.9,ohio state university,united states of america,190,190.0,56.9,56.9,91.36986301369862,51.96487082896819
"Queen's University, Ontario",Canada,2026,QS,191.0,56.8,"queen's university, ontario",canada,191,191.0,56.8,56.8,91.32420091324201,51.853420413258135
