QS_Rank,QS_Previous_Rank,QS_University_Name,QS_Country,QS_Region,QS_Size,QS_Focus,QS_Research_Level,QS_Status,QS_Academic_Reputation_Score,THE_Rank,THE_University_Name,THE_Country,THE_Student_Population,THE_Students_to_Staff_Ratio,THE_International_Students,THE_Female_to_Male_Ratio,THE_Overall_Score,THE_Teaching,THE_Research_Environment,THE_Research_Quality,THE_Industry_Impact,THE_International_Outlook,THE_Year,University_Name,Country,Year,Data_Source,QS_THE_Match_Status
,,,,,,,,,,1310.0,Guru Jambheshwar University of Science and Technology,India,"7,520",18.9,0%,45 : 55,30.233,31.5,11.4,49.9,32.3,18.3,2026.0,Guru Jambheshwar University of Science and Technology,India,2026,THE only,THE record not matched in QS
385,359,Gwangju Institute of Science and Technology (GIST),Republic of Korea,Asia,S,SP,VH,Public,21.3,,,,,,,,,,,,,,,Gwangju Institute of Science and Technology (GIST),Republic of Korea,2026,QS only,QS record not matched in THE
,,,,,,,,,,402.0,Gwangju Institute of Science and Technology (GIST),South Korea,"1,773",9.3,9%,30 : 70,49.78799999999999,49.3,39.8,53.4,94.0,52.3,2026.0,Gwangju Institute of Science and Technology (GIST),South Korea,2026,THE only,THE record not matched in QS
,,,,,,,,,,1385.0,Gyeongsang National University,South Korea,"16,298",12.6,2%,44 : 56,28.8265,27.8,19.5,36.0,55.7,25.9,2026.0,Gyeongsang National University,South Korea,2026,THE only,THE record not matched in QS
,,,,,,,,,,877.0,Hacettepe University,Turkey,"35,176",14.7,3%,61 : 39,37.633,34.8,28.6,49.0,58.7,27.0,2026.0,Hacettepe University,Turkey,2026,THE only,THE record not matched in QS
571,641-650,Hacettepe University,Türkiye,Asia,L,FC,VH,Public,33.0,,,,,,,,,,,,,,,Hacettepe University,Türkiye,2026,QS only,QS record not matched in THE
,,,,,,,,,,1222.0,Hakim Sabzevari University,Iran,"11,500",24.4,4%,60 : 40,31.746,18.1,11.5,63.5,18.6,43.7,2026.0,Hakim Sabzevari University,Iran,2026,THE only,THE record not matched in QS
1001-1200,951-1000,Hallym University,Republic of Korea,Asia,M,FC,VH,Private not for Profit,3.4,,,,,,,,,,,,,,,Hallym University,Republic of Korea,2026,QS only,QS record not matched in THE
,,,,,,,,,,1327.0,Hallym University,South Korea,"7,676",8.5,4%,,29.9245,26.8,19.9,39.7,62.5,24.5,2026.0,Hallym University,South Korea,2026,THE only,THE record not matched in QS
,,,,,,,,,,940.0,Halmstad University,Sweden,"4,642",11.9,6%,62 : 38,36.56099999999999,20.4,16.7,64.8,29.0,68.0,2026.0,Halmstad University,Sweden,2026,THE only,THE record not matched in QS
,,,,,,,,,,2165.0,Halu Oleo University,Indonesia,"40,051",15.5,0%,60 : 40,13.628999999999998,16.3,8.7,13.7,17.0,20.1,2026.0,Halu Oleo University,Indonesia,2026,THE only,THE record not matched in QS
244,183,Hamad Bin Khalifa University,Qatar,Asia,S,FO,VH,Public,14.3,,,,,,,,,,,,,,,Hamad Bin Khalifa University,Qatar,2026,QS only,QS record not matched in THE
,,,,,,,,,,1021.0,Hamadan University of Medical Sciences (UMSHA),Iran,"7,882",14.8,6%,56 : 44,35.0655,32.7,16.8,59.1,24.3,24.6,2026.0,Hamadan University of Medical Sciences (UMSHA),Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,1161.0,Hamamatsu University School of Medicine,Japan,"1,205",3.9,3%,47 : 53,32.693,34.2,18.6,42.8,60.5,26.0,2026.0,Hamamatsu University School of Medicine,Japan,2026,THE only,THE record not matched in QS
,,,,,,,,,,595.0,Hamburg University of Technology,Germany,"4,396",21.3,28%,30 : 70,43.9245,38.1,26.0,56.9,86.0,61.8,2026.0,Hamburg University of Technology,Germany,2026,THE only,THE record not matched in QS
,,,,,,,,,,1270.0,Hangzhou Dianzi University (HDU),China,"27,192",15.7,4%,24 : 76,30.845499999999998,17.7,17.9,50.1,71.7,33.8,2026.0,Hangzhou Dianzi University (HDU),China,2026,THE only,THE record not matched in QS
,,,,,,,,,,1083.0,Hangzhou Normal University,China,"32,552",16.8,1%,,34.053999999999995,16.8,14.9,70.3,42.3,26.6,2026.0,Hangzhou Normal University,China,2026,THE only,THE record not matched in QS
,,,,,,,,,,920.0,Hanoi Medical University,Vietnam,"13,081",10.8,0%,62 : 38,36.9055,32.0,11.9,62.2,44.8,47.5,2026.0,Hanoi Medical University,Vietnam,2026,THE only,THE record not matched in QS
1201-1400,1201-1400,Hanoi University of Science and Technology,Viet Nam,Asia,XL,FO,VH,Public,12.3,,,,,,,,,,,,,,,Hanoi University of Science and Technology,Viet Nam,2026,QS only,QS record not matched in THE
,,,,,,,,,,1729.0,Hanoi University of Science and Technology,Vietnam,"39,204",35.8,0%,20 : 80,23.62,14.5,16.9,30.5,66.1,35.3,2026.0,Hanoi University of Science and Technology,Vietnam,2026,THE only,THE record not matched in QS
159,162,Hanyang University,Republic of Korea,Asia,L,FC,VH,Private not for Profit,58.2,,,,,,,,,,,,,,,Hanyang University,Republic of Korea,2026,QS only,QS record not matched in THE
,,,,,,,,,,295.0,Hanyang University,South Korea,"19,402",13.6,27%,,54.3995,45.9,41.5,65.5,99.6,69.2,2026.0,Hanyang University,South Korea,2026,THE only,THE record not matched in QS
,,,,,,,,,,785.0,Harbin Engineering University,China,"33,564",17.1,2%,24 : 76,39.4575,29.7,33.8,50.6,94.1,26.0,2026.0,Harbin Engineering University,China,2026,THE only,THE record not matched in QS
1001-1200,1001-1200,Harbin Engineering University,China (Mainland),Asia,L,FO,VH,Public,5.2,,,,,,,,,,,,,,,Harbin Engineering University,China (Mainland),2026,QS only,QS record not matched in THE
,,,,,,,,,,132.0,Harbin Institute of Technology,China,"32,375",11.0,4%,,63.2045,57.2,57.7,77.2,100.0,32.5,2026.0,Harbin Institute of Technology,China,2026,THE only,THE record not matched in QS
256,252,Harbin Institute of Technology,China (Mainland),Asia,XL,FO,VH,Public,33.3,,,,,,,,,,,,,,,Harbin Institute of Technology,China (Mainland),2026,QS only,QS record not matched in THE
,,,,,,,,,,696.0,Harokopio University of Athens,Greece,"2,994",28.1,4%,51 : 49,41.5145,20.8,24.2,79.3,40.2,39.5,2026.0,Harokopio University of Athens,Greece,2026,THE only,THE record not matched in QS
1401+,1201-1400,Harper Adams University,United Kingdom,Europe,M,FO,HI,Public,4.0,,,,,,,,,,,,,,,Harper Adams University,United Kingdom,2026,QS only,QS record not matched in THE
,,,,,,,,,,1636.0,Harran University,Turkey,"16,845",18.9,7%,48 : 52,25.0985,16.8,9.9,48.1,19.1,27.7,2026.0,Harran University,Turkey,2026,THE only,THE record not matched in QS
5,4,Harvard University,United States of America,Americas,L,FC,VH,Private not for Profit,100.0,6.0,Harvard University,United States,"22,680",10.1,27%,53 : 47,97.051,95.9,100.0,98.9,86.7,88.3,2026.0,Harvard University,United States,2026,QS + THE,Matched
951-1000,1001-1200,Hasanuddin University,Indonesia,Asia,XL,FC,HI,Public,23.5,1839.0,Hasanuddin University,Indonesia,"37,300",14.8,1%,61 : 39,21.3015,21.6,11.5,28.0,31.3,25.9,2026.0,Hasanuddin University,Indonesia,2026,QS + THE,Matched
1001-1200,1001-1200,The Hashemite University,Jordan,Asia,L,FC,HI,Public,15.6,1164.0,The Hashemite University,Jordan,"21,051",23.5,13%,64 : 36,32.6645,14.0,16.1,59.7,34.7,60.9,2026.0,The Hashemite University,Jordan,2026,QS + THE,Matched
597,554,Hasselt University,Belgium,Europe,M,FC,HI,Public,8.8,345.0,Hasselt University,Belgium,"6,128",28.4,16%,50 : 50,51.979,35.0,37.8,72.8,87.8,71.2,2026.0,Hasselt University,Belgium,2026,QS + THE,Matched
,,,,,,,,,,1558.0,Hassiba Benbouali University of Chlef,Algeria,"30,568",20.5,1%,66 : 34,26.228,16.2,12.0,45.2,31.1,42.2,2026.0,Hassiba Benbouali University of Chlef,Algeria,2026,THE only,THE record not matched in QS
,,,,,,,,,,2081.0,Hatay Mustafa Kemal University,Turkey,"18,234",20.3,3%,49 : 51,15.9395,14.6,9.4,21.8,18.1,21.9,2026.0,Hatay Mustafa Kemal University,Turkey,2026,THE only,THE record not matched in QS
,,,,,,,,,,1128.0,Hazara University Mansehra,Pakistan,"12,789",24.6,0%,45 : 55,33.25749999999999,17.1,11.6,68.1,17.1,49.8,2026.0,Hazara University Mansehra,Pakistan,2026,THE only,THE record not matched in QS
240,281,Hebrew University of Jerusalem,Israel,Asia,L,FC,VH,Public,42.9,261.0,Hebrew University of Jerusalem,Israel,"17,488",16.2,3%,58 : 42,55.982,48.1,47.2,72.6,77.3,43.1,2026.0,Hebrew University of Jerusalem,Israel,2026,QS + THE,Matched
,,,,,,,,,,299.0,Heinrich Heine University Düsseldorf,Germany,"25,296",26.8,14%,58 : 42,54.312,36.2,34.3,84.3,83.9,67.2,2026.0,Heinrich Heine University Düsseldorf,Germany,2026,THE only,THE record not matched in QS
,,,,,,,,,,1596.0,Hellenic Open University,Greece,"21,185",7.3,1%,65 : 35,25.6415,23.8,8.9,44.4,16.8,27.3,2026.0,Hellenic Open University,Greece,2026,THE only,THE record not matched in QS
1201-1400,1201-1400,Helwan University,Egypt,Africa,XL,CO,HI,Public,11.0,1533.0,Helwan University,Egypt,"153,935",23.9,1%,56 : 44,26.7265,22.7,9.0,43.1,23.0,47.6,2026.0,Helwan University,Egypt,2026,QS + THE,Matched
287,256,Heriot-Watt University,United Kingdom,Europe,M,CO,VH,Public,25.7,501.0,Heriot-Watt University,United Kingdom,"9,705",15.4,44%,39 : 61,46.2545,33.4,30.3,58.8,70.3,95.5,2026.0,Heriot-Watt University,United Kingdom,2026,QS + THE,Matched
1401+,1201-1400,Herzen State Pedagogical University of Russia,Russian Federation,Europe,L,FO,HI,Public,3.8,2062.0,Herzen State Pedagogical University of Russia,Russian Federation,"17,884",16.0,21%,72 : 28,16.464,20.7,12.9,9.8,18.6,39.1,2026.0,Herzen State Pedagogical University of Russia,Russian Federation,2026,QS + THE,Matched
,,,,,,,,,,1343.0,HES-SO University of Applied Sciences and Arts of Western Switzerland,Switzerland,"17,517",6.0,29%,54 : 46,29.573500000000003,24.5,13.8,36.2,29.6,84.0,2026.0,HES-SO University of Applied Sciences and Arts of Western Switzerland,Switzerland,2026,THE only,THE record not matched in QS
,,,,,,,,,,1229.0,Hindustan Institute of Technology and Science,India,"7,766",10.6,6%,40 : 60,31.6935,26.1,10.6,59.8,20.5,28.8,2026.0,Hindustan Institute of Technology and Science,India,2026,THE only,THE record not matched in QS
,,,,,,,,,,1643.0,Hirosaki University,Japan,"6,845",9.9,1%,,25.0365,24.8,15.0,30.0,53.2,29.9,2026.0,Hirosaki University,Japan,2026,THE only,THE record not matched in QS
480,474,Hiroshima University,Japan,Asia,L,FC,VH,Public,34.6,638.0,Hiroshima University,Japan,"14,922",8.7,12%,38 : 62,42.62199999999999,41.7,31.4,47.8,79.8,49.1,2026.0,Hiroshima University,Japan,2026,QS + THE,Matched
,,,,,,,,,,2020.0,Hitit University,Turkey,"11,234",24.8,10%,40 : 60,17.3965,22.7,10.7,15.7,17.8,29.0,2026.0,Hitit University,Turkey,2026,THE only,THE record not matched in QS
553,539,Hitotsubashi University,Japan,Asia,M,SP,VH,Public,19.7,1321.0,Hitotsubashi University,Japan,"6,105",14.6,14%,33 : 67,30.025,32.5,21.8,27.6,25.7,64.1,2026.0,Hitotsubashi University,Japan,2026,QS + THE,Matched
,,,,,,,,,,1395.0,Ho Chi Minh City Open University,Vietnam,"29,906",45.6,0%,64 : 36,28.6585,10.1,10.9,63.1,16.2,39.2,2026.0,Ho Chi Minh City Open University,Vietnam,2026,THE only,THE record not matched in QS
1001-1200,1001-1200,Hohai University,China (Mainland),Asia,XL,FO,VH,Public,3.2,,,,,,,,,,,,,,,Hohai University,China (Mainland),2026,QS only,QS record not matched in THE
170,173,Hokkaido University,Japan,Asia,L,FC,VH,Public,71.5,376.0,Hokkaido University,Japan,"17,693",8.3,11%,30 : 70,50.6285,53.5,45.1,47.9,96.8,47.0,2026.0,Hokkaido University,Japan,2026,QS + THE,Matched
771-780,771-780,Holy Spirit University of Kaslik,Lebanon,Asia,M,FO,HI,Private not for Profit,11.1,1454.0,Holy Spirit University of Kaslik,Lebanon,"7,374",13.0,14%,55 : 45,28.0085,23.0,9.9,38.5,19.5,80.3,2026.0,Holy Spirit University of Kaslik,Lebanon,2026,QS + THE,Matched
,,,,,,,,,,214.0,Hong Kong Baptist University,Hong Kong,"7,628",13.4,60%,64 : 36,57.932,34.6,41.0,84.5,79.5,97.4,2026.0,Hong Kong Baptist University,Hong Kong,2026,THE only,THE record not matched in QS
244,252,Hong Kong Baptist University,"Hong Kong SAR, China",Asia,M,CO,VH,Public,28.3,,,,,,,,,,,,,,,Hong Kong Baptist University,"Hong Kong SAR, China",2026,QS only,QS record not matched in THE
781-790,,Hong Kong Metropolitan University,"Hong Kong SAR, China",Asia,L,FO,HI,,26.5,,,,,,,,,,,,,,,Hong Kong Metropolitan University,"Hong Kong SAR, China",2026,QS only,QS record not matched in THE
,,,,,,,,,,82.0,The Hong Kong Polytechnic University,Hong Kong,"18,636",17.8,42%,50 : 50,69.67399999999999,51.9,55.4,91.8,86.5,97.3,2026.0,The Hong Kong Polytechnic University,Hong Kong,2026,THE only,THE record not matched in QS
54,57,The Hong Kong Polytechnic University,"Hong Kong SAR, China",Asia,L,CO,VH,Public,81.2,,,,,,,,,,,,,,,The Hong Kong Polytechnic University,"Hong Kong SAR, China",2026,QS only,QS record not matched in THE
,,,,,,,,,,58.0,The Hong Kong University of Science and Technology,Hong Kong,"8,912",14.3,48%,,74.123,56.2,60.6,95.6,100.0,97.2,2026.0,The Hong Kong University of Science and Technology,Hong Kong,2026,THE only,THE record not matched in QS
44,47,The Hong Kong University of Science and Technology,"Hong Kong SAR, China",Asia,M,FO,VH,Public,89.4,,,,,,,,,,,,,,,The Hong Kong University of Science and Technology,"Hong Kong SAR, China",2026,QS only,QS record not matched in THE
1401+,1201-1400,Hongik University,Republic of Korea,Asia,L,FO,VH,Private for Profit,6.3,,,,,,,,,,,,,,,Hongik University,Republic of Korea,2026,QS only,QS record not matched in THE
,,,,,,,,,,1586.0,Hormozgan University of Medical Sciences,Iran,"3,672",11.3,2%,54 : 46,25.7445,40.5,11.0,26.2,18.8,26.6,2026.0,Hormozgan University of Medical Sciences,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,1496.0,Hosei University,Japan,"28,578",37.4,5%,39 : 61,27.2985,16.3,11.3,49.3,35.2,40.2,2026.0,Hosei University,Japan,2026,THE only,THE record not matched in QS
1001-1200,1001-1200,Howard University,United States of America,Americas,M,FC,HI,Private not for Profit,8.3,,,,,,,,,,,,,,,Howard University,United States,2026,QS only,QS record not matched in THE
,,,,,,,,,,524.0,HSE University,Russian Federation,"36,414",18.8,13%,62 : 38,45.7225,31.7,43.7,54.6,90.7,49.2,2026.0,HSE University,Russian Federation,2026,THE only,THE record not matched in QS
,,,,,,,,,,1245.0,Huaqiao University,China,"35,586",18.0,21%,48 : 52,31.402,15.8,15.0,51.4,46.4,68.2,2026.0,Huaqiao University,China,2026,THE only,THE record not matched in QS
901-950,801-850,Huazhong Agricultural University,China (Mainland),Asia,XL,CO,VH,Public,5.2,,,,,,,,,,,,,,,Huazhong Agricultural University,China (Mainland),2026,QS only,QS record not matched in THE
,,,,,,,,,,178.0,Huazhong University of Science and Technology,China,"61,789",16.2,4%,,60.2265,46.6,48.4,87.1,99.9,30.9,2026.0,Huazhong University of Science and Technology,China,2026,THE only,THE record not matched in QS
319,300,Huazhong University of Science and Technology,China (Mainland),Asia,XL,FC,VH,Public,30.9,,,,,,,,,,,,,,,Huazhong University of Science and Technology,China (Mainland),2026,QS only,QS record not matched in THE
1401+,1201-1400,Hue University,Viet Nam,Asia,XL,CO,HI,Public,7.6,,,,,,,,,,,,,,,Hue University,Viet Nam,2026,QS only,QS record not matched in THE
,,,,,,,,,,2065.0,Hue University,Vietnam,"50,639",21.5,1%,56 : 44,16.378,14.2,9.4,18.1,17.2,44.6,2026.0,Hue University,Vietnam,2026,THE only,THE record not matched in QS
680,651-660,HUFS - Hankuk (Korea) University of Foreign Studies,Republic of Korea,Asia,L,CO,HI,Private not for Profit,17.6,,,,,,,,,,,,,,,HUFS - Hankuk (Korea) University of Foreign Studies,Republic of Korea,2026,QS only,QS record not matched in THE
,,,,,,,,,,258.0,Humanitas University,Italy,"2,475",15.9,18%,58 : 42,56.117,36.6,29.0,98.5,64.0,64.0,2026.0,Humanitas University,Italy,2026,THE only,THE record not matched in QS
130,126,Humboldt-Universität zu Berlin,Germany,Europe,XL,FC,VH,Public,94.3,,,,,,,,,,,,,,,Humboldt-Universität zu Berlin,Germany,2026,QS only,QS record not matched in THE
,,,,,,,,,,89.0,Humboldt University of Berlin,Germany,"34,833",42.1,18%,,67.19699999999999,52.6,60.6,85.5,65.9,77.6,2026.0,Humboldt University of Berlin,Germany,2026,THE only,THE record not matched in QS
,,,,,,,,,,296.0,Hunan University,China,"36,496",15.3,3%,44 : 56,54.3385,36.6,34.6,90.9,96.5,31.7,2026.0,Hunan University,China,2026,THE only,THE record not matched in QS
504,448,Hunan University,China (Mainland),Asia,XL,FO,VH,Public,10.9,,,,,,,,,,,,,,,Hunan University,China (Mainland),2026,QS only,QS record not matched in THE
,,,,,,,,,,1220.0,Hungarian University of Agriculture and Life Sciences,Hungary,"9,478",11.0,16%,59 : 41,31.824,33.2,13.2,42.0,25.3,61.2,2026.0,Hungarian University of Agriculture and Life Sciences,Hungary,2026,THE only,THE record not matched in QS
,,,,,,,,,,1303.0,Hyogo Medical University,Japan,"2,613",4.7,1%,59 : 41,30.385,31.0,14.2,45.0,52.3,20.4,2026.0,Hyogo Medical University,Japan,2026,THE only,THE record not matched in QS
,,,,,,,,,,1230.0,I. Horbachevsky Ternopil National Medical University,Ukraine,"5,206",8.0,18%,71 : 29,31.6825,24.9,9.8,60.0,16.5,37.8,2026.0,I. Horbachevsky Ternopil National Medical University,Ukraine,2026,THE only,THE record not matched in QS
851-900,791-800,I.M. Sechenov First Moscow State Medical University,Russian Federation,Europe,L,SP,VH,Public,5.0,,,,,,,,,,,,,,,I.M. Sechenov First Moscow State Medical University,Russian Federation,2026,QS only,QS record not matched in THE
,,,,,,,,,,1471.0,I-Shou University,Taiwan,"10,364",26.8,15%,50 : 50,27.735,16.3,21.1,38.2,60.0,39.3,2026.0,I-Shou University,Taiwan,2026,THE only,THE record not matched in QS
,,,,,,,,,,2042.0,Ibaraki University,Japan,"7,864",15.5,2%,34 : 66,16.7865,17.9,12.8,13.6,42.6,26.8,2026.0,Ibaraki University,Japan,2026,THE only,THE record not matched in QS
,,,,,,,,,,2096.0,Ibn Khaldoun University,Algeria,"28,529",25.2,0%,63 : 37,15.5645,13.7,8.5,19.2,17.2,34.8,2026.0,Ibn Khaldoun University,Algeria,2026,THE only,THE record not matched in QS
,,,,,,,,,,1236.0,Ibn Tofaïl University,Morocco,"60,057",73.1,3%,58 : 42,31.569,26.6,22.2,47.8,22.6,27.2,2026.0,Ibn Tofaïl University,Morocco,2026,THE only,THE record not matched in QS
,,,,,,,,,,1350.0,Ibn Zohr University,Morocco,"145,463",130.0,1%,50 : 50,29.4925,20.9,11.8,55.1,21.0,33.8,2026.0,Ibn Zohr University,Morocco,2026,THE only,THE record not matched in QS
,,,,,,,,,,1285.0,Icesi University,Colombia,"5,974",11.9,3%,52 : 48,30.5885,20.3,12.1,57.0,21.4,41.8,2026.0,Icesi University,Colombia,2026,THE only,THE record not matched in QS
438,435,IE University,Spain,Europe,M,FO,HI,Private for Profit,12.7,,,,,,,,,,,,,,,IE University,Spain,2026,QS only,QS record not matched in THE
,,,,,,,,,,1478.0,IFHE Hyderabad,India,"8,438",18.7,0%,42 : 58,27.5615,17.3,10.3,57.2,18.4,21.0,2026.0,IFHE Hyderabad,India,2026,THE only,THE record not matched in QS
801-850,,IIT Gandhinagar,India,Asia,S,FO,VH,Public,7.0,,,,,,,,,,,,,,,IIT Gandhinagar,India,2026,QS only,QS record not matched in THE
,,,,,,,,,,1274.0,Ilam University,Iran,"4,588",19.0,10%,49 : 51,30.7225,23.1,12.3,54.2,36.4,35.0,2026.0,Ilam University,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,937.0,Ilam University of Medical Sciences,Iran,"3,024",12.9,8%,54 : 46,36.6175,34.2,12.1,66.7,20.3,29.3,2026.0,Ilam University of Medical Sciences,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,1491.0,Ilia State University,Georgia,"16,579",12.2,5%,61 : 39,27.343499999999995,18.9,9.7,47.6,17.5,53.0,2026.0,Ilia State University,Georgia,2026,THE only,THE record not matched in QS
591,601-610,Illinois Institute of Technology,United States of America,Americas,M,CO,VH,Private not for Profit,16.9,336.0,Illinois Institute of Technology,United States,"6,734",13.6,45%,38 : 62,52.2945,41.0,26.9,77.3,92.4,73.5,2026.0,Illinois Institute of Technology,United States,2026,QS + THE,Matched
491,513,Imam Abdulrahman Bin Faisal University (formerly University of Dammam),Saudi Arabia,Asia,L,FC,HI,Public,16.9,562.0,Imam Abdulrahman Bin Faisal University,Saudi Arabia,"25,111",11.0,5%,89 : 11,44.8695,33.4,19.5,75.4,26.6,75.7,2026.0,Imam Abdulrahman Bin Faisal University (formerly University of Dammam),Saudi Arabia,2026,QS + THE,Matched
,,,,,,,,,,1134.0,Imam Khomeini International University,Iran,"9,129",25.4,12%,55 : 45,33.163000000000004,30.4,18.0,50.5,25.5,37.4,2026.0,Imam Khomeini International University,Iran,2026,THE only,THE record not matched in QS
,,,,,,,,,,613.0,Imam Mohammad Ibn Saud Islamic University,Saudi Arabia,"38,256",11.2,15%,50 : 50,43.3695,33.2,22.1,64.9,36.6,83.1,2026.0,Imam Mohammad Ibn Saud Islamic University,Saudi Arabia,2026,THE only,THE record not matched in QS
851-900,901-950,Imam Muhammad Ibn Saud Islamic University - IMSIU,Saudi Arabia,Asia,XL,FC,HI,Public,16.7,,,,,,,,,,,,,,,Imam Muhammad Ibn Saud Islamic University - IMSIU,Saudi Arabia,2026,QS only,QS record not matched in THE
951-1000,801-850,Immanuel Kant Baltic Federal University,Russian Federation,Europe,M,CO,VH,Public,7.7,1363.0,Immanuel Kant Baltic Federal University,Russian Federation,"6,711",16.3,19%,58 : 42,29.277500000000003,37.1,22.1,20.3,37.1,58.0,2026.0,Immanuel Kant Baltic Federal University,Russian Federation,2026,QS + THE,Matched
2,2,Imperial College London,United Kingdom,Europe,L,FO,VH,Public,99.6,8.0,Imperial College London,United Kingdom,"21,340",12.1,60%,43 : 57,94.689,90.6,94.9,98.0,91.9,98.2,2026.0,Imperial College London,United Kingdom,2026,QS + THE,Matched
,,,,,,,,,,430.0,IMT Atlantique,France,"1,295",7.5,37%,26 : 74,48.7405,47.3,35.5,48.3,97.8,81.2,2026.0,IMT Atlantique,France,2026,THE only,THE record not matched in QS
,,,,,,,,,,1001.0,IMT Nord Europe,France,"1,621",18.0,21%,23 : 77,35.4715,32.9,31.0,28.8,68.4,72.0,2026.0,IMT Nord Europe,France,2026,THE only,THE record not matched in QS
,,,,,,,,,,1502.0,Incheon National University,South Korea,"17,160",21.2,3%,39 : 61,27.2595,19.4,18.4,38.7,48.2,35.5,2026.0,Incheon National University,South Korea,2026,THE only,THE record not matched in QS
1401+,,"Independent University,Bangladesh",Bangladesh,Asia,M,CO,HI,Private not for Profit,8.8,,,,,,,,,,,,,,,"Independent University,Bangladesh",Bangladesh,2026,QS only,QS record not matched in THE
1401+,1401+,Indian Institute of Information Technology - Allahabad,India,Asia,S,FO,VH,Public,4.2,,,,,,,,,,,,,,,Indian Institute of Information Technology - Allahabad,India,2026,QS only,QS record not matched in THE
,,,,,,,,,,251.0,Indian Institute of Science,India,"5,020",10.5,1%,26 : 74,56.367,61.8,56.9,51.2,98.0,31.4,2026.0,Indian Institute of Science,India,2026,THE only,THE record not matched in QS
219,211,Indian Institute of Science (IISc) Bangalore,India,Asia,M,SP,VH,Public,56.6,,,,,,,,,,,,,,,Indian Institute of Science (IISc) Bangalore,India,2026,QS only,QS record not matched in THE
,,,,,,,,,,1369.0,Indian Institute of Science Education and Research Bhopal,India,"2,194",14.2,0%,39 : 61,29.15,38.3,21.5,29.4,25.1,23.9,2026.0,Indian Institute of Science Education and Research Bhopal,India,2026,THE only,THE record not matched in QS
,,,,,,,,,,1315.0,"Indian Institute of Science Education and Research, Pune",India,"1,816",11.9,0%,32 : 68,30.1255,36.5,19.8,31.8,31.4,37.6,2026.0,"Indian Institute of Science Education and Research, Pune",India,2026,THE only,THE record not matched in QS
566,531,Indian Institute of Technology BHU Varanasi (IIT BHU Varanasi),India,Asia,M,FO,VH,Public,9.3,,,,,,,,,,,,,,,Indian Institute of Technology BHU Varanasi (IIT BHU Varanasi),India,2026,QS only,QS record not matched in THE
951-1000,951-1000,Indian Institute of Technology Bhubaneswar (IIT BBS),India,Asia,S,FO,VH,Public,5.0,,,,,,,,,,,,,,,Indian Institute of Technology Bhubaneswar (IIT BBS),India,2026,QS only,QS record not matched in THE
129,118,Indian Institute of Technology Bombay (IITB),India,Asia,L,FO,VH,Public,73.3,,,,,,,,,,,,,,,Indian Institute of Technology Bombay (IITB),India,2026,QS only,QS record not matched in THE
123,150,Indian Institute of Technology Delhi (IITD),India,Asia,M,FO,VH,Public,67.9,,,,,,,,,,,,,,,Indian Institute of Technology Delhi (IITD),India,2026,QS only,QS record not matched in THE
,,,,,,,,,,1024.0,Indian Institute of Technology Gandhinagar,India,"2,360",14.8,1%,29 : 71,35.0445,40.0,26.6,38.1,39.7,33.5,2026.0,Indian Institute of Technology Gandhinagar,India,2026,THE only,THE record not matched in QS
334,344,Indian Institute of Technology Guwahati (IITG),India,Asia,M,CO,VH,Public,25.4,,,,,,,,,,,,,,,Indian Institute of Technology Guwahati (IITG),India,2026,QS only,QS record not matched in THE
664,681-690,Indian Institute of Technology Hyderabad (IITH),India,Asia,S,CO,VH,Public,10.3,,,,,,,,,,,,,,,Indian Institute of Technology Hyderabad (IITH),India,2026,QS only,QS record not matched in THE
556,477,Indian Institute of Technology Indore,India,Asia,S,FO,VH,Public,8.0,573.0,Indian Institute of Technology Indore,India,"2,332",12.5,0%,24 : 76,44.5425,42.9,28.9,63.9,40.9,36.0,2026.0,Indian Institute of Technology Indore,India,2026,QS + THE,Matched
222,263,Indian Institute of Technology Kanpur (IITK),India,Asia,M,FO,VH,Public,49.4,,,,,,,,,,,,,,,Indian Institute of Technology Kanpur (IITK),India,2026,QS only,QS record not matched in THE
215,222,Indian Institute of Technology Kharagpur (IITKGP),India,Asia,L,CO,VH,Public,42.5,,,,,,,,,,,,,,,Indian Institute of Technology Kharagpur (IITKGP),India,2026,QS only,QS record not matched in THE
180,227,Indian Institute of Technology Madras (IITM),India,Asia,M,CO,VH,Public,56.8,,,,,,,,,,,,,,,Indian Institute of Technology Madras (IITM),India,2026,QS only,QS record not matched in THE
,,,,,,,,,,1074.0,Indian Institute of Technology Mandi,India,"2,684",14.8,1%,25 : 75,34.154,34.3,14.9,54.9,28.8,27.9,2026.0,Indian Institute of Technology Mandi,India,2026,THE only,THE record not matched in QS
,,,,,,,,,,712.0,Indian Institute of Technology Patna,India,"2,840",17.1,1%,23 : 77,41.061,34.8,22.5,70.4,36.0,22.8,2026.0,Indian Institute of Technology Patna,India,2026,THE only,THE record not matched in QS
339,335,Indian Institute of Technology Roorkee (IITR),India,Asia,M,FO,VH,Public,26.8,,,,,,,,,,,,,,,Indian Institute of Technology Roorkee (IITR),India,2026,QS only,QS record not matched in THE
